variant,ts,GC,SI,HG,PL,PA
LS_MINVAR_G125_B25,2025-08-09 00:00:00+00:00,0.75,0.18705704755724661,0.025378470833972645,0.030408704225575487,0.007155777383205271
LS_MINVAR_G150_B25,2025-08-09 00:00:00+00:00,0.75,0.1870570486767976,0.025378470342540156,0.030408704100717023,0.0071557768799452555
LS_MINVAR_G200_B25,2025-08-09 00:00:00+00:00,0.75,0.1870570486767976,0.025378470342540156,0.030408704100717023,0.0071557768799452555
MINVAR_30D_SHRINK25,2025-08-09 00:00:00+00:00,0.8437330383891593,0.11253601182083448,0.02168353494560681,0.017684263248877452,0.004363151595522056
MINVAR_CAP40_SHRINK25,2025-08-09 00:00:00+00:00,0.4,0.4,0.0505198160173355,0.1178460336107688,0.031634150371895625
MINVAR_CAP50_SHRINK25,2025-08-09 00:00:00+00:00,0.5000000000000001,0.38581512891604,0.03523339932164364,0.0643476507968936,0.014603820965422782
MINVAR_CAP60_SHRINK25,2025-08-09 00:00:00+00:00,0.6000000000000001,0.30631207844802505,0.03129141417717035,0.050771926514068005,0.011624580860736455
EW_1N,2025-08-10 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-10 00:00:00+00:00,0.40351471640411,0.25430628653750126,0.08270808375227096,0.14959044134584146,0.10988047196027649
LS_MINVAR_G125_B25,2025-08-10 00:00:00+00:00,0.7500000000000001,0.1891902665845442,0.024593375691146103,0.02929053675978636,0.006925820964523296
LS_MINVAR_G150_B25,2025-08-10 00:00:00+00:00,0.75,0.18919026610005515,0.02459337559613238,0.02929053709228072,0.006925821211531736
LS_MINVAR_G200_B25,2025-08-10 00:00:00+00:00,0.75,0.18919026610005515,0.02459337559613238,0.02929053709228072,0.006925821211531736
MINVAR_30D_SHRINK25,2025-08-10 00:00:00+00:00,0.8349842182227437,0.12125170249037566,0.021435677129985436,0.017917558499307675,0.004410843657587624
MINVAR_CAP40_SHRINK25,2025-08-10 00:00:00+00:00,0.4000000000000001,0.40000000000000013,0.049385819077575,0.11854013184056328,0.0320740490818615
MINVAR_CAP50_SHRINK25,2025-08-10 00:00:00+00:00,0.5,0.3890460058418508,0.033882458328564305,0.0627474282415284,0.014324107588056493
MINVAR_CAP60_SHRINK25,2025-08-10 00:00:00+00:00,0.6,0.30910336368173164,0.03016682216448332,0.04936494346296472,0.011364870690820436
