variant,root,mean_weight,median_weight,min_weight,p10_weight,p90_weight,max_weight
LS_MINVAR_G150_B25,PA,0.02762179060148213,0.020682121549186916,-0.04646361029096927,-0.007412616527846758,0.08150448017806594,0.1569628690372546
LS_MINVAR_G200_B25,GC,0.7121477218012371,0.75,0.2764070058213515,0.6335038460031527,0.7500000000000001,0.7500000000000002
LS_MINVAR_G200_B25,SI,-0.05344116211716161,-0.0642943919428377,-0.16980800462106463,-0.12151204754739917,0.0011681070380073985,0.2044478211539037
LS_MINVAR_G200_B25,HG,0.26399424365288104,0.24231837602019227,0.011693201382530237,0.15706814646656447,0.39866246733139604,0.7447928338842722
LS_MINVAR_G200_B25,PL,0.04967740606156145,0.0373500985364548,-0.04399402638721819,-0.016939119942851667,0.12520852964639761,0.3526987085627992
LS_MINVAR_G200_B25,PA,0.02762179060148213,0.020682121549186916,-0.04646361029096927,-0.007412616527846758,0.08150448017806594,0.1569628690372546
MINVAR_30D_SHRINK25,GC,0.7317271291324835,0.7506095638337765,0.2764070060237661,0.550307529452894,0.8960007030070426,0.9848561275122112
MINVAR_30D_SHRINK25,SI,0.005744513596862475,1.4384171453868805e-18,0.0,0.0,5.699541471176982e-17,0.1653361880091208
MINVAR_30D_SHRINK25,HG,0.21587017650146623,0.18393490576752006,0.00861255838219825,0.06952091502582727,0.3820858021713338,0.7198542932899653
MINVAR_30D_SHRINK25,PL,0.02542762762515516,3.5043400811456485e-17,0.0,0.0,0.07942872360295519,0.35269870556885824
MINVAR_30D_SHRINK25,PA,0.021230553144032743,0.006013253529953075,0.0,0.0,0.0763795459867713,0.15696286726534542
MINVAR_CAP40_SHRINK25,GC,0.3992470434552194,0.4,0.2764070062158216,0.3999999999999999,0.4000000000000001,0.4000000000000002
MINVAR_CAP40_SHRINK25,SI,0.08557461807539148,0.0744316190722423,0.0,4.3610132188760966e-17,0.17555257766155508,0.40000000000000013
MINVAR_CAP40_SHRINK25,HG,0.3345095397009536,0.3644889553076117,0.02746518514473065,0.2257610519339179,0.4,0.40000000000000013
MINVAR_CAP40_SHRINK25,PL,0.12404729260181874,0.1147795373208037,0.0,0.03287972895979517,0.21979326189232445,0.37801785649755676
MINVAR_CAP40_SHRINK25,PA,0.0566215061666168,0.04247145945819177,0.0,3.936295831448788e-16,0.13885292583064496,0.2426117085306235
MINVAR_CAP50_SHRINK25,GC,0.4971234973775715,0.5,0.27640700408657815,0.4999999999999999,0.5000000000000001,0.5000000000000002
MINVAR_CAP50_SHRINK25,SI,0.048680043251143744,0.022668023072063823,0.0,0.0,0.123207421810357,0.41069728793091165
MINVAR_CAP50_SHRINK25,HG,0.3242740170501493,0.3273462856353098,0.016799911811259303,0.2058277126437209,0.4835625897194331,0.5000000000000001
MINVAR_CAP50_SHRINK25,PL,0.09038067675727045,0.0787707757054592,0.0,4.4408920985006264e-17,0.18420448915103355,0.3526987093785533
MINVAR_CAP50_SHRINK25,PA,0.039541765563865024,0.028896758245462607,0.0,4.0766001685454967e-17,0.104521855114267,0.21735911494868118
MINVAR_CAP60_SHRINK25,GC,0.5824180033088783,0.6,0.27640700716452343,0.5503075370353882,0.6000000000000001,0.6000000000000002
MINVAR_CAP60_SHRINK25,SI,0.025816603868264777,6.619266691018372e-17,0.0,0.0,0.07354593021905982,0.3281975216516217
MINVAR_CAP60_SHRINK25,HG,0.2900506794948057,0.28551882036704773,0.01475722759110508,0.1846114762234348,0.3999999999999999,0.6000000000000001
MINVAR_CAP60_SHRINK25,PL,0.06839110841600071,0.05451442573790976,0.0,1.3058705001894729e-17,0.14934927904501474,0.3526987064638276
MINVAR_CAP60_SHRINK25,PA,0.033323604912050546,0.022497124775898734,0.0,0.0,0.09310858613569169,0.18772559022285762
FVD_20D_T1P5_DN,GC,0.0036770876330848817,0.0,-0.5000000000000001,-0.26630843459130665,0.2867877362016754,0.5000000000000002
FVD_20D_T1P5_DN,SI,0.016886925176418304,0.0,-0.5000000000000002,-0.26111003921023784,0.37938036818068965,0.5000000000000002
FVD_20D_T1P5_DN,HG,-0.0022743165150214484,0.0,-0.5000000000000001,-0.3329554712362631,0.29992511134152017,0.5000000000000001
FVD_20D_T1P5_DN,PL,-0.02644051521660519,0.0,-0.5000000000000001,-0.4015882953581005,0.2874237483856451,0.5000000000000001
FVD_20D_T1P5_DN,PA,0.008150818922123448,0.0,-0.5000000000000001,-0.25371659399185176,0.28521113035037243,0.5000000000000001
FVD_20D_T2P5_DN,GC,0.006194627006104896,0.0,-0.5000000000000001,-0.125,0.125,0.5000000000000001
FVD_20D_T2P5_DN,SI,0.0017037407374291163,0.0,-0.5000000000000001,-0.125,0.125,0.5000000000000001
FVD_20D_T2P5_DN,HG,-0.0003048566329834934,0.0,-0.5000000000000001,-0.125,0.125,0.5000000000000001
FVD_20D_T2P5_DN,PL,-0.010349564127881303,0.0,-0.5000000000000001,-0.125,0.125,0.5000000000000001
FVD_20D_T2P5_DN,PA,0.0027560530173307827,0.0,-0.5000000000000001,-0.125,0.125,0.5000000000000001
FVD_60D_T2P5_DN,GC,0.01313880111047706,0.0,-0.5000000000000002,-0.125,0.16167562315348943,0.5000000000000001
FVD_60D_T2P5_DN,SI,0.005261759428617985,0.0,-0.5000000000000001,-0.125,0.125,0.5000000000000001
FVD_60D_T2P5_DN,HG,-0.007316065777309876,0.0,-0.5000000000000001,-0.12500000000000003,0.125,0.5000000000000001
FVD_60D_T2P5_DN,PL,-0.0138999241559033,0.0,-0.5000000000000001,-0.12500000000000003,0.125,0.5000000000000001
FVD_60D_T2P5_DN,PA,0.002815429394118133,0.0,-0.5000000000000001,-0.125,0.125,0.5000000000000001
FVD_120D_T2P5_DN,GC,0.030116738506227404,0.0,-0.5000000000000001,-0.125,0.12500000000000003,0.5000000000000001
FVD_120D_T2P5_DN,SI,0.023478371397608687,0.0,-0.5000000000000001,-0.125,0.16666666666666666,0.5000000000000001
FVD_120D_T2P5_DN,HG,-0.01727152479857073,0.0,-0.5000000000000001,-0.12500000000000003,0.125,0.5000000000000001
FVD_120D_T2P5_DN,PL,-0.01693964612674266,0.0,-0.5000000000000001,-0.12500000000000003,0.125,0.5000000000000001
