strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,annual_turnover
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.10096587704455724,-0.027435208201995243,0.006225920999854624,0.033661129201849875,-0.013708657485787763,-0.01380348880155104,0.03536646442414938,-0.39029880499238045,-0.5502460303732019,-0.041318269944705666,0.49982543118497313,-0.010671057361536283,169.3593927060142
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,2021_2022,1.0,141840,1.9875560879154308,0.10401861252115059,-0.030781153337691918,0.005995157386312419,0.03677631072400435,-0.015367629801601801,-0.015486935702013576,0.03583462438325019,-0.4321779834045777,-0.6092875938672343,-0.04532189608057979,0.4998644435407347,-0.012099061530914598,185.03281969051605
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,2021_2022,1.0,141840,1.9875560879154308,0.04070078962210942,-0.2603486531487308,-0.020575674246838198,0.23977297890189259,-0.12277287131916516,-0.13098933646787655,0.03004998991762236,-4.359047601245944,-6.1454163018516885,-0.2292171969009631,0.4746232461458514,-0.24844564252532056,1206.3708811023737
hf_event_120D_agree_60D_carry_confirm_30m_momo_exit,2021_2022,1.0,141840,1.9875560879154308,0.045114213197969544,-0.266010226793983,-0.020726389317787385,0.24528383747619562,-0.12526810614123748,-0.13383784659530149,0.024541236085283785,-5.453590280872515,-7.688510353985223,-0.23385961004819256,0.4647601187685576,-0.24375673169500106,1234.0976889535316
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,2021_2022,1.0,141840,1.9875560879154308,0.05487873660462493,-0.3080464682707582,-0.011420022120467145,0.29662644615029105,-0.14357416857705807,-0.1549875599203042,0.0273458643777524,-5.667678219248262,-7.99033305171123,-0.26666637386925085,0.47006680369989723,-0.2215007375236464,1492.4179898812108
hf_event_252D_pure_confirm_30m_momo_exit,2021_2022,1.0,141840,1.9875560879154308,0.055393401015228425,-0.3519882267145663,-0.04024291656510279,0.3117453101494635,-0.1623006358498023,-0.17709599686504202,0.02810778585823439,-6.300602891962065,-8.8826347555118,-0.29748668535176814,0.4691358024691358,-0.24969864670302444,1568.4855991984869
hf_event_60D_agree_120D_confirm_30m_momo_exit,2021_2022,1.0,141840,1.9875560879154308,0.04304850535815003,-0.2827415784291386,-0.04865553883834243,0.23408603959079619,-0.1326007386645702,-0.14225589916593542,0.020341206322754685,-6.993483911856344,-9.859463343867857,-0.24628546121018702,0.4616770389780544,-0.2879405106757094,1177.7581574380024
hf_event_60D_pure_confirm_30m_momo_exit,2021_2022,1.0,141840,1.9875560879154308,0.0533770445572476,-0.3314664185647485,-0.040555139595994355,0.2909112789687542,-0.15360645995680577,-0.16677085018133697,0.02160618613870346,-7.718662104951417,-10.881824716641123,-0.2833028005771733,0.46479989433364155,-0.24755519213815635,1463.6632432036915
hf_event_20D_agree_60D_carry_state_hold,2023_2024,1.0,141891,1.9957696402768272,0.048783925689437665,0.023866347732631743,0.042976386562372945,0.01911003882974121,0.0120302565321438,0.011958468177380088,0.024290998630872553,0.4923003932074459,0.6954811900315248,-0.028071074796813145,0.5037561398439757,0.04728555842395094,95.75272839149167
hf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state,2023_2024,1.0,141891,1.9957696402768272,0.04643000613146711,0.013509658157397617,0.0321846533782576,0.018674995220859983,0.006792109500888352,0.006769147042202592,0.02344474470591338,0.2887276925858457,0.40789055220202725,-0.0396649136636158,0.5021250758955677,0.03371229228506016,93.57289961716036
