strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,annual_turnover
hf_event_120D_agree_60D_carry_exhaust_60m_confirm15_hold_state,full,0.0,704270,9.944558521560575,0.055982790691070185,-0.029665264163946572,-0.029665264163946572,0.0,-0.0029786200522320936,-0.002983064969614285,0.031173129113872898,-0.09569347237222775,-0.30176930855576334,-0.09175817624660654,0.49755243868415044,-0.007524098755661493,78.51520020022141
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,full,0.0,704270,9.944558521560575,0.07433086742300538,-0.050043919506609906,-0.050043919506609906,0.0,-0.00501965095287115,-0.005032291719950242,0.0333856494837619,-0.15073217977675846,-0.47533383981932403,-0.08892648464008202,0.4981948079237426,-0.009559670577586945,90.10235840698509
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,full,0.0,704270,9.944558521560575,0.029715876013460745,-0.09741126912870364,-0.09741126912870364,0.0,-0.009747615245815161,-0.009795434248539887,0.02304953877770707,-0.4249731130418012,-1.3401524607506419,-0.12667205620493716,0.4839927370030581,-0.046545904591314795,867.4213609907807
hf_event_252D_pure_confirm_30m_momo_exit,full,0.0,704270,9.944558521560575,0.04159626279693868,-0.3715652637742412,-0.3715652637742412,0.0,-0.0366742669302239,-0.03736367612183677,0.028034714654155548,-1.332764630664732,-4.202872474925433,-0.3140020774477976,0.47557603686635946,-0.12683572752150238,1172.9808158001972
hf_event_120D_agree_60D_carry_confirm_30m_momo_exit,full,0.0,704270,9.944558521560575,0.02882985218737132,-0.2843646659749627,-0.2843646659749627,0.0,-0.0281900336570567,-0.028595001513484788,0.019818604995658178,-1.4428362399749795,-4.549983229815477,-0.2523836204935431,0.47798463356973997,-0.14005351949121486,827.5531927333642
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,full,0.0,704270,9.944558521560575,0.03760489584960314,-0.3167082393457332,-0.3167082393457332,0.0,-0.03134560341087518,-0.031847390576372515,0.021817997537509754,-1.4596843968663995,-4.6031138826126305,-0.2748207814504491,0.47847757136384234,-0.11958474525967876,1072.5145676021418
hf_event_60D_pure_confirm_30m_momo_exit,full,0.0,704270,9.944558521560575,0.07433654706291622,-0.43463966506847457,-0.43463966506847457,0.0,-0.042764925290610656,-0.04370628058813692,0.027079725489089306,-1.6139853635424266,-5.089701889809079,-0.35868671813708575,0.48155788589001586,-0.08302096633783633,2024.8569977902544
hf_event_60D_agree_120D_confirm_30m_momo_exit,full,0.0,704270,9.944558521560575,0.07355559657517713,-0.541537576852722,-0.541537576852722,0.0,-0.05299950960853785,-0.05445566795937964,0.028155927834316908,-1.9340747099446736,-6.099103454464868,-0.4359842102576986,0.48004941798737527,-0.10453787943800978,2066.000262089691
hf_event_20D_agree_60D_carry_state_hold,full,0.25,704270,9.944558521560575,0.061254916438297814,0.3753501832331274,0.40648685385669825,0.03113667062357085,0.038465640599338734,0.03774427818181562,0.03242584464869069,1.164018349891764,3.670731178263761,-0.04616366898014734,0.508692628650904,0.09038148678515366,125.24103732132151
hf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state,full,0.25,704270,9.944558521560575,0.058264586025246,0.31983876592061133,0.35015566029243383,0.03031689437182246,0.032684981372367035,0.03216218852020188,0.030859008538981506,1.0422301312621298,3.2866721028114108,-0.04485390242892984,0.5079446312813765,0.08141452877635376,121.9436511177166
hf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state,full,0.25,704270,9.944558521560575,0.05539068823036619,0.26153422046536756,0.2889518595184961,0.027417639053128565,0.02664810525772325,0.02629922885951559,0.030198718192264155,0.8708723559747819,2.746295459742449,-0.047948604633178404,0.5066905921558574,0.07034197413629131,110.28197579082067
hf_event_60D_agree_120D_state_hold,full,0.25,704270,9.944558521560575,0.1511011401877121,0.1669683915334856,0.186212600384012,0.01924420885052637,0.01693166794354053,0.016789924979724858,0.0396992018651105,0.4229285272981929,1.3337048608168487,-0.0650340786612228,0.502349270786348,0.016429592259982608,77.40598563044676
hf_event_60D_agree_120D_exhaust_30m_flip5_hold_state,full,0.25,704270,9.944558521560575,0.14948670254305876,0.12967308013190065,0.14871702275392606,0.019043942622025387,0.013124987826171101,0.013039601491686066,0.04092735380399959,0.3186035812169167,1.004716205022174,-0.08437760874244471,0.501932959089657,0.013062004889508228,76.6004547340604
hf_event_60D_pure_state_hold,full,0.25,704270,9.944558521560575,0.15939909409743422,0.11732517002776191,0.13499902854045404,0.01767385851269209,0.011867796489045361,0.011797926451274015,0.038479842168375224,0.306600177819081,0.9668634795030191,-0.07801513355443968,0.5028238018884732,0.011142549038183906,71.08956510989921
hf_event_60D_pure_exhaust_30m_flip5_hold_state,full,0.25,704270,9.944558521560575,0.1577874962727363,0.10500069730745204,0.1226000219015683,0.01759932459411623,0.010614547024749937,0.010558608215719419,0.03818322682530849,0.27652477523772284,0.8720207152420508,-0.08699847518420156,0.5025691788526434,0.010150791890960065,70.78976731228252
hf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state,full,0.25,704270,9.944558521560575,0.14740795433569512,0.1054381940812272,0.12333195955167531,0.017893765470448096,0.010659008559036506,0.010602601800032552,0.040824622990845466,0.2597109544014671,0.8189983411745598,-0.08532340221921753,0.5014689592062804,0.010869160919060561,71.9740969160291
