strategy,root,side,event_count,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,SI,short_rich,103,0.47572815533980584,4.278579653436151,-0.6014804473933192,-11.396631459774495,19.7982580754967,4.716019417475728,1.9166666666666667,2.102585498229631
hf_event_120D_carry_tailwind_state_hold,GC,short_rich,97,0.5360824742268041,-3.3138921412202746,0.9983606817627149,-33.095891336845355,19.00529301376818,26.56872852233677,4.0,-1.1584233814322729
hf_event_120D_carry_tailwind_state_hold,PL,long_cheap,181,0.47513812154696133,-2.6230965714366032,-0.9371229723370794,-25.749312094757688,20.495478734079985,14.68646408839779,2.0,-1.0940734879970666
hf_event_120D_carry_tailwind_state_hold,SI,short_rich,126,0.5952380952380952,4.656479155431403,1.4470694173935927,-14.097859941275455,20.59354890421398,4.5,2.0,2.407125967950501
hf_event_120D_carry_tailwind_state_hold,HG,long_cheap,166,0.5963855421686747,5.270066468456807,4.200592914125224,-27.43340089299997,36.893310326965775,12.846385542168674,2.0,2.246145938669668
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,PA,long_cheap,1454,0.3156808803301238,-0.5975178251604901,-1.7329627737249518,-9.114237444260455,9.231919739854385,0.594566712517194,0.25,-2.138139793587085
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,SI,short_rich,555,0.33693693693693694,-0.5602686824685976,-1.2981292745477433,-5.784247176123374,5.160565613738892,0.45930930930930935,0.25,-1.5174268329903398
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,HG,short_rich,1325,0.32150943396226417,-0.1780598761344408,-1.6250526759342372,-7.615305871046779,8.396932789734038,0.7227044025157232,0.3333333333333333,-0.6992328401183039
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,HG,long_cheap,1276,0.335423197492163,0.2516737787043763,-1.5523056918889522,-8.235718537973668,11.248995716681407,0.699255485893417,0.25,0.803241423589719
hf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state,SI,short_rich,135,0.5777777777777777,3.273654673987237,1.6986512118029264,-12.847073779081068,17.027827735642244,3.4864197530864196,1.0,1.907188150545718
