root,asset,asset_class,horizon_vol_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,beta_bps_per_full_ofi_spread,corr_high,corr_low,corr_spread,hit_rate_high,hit_rate_low,hit_rate_spread,n_high,n_low,n_spread,nw_tstat_high,nw_tstat_low,nw_tstat_spread,r2_high,r2_low,r2_spread,abs_corr_high_minus_low
6C,Canadian Dollar,FX,0,same_vol_bar,12.659258193688324,10.03472445178192,4.915201664902387,0.38350726108463096,0.23048482034583434,0.17683437954496212,0.6064516129032258,0.5844155844155844,0.5032258064516129,155,154,155,6.257378950147526,3.891427312835177,2.3526776219963788,0.14707781930463548,0.053123252409851496,0.03127039778905183,0.15302244073879662
6C,Canadian Dollar,FX,1,next_1_vol_bar,0.1291017556031551,-2.383450950588309,1.0289017327153294,0.0039353759791892476,-0.05332270039078896,0.03675360208616883,0.44805194805194803,0.46405228758169936,0.5,154,153,154,0.060883842200627786,-0.7478547933327905,0.4750860523727738,1.54871840973847e-05,0.0028433103769658352,0.0013508272663083076,-0.04938732441159971
6C,Canadian Dollar,FX,3,next_3_vol_bars,-0.8998521105938679,-8.644560509467064,2.592348486621085,-0.016079789746359124,-0.11101249616986643,0.05399835359223478,0.4605263157894737,0.48344370860927155,0.5263157894736842,152,151,152,-0.22548992334130885,-1.5027333799740323,0.6899413870060137,0.00025855963828680384,0.01232377430586451,0.0029158221906721016,-0.0949327064235073
6C,Canadian Dollar,FX,6,next_6_vol_bars,-2.205586883839566,-15.299041980889001,4.011215694418823,-0.025532972117005014,-0.12635912638925478,0.05473797490328846,0.47651006711409394,0.4391891891891892,0.4966442953020134,149,148,149,-0.3146818127006597,-1.6285454963621202,0.5439042787695377,0.0006519326651277524,0.015966628821855844,0.002996245896513039,-0.10082615427224977
6C,Canadian Dollar,FX,12,next_12_vol_bars,-2.840074771721955,-5.1140728233467545,-0.21119203281807614,-0.01963271130000738,-0.025260851957403976,-0.0017248516361813657,0.46153846153846156,0.5422535211267606,0.44755244755244755,143,142,143,-0.25912731114341286,-0.325197051324127,-0.01825894023162506,0.0003854433529892898,0.0006381106416136761,2.975113166825416e-06,-0.005628140657396596
6E,Euro FX,FX,0,same_vol_bar,31.712599525694845,3.7384394016967804,16.85740362198042,0.5419092992224797,0.054667972909975125,0.3776399412139356,0.6503496503496503,0.4647887323943662,0.6083916083916084,143,142,143,5.833483753294475,0.7798431871297494,3.888240187788093,0.29366568858379904,0.002988587262085729,0.14261192520006483,0.48724132631250455
6E,Euro FX,FX,1,next_1_vol_bar,5.858243646442317,1.2900605268679008,2.808442848023593,0.09883964584506673,0.0186554387945296,0.0629686986074719,0.5845070422535211,0.46099290780141844,0.5704225352112676,142,141,142,1.2878626739187455,0.25880878423262826,0.9183309227934844,0.009769275590778115,0.0003480253966166025,0.003965057004318595,0.08018420705053712
6E,Euro FX,FX,3,next_3_vol_bars,8.299975418365454,7.896530602284419,1.9589425789203982,0.08434719757679124,0.06473014463764588,0.02577306244029192,0.5357142857142857,0.5107913669064749,0.5214285714285715,140,139,140,0.8937101269138298,0.7197189657960832,0.2504665438513989,0.007114449739058393,0.004189991624810263,0.000664250747551276,0.019617052939145355
6E,Euro FX,FX,6,next_6_vol_bars,4.033563272267807,9.64238346921066,-1.19067210450933,0.02841440712117171,0.05351287632385904,-0.010729137090616252,0.5036496350364964,0.45588235294117646,0.5474452554744526,137,136,137,0.3050612502642591,0.4984520449144239,-0.09976822780819887,0.0008073785320475979,0.0028636279324524283,0.00011511438270905838,-0.025098469202687327
6E,Euro FX,FX,12,next_12_vol_bars,6.440619963703079,18.32902769160308,-2.9439491240686815,0.029471520463245325,0.06578427069522486,-0.017275342153738455,0.6259541984732825,0.5,0.5877862595419847,131,130,131,0.31242897343746345,0.6012686027228143,-0.14558219089718752,0.0008685705184153791,0.00432757027090247,0.00029843744652879867,-0.03631275023197953
