root,asset,asset_class,feature,horizon_vol_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
ES,E-mini S&P 500,Equity,low,3,next_3_vol_bars,156,63.90683890177197,0.4239272069377901,0.0028198485446843113,0.05310224613596179,0.5128205128205128
ES,E-mini S&P 500,Equity,high,3,next_3_vol_bars,156,30.41192630520564,0.5076095172275036,0.001456811024064586,0.03816819388004596,0.4807692307692308
ES,E-mini S&P 500,Equity,spread,3,next_3_vol_bars,156,1.526158260169664,0.027448188668568328,5.7662221983889594e-06,0.0024012959414508933,0.4807692307692308
ES,E-mini S&P 500,Equity,low,6,next_6_vol_bars,156,15.302371951449272,0.0886671180486894,7.638296952716672e-05,0.008739735094783211,0.5384615384615384
ES,E-mini S&P 500,Equity,high,6,next_6_vol_bars,156,23.72102127160113,0.24975461710343239,0.00041872611324256237,0.02046279827497871,0.4551282051282051
ES,E-mini S&P 500,Equity,spread,6,next_6_vol_bars,156,10.824600787918522,0.1349872189401364,0.0001370452309515935,0.0117066319217532,0.42948717948717946
ES,E-mini S&P 500,Equity,low,12,next_12_vol_bars,156,111.60399949284607,0.4470207651174849,0.0017499522737968176,0.04183243088558018,0.5641025641025641
ES,E-mini S&P 500,Equity,high,12,next_12_vol_bars,156,103.28950956269902,0.7393341005940339,0.0034195059820709695,0.05847654215214049,0.4423076923076923
ES,E-mini S&P 500,Equity,spread,12,next_12_vol_bars,156,34.59157949833058,0.29862929286324524,0.0006027935452179722,0.024551854211404604,0.4423076923076923
NQ,E-mini Nasdaq-100,Equity,low,0,same_vol_bar,167,724.9981265573377,4.726995198904784,0.10018027575201915,0.3165126786591955,0.5748502994011976
NQ,E-mini Nasdaq-100,Equity,high,0,same_vol_bar,167,433.0443399130672,11.713560511279683,0.39752846667583075,0.6304985857841642,0.7664670658682635
NQ,E-mini Nasdaq-100,Equity,spread,0,same_vol_bar,167,433.32580804691423,10.139989106519005,0.3379098695179533,0.581300154410743,0.7365269461077845
NQ,E-mini Nasdaq-100,Equity,low,1,next_1_vol_bar,167,-128.26302993770125,-0.8019321686832477,0.003163796483138137,-0.05624763535597016,0.46706586826347307
NQ,E-mini Nasdaq-100,Equity,high,1,next_1_vol_bar,167,-70.5649164934202,-1.1383383622564707,0.010650702628847486,-0.10320224139449352,0.41916167664670656
NQ,E-mini Nasdaq-100,Equity,spread,1,next_1_vol_bar,167,-69.53854833536785,-1.0326595939560117,0.008780517259939558,-0.09370441430338075,0.4491017964071856
NQ,E-mini Nasdaq-100,Equity,low,3,next_3_vol_bars,167,190.71834070745297,0.6473285669318433,0.002498398897262444,0.049983986408270634,0.5508982035928144
NQ,E-mini Nasdaq-100,Equity,high,3,next_3_vol_bars,167,64.78757744099572,0.6153236563536826,0.0032066782682655948,0.0566275398394247,0.47904191616766467
NQ,E-mini Nasdaq-100,Equity,spread,3,next_3_vol_bars,167,56.11841764594321,0.45874082808417516,0.0020424479862801714,0.045193450701181255,0.48502994011976047
NQ,E-mini Nasdaq-100,Equity,low,6,next_6_vol_bars,167,-170.95026082580193,-0.4155176122307725,0.0009150444235331845,-0.030249701213949286,0.5029940119760479
NQ,E-mini Nasdaq-100,Equity,high,6,next_6_vol_bars,167,77.13335784620585,0.4558847732860646,0.002071963809193722,0.045518829172045486,0.46706586826347307
NQ,E-mini Nasdaq-100,Equity,spread,6,next_6_vol_bars,167,108.96558997295048,0.5473081700167851,0.00351030379677697,0.05924781681021529,0.47305389221556887
NQ,E-mini Nasdaq-100,Equity,low,12,next_12_vol_bars,167,-730.5242903673532,-1.2866113242469461,0.006959834742926163,-0.08342562401880112,0.46107784431137727
NQ,E-mini Nasdaq-100,Equity,high,12,next_12_vol_bars,167,30.612453328658862,0.14057891523013966,0.00013593175495785204,0.011658977440495254,0.4491017964071856
