index,root,relative_bar,mean,median,count
41,ALI,21,-3.268747897535801e-05,0.0,5761
42,ALI,22,-3.897465971872921e-05,0.0,5761
43,ALI,23,-5.30602308855295e-05,0.0,5761
44,ALI,24,-5.98251115536252e-05,0.0,5761
45,ALI,25,-4.933999292424677e-05,0.0,5761
46,ALI,26,-4.9721548915164096e-05,0.0,5761
47,ALI,27,-5.305717888579635e-05,0.0,5761
48,ALI,28,-3.837625678283207e-05,0.0,5761
49,ALI,29,-3.979804092334139e-05,0.0,5761
50,ALI,30,-3.1016326941670374e-05,0.0,5761
51,ALI,31,-4.3520570020528e-05,0.0,5761
52,ALI,32,-3.135620832334432e-05,0.0,5761
53,ALI,33,-3.098791547051327e-05,0.0,5761
54,ALI,34,-3.688482429488982e-05,0.0,5761
55,ALI,35,-2.5712320033053115e-05,0.0,5761
56,ALI,36,-2.5604717182178497e-05,0.0,5761
57,ALI,37,-2.5988946944242176e-05,0.0,5761
58,ALI,38,-1.6404573551478427e-05,0.0,5761
59,ALI,39,-1.243554180855499e-05,0.0,5761
60,ALI,40,-1.2647203109651676e-05,0.0,5761
61,ALI,41,-7.96957239405525e-06,0.0,5761
62,ALI,42,-6.821164691660544e-06,0.0,5761
63,ALI,43,-1.575023920588974e-05,0.0,5761
64,ALI,44,-1.154502305869025e-05,0.0,5761
65,ALI,45,-1.1640624097356185e-05,0.0,5761
66,ALI,46,-4.9784426098874495e-06,0.0,5761
67,ALI,47,-9.877732748757208e-07,0.0,5761
68,ALI,48,6.262960395513534e-06,0.0,5761
69,ALI,49,2.5993052493770323e-06,0.0,5761
70,ALI,50,-1.4488354845116345e-05,0.0,5761
71,GC,-20,-1.2952436136749619e-05,-0.0,5761
72,GC,-19,-1.4631089685221483e-05,-0.0,5761
73,GC,-18,-1.2686818535068335e-06,-0.0,5761
74,GC,-17,6.662716956331142e-06,-0.0,5761
75,GC,-16,1.4012012558173623e-05,-0.0,5761
76,GC,-15,8.800881767419421e-06,-0.0,5761
77,GC,-14,9.37083526611649e-06,-0.0,5761
78,GC,-13,2.7712698761722946e-06,-0.0,5761
79,GC,-12,4.574813239400902e-06,-0.0,5761
80,GC,-11,1.5201253988591505e-05,-0.0,5761
81,GC,-10,1.574264958863152e-05,-0.0,5761
82,GC,-9,3.160252742597777e-05,-0.0,5761
83,GC,-8,2.3333988610788497e-05,-0.0,5761
84,GC,-7,5.581217485586036e-06,-0.0,5761
85,GC,-6,4.834053799246667e-06,-0.0,5761
86,GC,-5,-3.6253417303985285e-07,-0.0,5761
87,GC,-4,-4.406098416781987e-06,-0.0,5761
88,GC,-3,6.666754342889374e-07,-0.0,5761
89,GC,-2,4.261827981734933e-06,-0.0,5761
90,GC,-1,4.968376024467513e-09,-0.0,5761
91,GC,0,0.0,0.0,5761
92,GC,1,-4.3131991533667215e-06,0.0,5761
93,GC,2,1.0781544280422885e-05,0.0,5761
94,GC,3,3.860905335390974e-07,0.0,5761
95,GC,4,-6.845563894227562e-06,0.0,5761
96,GC,5,-5.006752488750212e-06,0.0,5761
97,GC,6,1.0180661882702518e-05,0.0,5761
98,GC,7,9.603386136037356e-06,0.0,5761
99,GC,8,1.7482787606690858e-05,0.0,5761
100,GC,9,1.5249106503401116e-05,0.0,5761
101,GC,10,8.641079245294667e-06,0.0,5761
102,GC,11,2.2927693644684235e-05,0.0,5761
103,GC,12,3.5114826658350174e-05,0.0,5761
104,GC,13,3.9837212670366105e-05,2.1626999146207027e-05,5761
105,GC,14,4.3562694784570114e-05,0.0,5761
106,GC,15,4.2909915240946784e-05,3.925031891327535e-05,5761
107,GC,16,4.972134259758887e-05,2.291081963434749e-05,5761
108,GC,17,3.937257047186923e-05,2.4653312788558424e-05,5761
109,GC,18,2.5255867820095697e-05,3.5686646526755794e-08,5761
110,GC,19,-2.0966984777602735e-06,1.982180200243988e-05,5761
111,GC,20,-1.1362291062569538e-05,2.126279754932625e-05,5761
112,GC,21,-5.329014086637053e-06,0.0,5761
113,GC,22,3.82012920041603e-06,0.0,5761
114,GC,23,5.0933241991807105e-06,0.0,5761
115,GC,24,9.361646705082224e-06,0.0,5761
116,GC,25,1.230400094287244e-05,0.0,5761
117,GC,26,4.6952046784716176e-06,0.0,5761
118,GC,27,3.405257118072045e-06,0.0,5761
119,GC,28,5.725368172534055e-06,0.0,5761
120,GC,29,5.728050373086249e-06,0.0,5761
121,GC,30,2.0199447803157915e-05,0.0,5761
122,GC,31,9.365398286990668e-06,0.0,5761
123,GC,32,1.5945371657356113e-05,2.2619572714432934e-05,5761
124,GC,33,1.4435994708634024e-05,0.0,5761
125,GC,34,2.4226155926665285e-05,0.0,5761
126,GC,35,3.882384904909361e-05,1.968407066499367e-05,5761
127,GC,36,3.759129363112886e-05,2.3604111838437802e-05,5761
128,GC,37,5.01547278879206e-05,4.1131951306283554e-05,5761
129,GC,38,5.899232844584835e-05,2.7127839945961796e-05,5761
130,GC,39,4.1128010145923154e-05,5.0516531548083776e-05,5761
131,GC,40,2.0953387928225378e-05,2.9102338082509505e-05,5761
132,GC,41,7.211548346751547e-06,4.898411438247763e-05,5761
133,GC,42,2.108980299007729e-06,4.280730293260149e-05,5761
134,GC,43,2.578265293812511e-06,2.4604180250520358e-05,5761
135,GC,44,-2.484400964753692e-06,2.4393516206089316e-05,5761
136,GC,45,-1.0107984003719164e-05,2.056153553553486e-05,5761
137,GC,46,-2.6027905532285323e-06,6.0419310031534224e-05,5761
138,GC,47,-7.267137227284286e-06,4.999250113257858e-05,5761
139,GC,48,-6.726243320758058e-06,2.1041335706684094e-05,5761
140,GC,49,-7.562440608004241e-06,2.3691910396195226e-05,5761
141,GC,50,-1.768254451206497e-05,0.0,5761
142,HG,-20,-0.0005294634058468498,-0.0,5761
143,HG,-19,-0.0005158399677964917,-0.0,5761
144,HG,-18,-0.00047082813874580674,-0.0,5761
145,HG,-17,-0.00044307232089476907,-0.0,5761
146,HG,-16,-0.0004112252479213563,-0.0,5761
147,HG,-15,-0.0003937720276716273,-0.0,5761
148,HG,-14,-0.0003719573044888612,-0.0,5761
149,HG,-13,-0.00035816239835740374,-0.0,5761
150,HG,-12,-0.0003595460054077142,-0.0,5761
151,HG,-11,-0.0003294024989516114,-0.0,5761
152,HG,-10,-0.0003049970182831343,-0.0,5761
153,HG,-9,-0.00026932951452375277,-0.0,5761
154,HG,-8,-0.00024119309411898578,-0.0,5761
155,HG,-7,-0.00023302738918486767,-0.0,5761
156,HG,-6,-0.00022286950889894585,-0.0,5761
157,HG,-5,-0.0001890634703353354,-0.0,5761
158,HG,-4,-0.00016065857214761804,-0.0,5761
159,HG,-3,-0.00010685768208221121,-0.0,5761
160,HG,-2,-7.039507028879497e-05,-0.0,5761
161,HG,-1,-3.760342052905664e-05,-0.0,5761
162,HG,0,0.0,0.0,5761
163,HG,1,-1.6327342185729003e-05,0.0,5761
164,HG,2,1.3670758251090987e-05,0.0,5761
165,HG,3,4.5536072408061025e-05,0.0,5761
166,HG,4,4.208963687992595e-05,0.0,5761
167,HG,5,4.7926926166619656e-05,0.0,5761
168,HG,6,5.6811503173239344e-05,0.0,5761
169,HG,7,7.291847197352666e-05,0.0,5761
170,HG,8,8.275189280476181e-05,0.0,5761
171,HG,9,8.699184115248128e-05,0.0,5761
172,HG,10,7.465803534059409e-05,0.0,5761
173,HG,11,7.557966914156018e-05,0.0,5761
174,HG,12,7.283738116163355e-05,0.0,5761
175,HG,13,6.929931651549666e-05,0.0,5761
176,HG,14,6.887059957733576e-05,0.0,5761
177,HG,15,8.381986247531349e-05,0.0,5761
178,HG,16,0.00010675516384325281,0.0,5761
179,HG,17,0.00011078040548388808,0.0,5761
180,HG,18,7.916769019242486e-05,0.0,5761
181,HG,19,7.242438344284094e-05,0.0,5761
182,HG,20,5.7784422653426615e-05,0.0,5761
183,HG,21,6.163188766034922e-05,0.0,5761
184,HG,22,6.249893050938573e-05,0.0,5761
185,HG,23,6.260506972124404e-05,0.0,5761
186,HG,24,5.506460561441343e-05,0.0,5761
187,HG,25,5.022616954749776e-05,0.0,5761
188,HG,26,4.9131422798455014e-05,0.0,5761
189,HG,27,6.099213089656548e-05,0.0,5761
190,HG,28,7.661080491907779e-05,0.0,5761
191,HG,29,6.74403762869437e-05,0.0,5761
192,HG,30,7.636977546073968e-05,0.0,5761
193,HG,31,5.3658303291044663e-05,0.0,5761
194,HG,32,5.713519080882981e-05,0.0,5761
195,HG,33,5.409776875041235e-05,0.0,5761
196,HG,34,6.296502299154633e-05,0.0,5761
197,HG,35,8.906125946373237e-05,0.0,5761
198,HG,36,9.83307499418316e-05,0.0,5761
199,HG,37,0.00010243880645802579,0.0,5761
200,HG,38,0.00011677273923024361,0.0,5761
201,HG,39,0.00011049636971801051,0.0,5761
202,HG,40,0.00011353995676179155,0.0,5761
203,HG,41,0.0001076909322080463,0.0,5761
204,HG,42,0.00012115025115025386,0.0,5761
205,HG,43,0.00011941134663905981,8.633714661110403e-05,5761
206,HG,44,0.00014898176884416207,0.0,5761
207,HG,45,0.00016209527718756778,0.0,5761
208,HG,46,0.00016766830353629616,1.681063484859635e-06,5761
209,HG,47,0.00017354431513534239,1.5720753836490076e-06,5761
210,HG,48,0.0001810498042904144,8.403714446725274e-05,5761
211,HG,49,0.00019308539747820994,0.0,5761
212,HG,50,0.00020024054878725318,0.0,5761
213,PA,-20,-0.00017664574950381122,-0.0,5761
214,PA,-19,-0.0001583460673088657,-0.0,5761
215,PA,-18,-0.0001656309935606719,-0.0,5761
216,PA,-17,-0.00016004863146712299,-0.0,5761
217,PA,-16,-0.0001556107013920725,-0.0,5761
218,PA,-15,-0.00017002109966141984,-0.0,5761
219,PA,-14,-0.00017997823148863795,-0.0,5761
220,PA,-13,-0.00016816540893925847,-0.0,5761
221,PA,-12,-0.00018268809788791763,-0.0,5761
222,PA,-11,-0.00016915068851999473,-0.0,5761
223,PA,-10,-0.0001769185569510003,-0.0,5761
224,PA,-9,-0.00014190371550908173,-0.0,5761
225,PA,-8,-0.00015275173730708872,-0.0,5761
226,PA,-7,-0.00013653375016459116,-0.0,5761
227,PA,-6,-0.00014782313850476172,-0.0,5761
228,PA,-5,-0.0001262844547659752,-0.0,5761
229,PA,-4,-0.0001221660682743504,-0.0,5761
230,PA,-3,-8.704436189696827e-05,-0.0,5761
231,PA,-2,-5.3514651061472695e-05,-0.0,5761
232,PA,-1,-4.3015701405575345e-05,-0.0,5761
233,PA,0,0.0,0.0,5761
