,kmeans_3,dbscan,spectral_3
23937,0,0,0
23983,0,0,2
24030,0,0,2
24076,0,0,0
24122,1,-1,0
24168,0,0,0
24215,0,0,2
24261,0,0,0
24307,2,0,1
24354,0,0,0
24400,0,0,0
24446,0,0,0
24493,1,-1,0
24539,1,-1,0
24585,0,0,0
24631,0,0,0
24678,2,0,0
24724,0,0,0
24770,0,0,0
24817,0,0,2
24863,0,0,0
24909,2,0,1
24956,2,0,1
25002,0,0,0
25048,1,-1,0
25094,0,0,2
25141,0,0,0
25187,0,0,0
25233,0,0,2
25280,0,0,2
25326,1,-1,0
25372,0,0,0
25419,0,0,0
25465,2,0,0
25511,0,0,0
25557,0,0,2
25604,0,0,2
25650,0,0,2
25696,0,0,0
25743,1,-1,0
25789,0,0,0
25835,0,0,2
25882,0,0,0
25928,1,-1,0
25974,0,0,0
26020,2,0,1
26067,0,0,2
26113,0,0,2
26159,0,0,2
26206,0,0,0
26252,0,0,2
26298,0,0,0
26345,0,0,2
26391,0,0,2
26437,0,0,0
26483,0,0,0
26530,0,0,0
26576,0,0,0
26622,2,0,1
26669,0,0,0
26715,0,0,0
26761,0,0,2
26808,0,0,2
26854,0,0,0
26900,0,0,0
26946,0,0,0
26993,1,-1,0
27039,1,-1,0
27085,1,-1,0
27132,1,-1,0
27178,2,-1,1
27224,0,0,0
27271,0,0,0
27317,0,0,0
27363,2,0,0
27409,0,0,0
27456,1,-1,0
27502,0,0,2
27548,0,0,2
27595,0,0,0
27641,0,0,0
27687,0,0,0
27734,0,0,0
27780,0,0,0
27826,0,0,0
27872,0,0,0
27919,0,-1,0
27965,1,-1,0
28011,1,0,0
28058,0,0,0
28104,0,0,0
28150,0,0,0
28197,2,-1,0
28243,0,0,0
28289,1,0,0
28335,1,-1,0
28382,0,0,0
28428,0,0,0
28474,0,0,2
28521,2,0,1
28567,0,0,2
28613,0,0,2
28660,2,-1,1
28706,0,0,0
28752,1,0,0
28798,0,0,0
28845,0,0,0
28891,2,0,1
28937,1,-1,0
28984,0,0,0
29030,2,0,1
29076,2,0,0
29123,0,0,0
29169,0,0,0
29215,0,0,0
29261,0,0,0
29308,0,0,0
29354,0,0,0
29400,0,0,0
29447,0,0,0
29493,0,0,0
29539,0,0,0
29586,0,0,0
29632,0,0,0
29678,2,0,1
29724,1,-1,0
29771,0,0,0
29817,2,0,0
29863,0,0,0
29910,2,0,0
29956,0,0,2
30002,0,0,2
30049,0,0,2
