,tsne1,tsne2
22039,-27.520422,23.250242
22085,-31.112154,16.079605
22131,-29.842962,16.536036
22178,6.213535,-22.877232
22224,13.8288,12.399783
22270,23.541182,-7.041832
22316,19.6199,-9.293917
22363,-15.296317,-5.9022903
22409,15.349098,-8.690343
22455,29.575375,3.0159733
22502,13.212609,7.7144713
22548,-12.516669,22.822798
22594,22.73558,29.191887
22641,-29.520088,14.309017
22687,-12.35885,4.997505
22733,-20.219952,10.516853
22779,-7.5783267,-24.896593
22826,-13.630972,10.220646
22872,7.5383067,18.217583
22918,0.842242,15.35355
22965,47.789326,13.783432
23011,-7.9916296,-9.40867
23057,-20.47853,26.777458
23104,-18.395714,22.01599
23150,-26.044119,26.085236
23196,-13.848198,3.056991
23242,17.033733,31.23969
23289,9.565543,-8.175112
23335,16.855152,-10.213484
23381,16.723085,-1.9451959
23428,19.054398,30.278622
23474,48.56855,3.8621116
23520,-41.52861,-13.245404
23567,-25.63283,-29.304632
23613,-3.3846111,-14.968563
23659,42.25296,4.9415693
23705,25.50576,-14.749027
23752,-38.719982,-10.615266
23798,-28.662971,-17.214066
23844,17.203983,-0.97356325
23891,-0.2275677,-13.958934
23937,23.862774,22.219614
23983,54.489143,4.6835847
24030,59.7008,4.1629543
24076,10.036591,-1.2423096
24122,-32.660404,15.548937
24168,10.290828,10.326697
24215,40.189808,-9.984706
24261,11.298432,0.5688141
24307,-32.0513,-29.302792
24354,30.118423,-17.361864
24400,-12.211431,-15.666362
24446,8.144629,-8.17688
24493,-31.668715,13.865225
24539,15.288662,37.16438
24585,25.83594,17.546707
24631,12.1812935,-22.043219
24678,-23.70373,-8.552012
24724,-13.742891,2.4650943
24770,24.225391,23.93586
24817,13.081558,24.060255
24863,25.225153,-5.0655837
24909,-34.186813,-8.36892
24956,-25.963003,-3.3815382
25002,-6.758586,-9.240969
25048,-26.878958,26.396053
25094,41.6056,-8.674969
25141,-3.6498885,1.7991431
25187,2.3189652,22.088676
25233,30.739847,-6.6004915
25280,37.862663,-3.7303016
25326,-32.77201,25.410685
25372,5.829681,4.3817353
25419,15.649186,-14.556641
25465,-18.739492,-12.135073
25511,11.99352,-17.585508
25557,42.379913,6.778125
25604,40.211765,-6.7812605
25650,48.409313,4.656141
25696,3.9348984,-2.8732278
25743,2.2967618,-8.965597
25789,5.92273,-0.7229676
25835,30.776886,13.652649
25882,-22.751263,7.788607
25928,-30.343933,14.393946
25974,21.334099,24.998117
26020,-30.920591,-14.257761
26067,59.509594,3.2382753
26113,39.731125,-8.3920145
26159,39.332138,8.341073
26206,-10.102421,20.165915
26252,36.952785,4.717089
26298,11.967908,22.23519
26345,44.97014,12.517841
26391,48.938057,2.0484536
26437,6.0224466,20.498583
26483,21.659565,11.338773
26530,17.818333,-4.0401187
26576,-7.4960093,8.965579
26622,-27.189455,-10.508535
26669,17.834946,34.112446
26715,29.413763,-20.954977
26761,46.939423,15.535559
26808,46.33071,12.385432
26854,-5.5513554,-4.3896694
26900,3.6563885,-16.618862
26946,38.343052,18.371616
26993,-32.297817,25.32947
27039,-8.845543,36.899998
27085,-28.345415,11.39028
27132,-37.462303,16.727192
27178,-50.1222,-15.4987335
27224,12.419174,-8.543656
27271,-8.351819,-17.51712
27317,1.0956638,22.325727
27363,-23.702318,-0.63652384
27409,8.09497,-12.155263
27456,-34.43411,14.319247
27502,39.897415,4.592487
27548,37.7107,-10.569459
27595,4.0856156,-3.1892579
27641,19.02351,-11.139581
27687,15.690284,-27.807041
27734,26.953314,-1.3580849
27780,21.229494,28.337753
27826,22.183329,18.73612
27872,7.418674,-9.813799
27919,3.1978853,-10.294033
27965,-30.184275,16.91474
28011,-20.242159,7.907848
28058,11.599532,-11.276109
28104,15.928334,-17.666029
28150,18.207293,-18.589853
28197,-37.224247,-1.5011958
28243,-0.8712901,20.712112
28289,-20.526463,10.294794
28335,-30.597296,9.669817
28382,-2.2467563,-16.619535
28428,10.952279,-7.541402
28474,46.59256,15.740237
28521,-30.51594,-30.130257
28567,55.783672,1.9673369
28613,54.703156,0.115737855
28660,-29.608582,-11.61666
28706,-11.517918,6.39078
28752,-26.598104,11.999835
28798,15.609822,-24.329119
28845,0.63294834,-29.41586
28891,-28.885607,-11.917888
28937,-31.461435,13.853422
28984,17.496172,31.97719
29030,-47.985046,-21.781792
29076,-13.026259,-20.489948
29123,33.280582,6.5968113
29169,32.50451,6.9334693
29215,31.943209,-19.529028
29261,21.983349,-14.684079
29308,21.177954,-12.9662695
29354,31.345774,-20.139849
29400,4.328891,-17.25464
29447,-14.770763,-0.7429527
29493,-6.0708895,25.541437
29539,20.218132,7.8965926
29586,-15.099796,-3.1622736
29632,-10.46671,-7.638279
29678,-27.947365,-16.39789
29724,-26.81438,24.46594
29771,10.857957,-22.885794
