variant,base_variant,detector,target_months,min_volume,cost_multiplier,net_return,net_return_baseline,net_delta,sharpe,sharpe_baseline,sharpe_delta,tstat,tstat_baseline,tstat_delta,cost_return,cost_return_baseline,cost_delta,event_count,event_count_baseline,hazard_exit_count,hazard_exit_fraction,event_tstat,event_tstat_baseline,active_fraction,active_fraction_baseline
quantile_band_target1m_minv1000_lb126_entry0p05_both_costx3p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb126_entry0p05_both_costx3p0,quantile_band,1,1000.0,3.0,-0.011507931332128768,-0.0110250897121399,-0.00048284161998886875,-0.6965738296571581,-0.6657051746763958,-0.0308686549807623,-1.2049863370569665,-1.1515873922337718,-0.05339894482319463,0.036001444137695515,0.0358692549750036,0.00013218916269191333,95,88,2,0.021052631578947368,0.3714803856495182,0.6898023585290644,0.6897435897435897,0.6897435897435897
quantile_band_target1m_minv1000_lb126_entry0p05_backwardation_only_costx3p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb126_entry0p05_backwardation_only_costx3p0,quantile_band,1,1000.0,3.0,-0.00759454473211367,-0.0071117031121248,-0.0004828416199888696,-0.48346692443187567,-0.4527725007341822,-0.030694423697693485,-0.8363378202797179,-0.7832402739682777,-0.05309754631144026,0.021601498752093495,0.0214693095894016,0.00013218916269189598,54,53,2,0.037037037037037035,0.11465801093423546,0.2017525142556676,0.5448717948717948,0.5448717948717948
rank_pct_target1m_minv1000_lb126_entry0p05_backwardation_only_costx3p0_hazardexp_minh8_tail4,rank_pct_target1m_minv1000_lb126_entry0p05_backwardation_only_costx3p0,rank_pct,1,1000.0,3.0,-0.007462055753981071,-0.0069792141339922,-0.0004828416199888705,-0.47522271549150186,-0.4445156870001945,-0.030707028491307353,-0.8220763612497645,-0.7689570102086035,-0.053119351041160945,0.021020627592766697,0.0208884384300748,0.00013218916269189598,52,51,2,0.038461538461538464,0.08030680481813256,0.1679699873859167,0.5423076923076923,0.5423076923076923
rank_pct_target1m_minv1000_lb126_entry0p05_both_costx3p0_hazardexp_minh8_tail4,rank_pct_target1m_minv1000_lb126_entry0p05_both_costx3p0,rank_pct,1,1000.0,3.0,-0.011541549648498748,-0.0110587080285098,-0.0004828416199889468,-0.6990488324971286,-0.6681534989608058,-0.03089533353632279,-1.2092677850232352,-1.1558226896075632,-0.053445095415671995,0.03542057297836871,0.0352883838156768,0.0001321891626919064,93,86,2,0.021505376344086023,0.3061875825867458,0.6210784567550324,0.6871794871794872,0.6871794871794872
quantile_band_target6m_minv10_lb252_entry0p05_backwardation_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target6m_minv10_lb252_entry0p05_backwardation_only_costx1p0,quantile_band,6,10.0,1.0,0.020581560753731874,0.021084286809218,-0.0005027260554861246,1.039587470367677,1.0641735220374091,-0.024586051669732045,1.7983573953463297,1.8408882156023605,-0.04253082025603083,0.011992545415115316,0.0120806715235765,-8.812610846118361e-05,78,76,3,0.038461538461538464,2.2864707348964,2.3317466208321447,0.5179606025492468,0.5689455388180765
quantile_band_target1m_minv1000_lb126_entry0p1_backwardation_only_costx3p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb126_entry0p1_backwardation_only_costx3p0,quantile_band,1,1000.0,3.0,-0.008702523978148791,-0.0081971951050171,-0.0005053288731316913,-0.5415629701577261,-0.5104290469506547,-0.031133923207071423,-0.9368367743836092,-0.8829789484271466,-0.0538578259564626,0.02751998308097235,0.0270713010843373,0.00044868199663505165,73,72,1,0.0136986301369863,0.438156366633762,0.4948013358574927,0.6038461538461538,0.6038461538461538
rank_pct_target1m_minv500_lb252_entry0p1_backwardation_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv500_lb252_entry0p1_backwardation_only_costx1p0,rank_pct,1,500.0,1.0,0.009163834741429445,0.0096704804395042,-0.000506645698074756,0.5726576808664859,0.6016664899993196,-0.029008809132833657,0.9906267675810797,1.0408084097432069,-0.05018164216212717,0.012891253000330827,0.0126709377291778,0.00022031527115302756,96,80,19,0.19791666666666666,3.474371287579785,3.613394830654965,0.7009925558312655,0.7196029776674938
quantile_band_target1m_minv500_lb252_entry0p1_backwardation_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv500_lb252_entry0p1_backwardation_only_costx1p0,quantile_band,1,500.0,1.0,0.009163834741429445,0.0096704804395042,-0.000506645698074756,0.5726576808664859,0.6016664899993196,-0.029008809132833657,0.9906267675810797,1.0408084097432069,-0.05018164216212717,0.012891253000330827,0.0126709377291778,0.00022031527115302756,96,80,19,0.19791666666666666,3.474371287579785,3.613394830654965,0.7009925558312655,0.7196029776674938
quantile_band_target1m_minv10_lb126_entry0p05_backwardation_only_costx3p0_hazardexp_minh8_tail4,quantile_band_target1m_minv10_lb126_entry0p05_backwardation_only_costx3p0,quantile_band,1,10.0,3.0,-0.01607183546449674,-0.0155570131132754,-0.0005148223512213401,-1.0040933228439368,-0.9618197082742308,-0.04227361456970602,-1.738545360375482,-1.6653503746063287,-0.07319498576915318,0.07726103130787233,0.0766650405340662,0.0005959907738061349,148,134,19,0.12837837837837837,1.3680642615359333,1.0135825306449555,0.5096359743040685,0.5353319057815846
mad_z_target1m_minv500_lb252_entry1p5_contango_only_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv500_lb252_entry1p5_contango_only_costx1p0,mad_z,1,500.0,1.0,0.0038680299167824454,0.0043969429326442,-0.0005289130158617544,0.48825872783336866,0.5530002101467376,-0.06474148231336896,0.8446270458905967,0.9566217811318294,-0.11199473524123271,0.010527929486310959,0.0101178202947387,0.00041010919157225857,54,52,3,0.05555555555555555,1.1120776977728053,1.1501981823381542,0.45533498759305213,0.4553349875930521
