variant,base_variant,detector,target_months,min_volume,lookback,side_mode,cost_multiplier,entry_level,exit_level,md_entry,component_entry,hazard_exit,hazard_min_history_events,hazard_min_tail_events,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,hazard_exit_count,hazard_exit_fraction,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
mad_z_target6m_minv10_lb252_entry1p5_backwardation_only_costx1p0_hazardexp_minh8_tail4,mad_z_target6m_minv10_lb252_entry1p5_backwardation_only_costx1p0,mad_z,6,10.0,252,backwardation_only,1.0,1.5,0.25,,1.25,True,8,4,0.027568144675414335,0.014627944815504385,0.01595209710183036,0.005330744251091985,0.006830278886591589,0.7804577733358276,1.350095156435096,-0.007253244322033166,0.15990730011587487,0.31981460023174973,0.04217844727694091,0.6361529548088065,91,7,0.07692307692307693,0.5824175824175825,0.0001959818887059523,1.7304057253705052,863,288.39043915828
quantile_band_target1m_minv1000_lb252_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb252_entry0p1_both_costx1p0,quantile_band,1,1000.0,252,both,1.0,0.1,0.25,,1.25,True,8,4,0.029024154858721556,0.013165603119567016,0.01585855173915454,0.005299484009813537,0.005781544087246721,0.9166208766795463,1.5856404384351561,-0.008061806701660824,0.2784615384615385,0.556923076923077,0.046153846153846156,0.8076923076923077,90,1,0.011111111111111112,0.7888888888888889,0.00022158026674604602,4.270899598756021,780,260.6541628545288
mad_z_target1m_minv500_lb252_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv500_lb252_entry1p5_both_costx1p0,mad_z,1,500.0,252,both,1.0,1.5,0.25,,1.25,True,8,4,0.038167440293761595,0.022789635229715294,0.01578791425561856,0.005275878940406843,0.005982869952633821,0.8818307906031383,1.52545790414767,-0.008757917060785346,0.29528535980148884,0.5905707196029777,0.06476426799007444,0.8337468982630273,131,10,0.07633587786259542,0.8091603053435115,0.00016958331976711728,3.037530428555183,806,269.3426349496798
mad_z_target1m_minv1000_lb126_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv1000_lb126_entry1p5_both_costx1p0,mad_z,1,1000.0,126,both,1.0,1.5,0.25,,1.25,True,8,4,0.028806132686706003,0.013058555495918863,0.015779592558163462,0.005273098062094423,0.005428950168755585,0.9712924042740132,1.6802154008763805,-0.008066213444463004,0.21641025641025644,0.43282051282051287,0.05128205128205128,0.7346153846153847,100,0,0.0,0.82,0.00020579052786501726,4.5371012171978915,780,260.6541628545288
quantile_band_target1m_minv500_lb126_entry0p05_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv500_lb126_entry0p05_both_costx1p0,quantile_band,1,500.0,126,both,1.0,0.05,0.25,,1.25,True,8,4,0.03719594295989441,0.021834312083953592,0.01573324350437266,0.005257609505921422,0.005950009816726626,0.8836303918593995,1.528570991136615,-0.008436609214754318,0.2739454094292804,0.5478908188585608,0.07270471464019852,0.7642679900744417,147,4,0.027210884353741496,0.7959183673469388,0.00015098105979442414,2.9079779588519163,806,269.3426349496798
rank_pct_target1m_minv500_lb252_entry0p1_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv500_lb252_entry0p1_both_costx1p0,rank_pct,1,500.0,252,both,1.0,0.1,0.25,,1.25,True,8,4,0.042221498360692784,0.026956518898427456,0.01570710402121391,0.005248874422459635,0.0061305131064816115,0.8561884350120962,1.4810998091093164,-0.00864017870178072,0.33151364764267993,0.6630272952853599,0.08908188585607942,0.8647642679900744,180,25,0.1388888888888889,0.7611111111111111,0.0001324408005124997,3.0967079974289904,806,269.3426349496798
rank_pct_target1m_minv500_lb126_entry0p05_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv500_lb126_entry0p05_both_costx1p0,rank_pct,1,500.0,126,both,1.0,0.05,0.25,,1.25,True,8,4,0.0360088461219612,0.020770764193790377,0.015609694556602667,0.005216322906495082,0.005937379736297414,0.8785563898845407,1.519793596991741,-0.008283002889698222,0.2714640198511166,0.5429280397022332,0.06972704714640199,0.7617866004962779,141,3,0.02127659574468085,0.8014184397163121,0.0001543583828658203,2.8572750506987727,806,269.3426349496798
rank_pct_target6m_minv10_lb252_entry0p1_backwardation_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target6m_minv10_lb252_entry0p1_backwardation_only_costx1p0,rank_pct,6,10.0,252,backwardation_only,1.0,0.1,0.25,,1.25,True,8,4,0.028176089160539305,0.015684189522843592,0.015600608739503927,0.005213286680790311,0.0068516329465188736,0.7608823650483262,1.3162321278163487,-0.007253244322033165,0.16593279258400925,0.3318655851680185,0.04588644264194671,0.6257242178447276,99,6,0.06060606060606061,0.5858585858585859,0.0001784626411945882,1.7112121914473084,863,288.39043915828
quantile_band_target6m_minv10_lb252_entry0p1_backwardation_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target6m_minv10_lb252_entry0p1_backwardation_only_costx1p0,quantile_band,6,10.0,252,backwardation_only,1.0,0.1,0.25,,1.25,True,8,4,0.02796184199506943,0.015684189522843592,0.015386361574034058,0.005141691276226844,0.0068513651456761,0.7504623045046385,1.2982067153591652,-0.007253244322033165,0.16732329084588646,0.3346465816917729,0.045422943221320976,0.6315179606025493,98,5,0.05102040816326531,0.6020408163265306,0.000177872681486521,1.6880866955568843,863,288.39043915828
quantile_band_target1m_minv500_lb252_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv500_lb252_entry0p1_both_costx1p0,quantile_band,1,500.0,252,both,1.0,0.1,0.25,,1.25,True,8,4,0.041986089408874355,0.02710607956397245,0.015322134403850477,0.005120228354077207,0.0061338728673772875,0.8347464097778907,1.4440077646683631,-0.008764615208464681,0.3322580645161291,0.6645161290322582,0.08957816377171217,0.8647642679900744,181,25,0.13812154696132597,0.7569060773480663,0.00012999533042905537,3.0508608888294027,806,269.3426349496798
