variant,split,start_ts,end_ts,nobs_5m,years,cum_log_return,gross_cum_log_return,cost_cum_log_return,total_return_pct,cagr,annual_log_return,annual_vol,sharpe_0rf,max_drawdown,calmar,avg_scale,p10_scale,p50_scale,p90_scale,risk_off_fraction,annual_turnover
VOL_TARGET_16,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.5616011847554978,0.5633954257102415,0.0017942409547436456,75.34778957943259,0.4661916358767015,0.3826683151646294,0.16062961423721311,2.3823023978599367,-0.1583846159878064,2.943414882620875,0.8182633268779339,0.49956430597407153,0.8761071503938409,1.0,0.6874783178506726,11.597377362008082
VOL_TARGET_14,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.5281831502002108,0.5299156083463724,0.0017324581461616063,69.58484061359012,0.43318274518524197,0.3598976670133928,0.14547456886881652,2.473955893541331,-0.13982243955519413,3.098091740948673,0.7513874289979672,0.4371187677273126,0.7665937565946108,1.0,0.7810970203908569,11.39230041141645
VOL_TARGET_12,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.4744034268275952,0.47609555666864734,0.0016921298410521666,60.70551854435876,0.38161459023592004,0.32325280818536456,0.1266099887390148,2.5531382745139948,-0.12091663669100783,3.156013933889872,0.6585397563734092,0.3746732294805536,0.6570803627953806,0.921874505288621,0.9802644258566858,11.63624150382422
VOL_TARGET_10,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.39718423919127943,0.3986115285261083,0.0014272893348289202,48.762998455001835,0.3107986125757358,0.270636579385856,0.10555564490421915,2.5639233186574795,-0.10166249454815746,3.057160990954346,0.5491362915765876,0.31222769123379474,0.5475669689961506,0.7682287544071843,1.0,9.865563704536086
TSMOM_20D_HALF,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.4968805300498417,0.5267736662070647,0.029893136157223,64.35861478349221,0.40293775835062806,0.33856843687938737,0.19131426060620996,1.7696978563259158,-0.1906832144874273,2.1131265247114643,0.8740845314728443,0.5,1.0,1.0,0.25183093705431137,231.29201868998462
TSMOM_60D_HALF,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.5512549843329386,0.5579908284620392,0.00673584412910075,73.54295887453408,0.4558916608083528,0.37561853822055125,0.20311895044842862,1.8492540326310904,-0.2148784119625311,2.1216261635805824,0.9381914196507728,0.5,1.0,1.0,0.1236171606984543,60.6560541044959
TSMOM_60D_FLAT,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.486105182305114,0.4982499212040803,0.012144738898966204,62.597101059628336,0.3926748411260188,0.3312262440943364,0.1976820428337922,1.6755504918209791,-0.24288413536287323,1.61671671366825,0.8763828393015457,0.0,1.0,1.0,0.1236171606984543,113.3133592523767
DD_SOFT,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.6210228000210923,0.6240585121332155,0.0030357121121231574,86.08303261491294,0.526774731070729,0.4231574914970219,0.19088545731468848,2.2168136716639246,-0.19044244225404094,2.766057423103392,0.9218213969086073,0.75,1.0,1.0,0.26518714103997226,24.923107594928624
DD_HARD,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.5759901835428402,0.5866890652759431,0.010698881733103013,77.88910838086524,0.4806376009437623,0.3924728064519037,0.16913337614856286,2.3204929469814677,-0.16875844175589028,2.8480803445614082,0.8311996492310064,0.5,1.0,1.0,0.36977219288440044,87.41626536986402
VOL12_DD_SOFT,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.4744034268275952,0.47609555666864734,0.0016921298410521666,60.70551854435876,0.38161459023592004,0.32325280818536456,0.1266099887390148,2.5531382745139948,-0.12091663669100783,3.156013933889872,0.6585397563734092,0.3746732294805536,0.6570803627953806,0.921874505288621,0.9802644258566858,11.63624150382422
VOL12_DD_HARD,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.46146792788609764,0.464098465092578,0.0026305372064803264,58.640099889714,0.36949041976253694,0.31443871426939146,0.1260639398185623,2.4942796070148834,-0.12091663669100716,3.0557450973991305,0.6548600552545839,0.3746732294805536,0.6570803627953806,0.9077227683655481,0.9880410900821031,20.26946683558086
VOL10_DD_HARD,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.39493712505216005,0.3964606480636499,0.001523523011489798,48.42908632763516,0.30879311034066503,0.269105422748475,0.10545554174840305,2.55183765866482,-0.10166249454815734,3.037433929917884,0.5483232027623097,0.31222769123379474,0.5475669689961506,0.7586105738356076,1.0,10.726490313212432
VOL14_TSMOM60_HALF,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.5103887263097671,0.5130024494522907,0.002613723142523663,66.59386632826208,0.41591046152086864,0.3477727598829959,0.14291889089426657,2.4333575338216353,-0.13671161378194296,3.042246741262611,0.7351581109828861,0.4371187677273126,0.7399024039324629,1.0,0.7974309062174768,20.428284808520083
VOL12_TSMOM60_HALF,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.45340332367342007,0.45552222482090565,0.0021189011474855744,57.36587523665718,0.36198553823144464,0.30894358963236196,0.12515159994806452,2.4685548547566913,-0.12091663669100705,2.9936785221414173,0.6477131567149639,0.3746732294805536,0.6342020605135394,0.9038993436010413,0.9880410900821031,16.023134845324737
VOL12_TSMOM60_DD_SOFT,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.45340332367342007,0.45552222482090565,0.0021189011474855744,57.36587523665718,0.36198553823144464,0.30894358963236196,0.12515159994806452,2.4685548547566913,-0.12091663669100705,2.9936785221414173,0.6477131567149639,0.3746732294805536,0.6342020605135394,0.9038993436010413,0.9880410900821031,16.023134845324737
VOL12_TSMOM60_DD_HARD,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.4496119536649952,0.45208191973579426,0.0024699660707990954,56.77037257573658,0.35847153384495545,0.3063601955572207,0.12501315996037093,2.4506235635859186,-0.1209166366910075,2.964617141651069,0.6465186517166543,0.3746732294805536,0.6342020605135394,0.9002623655101213,0.9880410900821031,19.257650099832535
VOL_TARGET_12_DAILY,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.470759094142241,0.47173939579537927,0.0009803016531382243,60.120920053117544,0.37818801472683355,0.3207696035795711,0.12791922459264735,2.5075949655030088,-0.12072501373588251,3.132640063758606,0.659031454618871,0.3731674548223691,0.6563693830919536,0.9235646395100158,0.981382261110897,6.420271339548394
VOL14_TSMOM60_HALF_DAILY,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.5014412983562753,0.5026341622943237,0.0011928639380484353,65.10992832586784,0.40730438334008917,0.3416760897317207,0.14424175618490517,2.3687737779185256,-0.13673728006469776,2.9787369117432463,0.7348579931326096,0.4353620306260974,0.748834612883891,1.0,0.8010445977720387,7.9631095904086635
VOL12_TSMOM60_DD_SOFT_DAILY,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.4472461075382258,0.44828039287471116,0.0010342853364853648,56.399916390944995,0.35628336152933426,0.30474813636674064,0.1262704140599798,2.4134563795916755,-0.12072501373588218,2.9511975232307543,0.6472922960088143,0.3731674548223691,0.6418582396147636,0.9075710833639422,0.9893612920633696,6.977390360125099
VOL12_TSMOM60_DD_HARD_DAILY,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.442228191196094,0.4433072332238363,0.0010790420277422496,55.617080439851385,0.35165394676411604,0.30132898832289057,0.12579336938992183,2.3954282311085953,-0.12072501373588163,2.9128507496669536,0.6429102466389206,0.3731674548223691,0.6418582396147636,0.8952446558650754,0.9893612920633696,7.3972610317104746
VOL10_DD_HARD_DAILY,2025_2026,2025-01-01 23:00:00+00:00,2026-06-21 23:55:00+00:00,103772,1.4675925925925926,0.3921390702959153,0.3929606372773091,0.0008215669813937526,48.014354108981536,0.3063001936832077,0.2671988617789202,0.10651286403115777,2.5086064881398515,-0.10148445054778854,3.0181982759907875,0.5485426976837301,0.310972879018641,0.5469744859099613,0.7596458104193854,1.0,5.41894942375689
