time_bin,time_utc,signal_window,horizon,n_days,momentum_ls_mean,momentum_ls_tstat,momentum_ls_p_value,mean_daily_ic,daily_ic_tstat,daily_ic_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,momentum_ls_q_value,daily_ic_q_value
1200,20:00,15,30,2464,-0.000361971704600059,-9.048478513976349,1.449741945411659e-19,-0.1578382747946724,-13.512552439789609,1.3186888343138941e-41,2023-07-03 00:00:00+00:00,1724,-0.0004573056693315303,-10.03200671674161,740,-0.0001398693327121449,-1.751543295699824,1.307183987446179e-17,9.51214212485089e-40
1200,20:00,5,15,2464,-0.0002953589564489166,-8.88224785204902,6.552264376434103e-19,-0.1653163532738135,-14.119325007706953,2.887437127225336e-45,2023-07-03 00:00:00+00:00,1724,-0.0003728001227583056,-9.497254735881548,740,-0.00011494196899298879,-1.855207959440496,5.453500042539769e-17,3.1242069716578135e-43
1260,21:00,5,120,2459,-0.00047100142917299177,-8.868276995181809,7.428635601577135e-19,-0.17086037523982098,-13.601247834223958,3.936591629165868e-42,2023-07-03 00:00:00+00:00,1721,-0.0005100045507981612,-8.906180956459071,738,-0.0003800469951392294,-3.2729132504419267,5.741274086361757e-17,3.042422959112478e-40
1080,18:00,30,60,2527,-0.0006342990039534572,-8.708643985367164,3.0753151480342895e-18,-0.12987853565853563,-11.390306005786021,4.6734554860213394e-30,2023-07-06 00:00:00+00:00,1768,-0.0006507276696961137,-7.772167672686434,759,-0.0005960303859916435,-4.133541816367165,2.2183273267820673e-16,1.444765381678597e-28
1200,20:00,60,30,2464,-0.00034353061760889164,-8.561502606783824,1.114058991218178e-17,-0.13401192433173653,-11.527029892834182,9.641274847713859e-31,2023-07-03 00:00:00+00:00,1724,-0.0003429584021560436,-7.494876460250101,740,-0.00034486372496120256,-4.279591310666123,7.533823928112929e-16,3.2599560578832486e-29
1200,20:00,60,15,2464,-0.00027841491561682107,-8.545208708642372,1.2830418900076056e-17,-0.13631482613830112,-11.621767798025418,3.194567621195795e-31,2023-07-03 00:00:00+00:00,1724,-0.00032477974280046234,-8.356269594541965,740,-0.00017039739931331085,-2.8588098408866545,8.166184264636643e-16,1.1521740553779499e-29
1080,18:00,5,5,2527,-0.00024973547346713616,-8.527610591269411,1.4940147547793157e-17,-0.1275090384335184,-11.021259768961112,3.01805328344491e-28,2023-07-06 00:00:00+00:00,1768,-0.00023558425575946694,-6.798006948100002,759,-0.000282699047784869,-5.168125433373035,8.980688692617885e-16,6.947943941888069e-27
180,03:00,5,5,2529,-0.00021956376369011802,-8.466607431194486,2.5264380527733463e-17,-0.13788375200592096,-11.739362327143066,8.008801488299845e-32,2023-07-07 00:00:00+00:00,1770,-0.00018204123753048625,-6.83311141202019,759,-0.00030706688793589966,-5.120457694695928,1.4387399858425056e-15,3.2094530408668266e-30
1110,18:30,5,5,2507,-0.00023917082316786897,-8.41365728887943,3.9742075091916984e-17,-0.14487792179106468,-12.738432946347057,3.615846555561684e-37,2023-07-12 00:00:00+00:00,1754,-0.00020951561760200563,-6.050087280405194,753,-0.000308248154592204,-6.234661483728712,2.1500462624727087e-15,1.8630218919608297e-35
1260,21:00,15,5,2459,-9.588493262834791e-05,-8.397816120065812,4.5485873013751345e-17,-0.20167732870407118,-10.601908407210344,2.9196070960279187e-26,2023-07-03 00:00:00+00:00,1721,-9.214037828069794e-05,-7.060403788759072,738,-0.00010461715218431756,-4.580344198581883,2.2598518273099996e-15,5.743663414367651e-25
1230,20:30,5,5,2451,-0.00015645485009487282,-8.396626345543515,4.594892809687615e-17,-0.1500898165784166,-12.766391165780357,2.5259697639757437e-37,2023-07-06 00:00:00+00:00,1715,-0.0001517848392121082,-7.015729608110704,736,-0.00016733673686653228,-4.622735320986442,2.2598518273099996e-15,1.3665496423108774e-35
1260,21:00,15,rest,2459,-0.000606153816960546,-8.355779210616902,6.500218967168361e-17,-0.18064629657225262,-14.326913240095095,1.4857916337894392e-46,2023-07-03 00:00:00+00:00,1721,-0.0006066526263090057,-8.007320861211397,738,-0.0006049906043742328,-3.66549534322421,3.0579290967287683e-15,1.7862517197335256e-44
1200,20:00,5,30,2464,-0.00033942476370996724,-8.349406488252306,6.86068390212586e-17,-0.15423002144123155,-13.159647407268903,1.497832132086355e-39,2023-07-03 00:00:00+00:00,1724,-0.0004143323165539165,-8.903866028300573,740,-0.000164910410868118,-2.042450944223778,3.0930249925417416e-15,9.533260981867271e-38
1260,21:00,5,60,2459,-0.0003305093388048162,-8.239939197146224,1.7229819356198406e-16,-0.16925604079025536,-13.671842206008943,1.4956027855414456e-42,2023-07-03 00:00:00+00:00,1721,-0.000336544166345111,-8.502881249093424,738,-0.0003164362518172183,-3.2720727047084326,7.45706581736267e-15,1.2448017030429572e-40
1260,21:00,30,60,2459,-0.0003256008316013038,-8.212620213488924,2.1641321421962698e-16,-0.1866660467454271,-14.982062951335447,9.618449128369701e-51,2023-07-03 00:00:00+00:00,1721,-0.0003679408027831408,-8.798553944061823,738,-0.00022686493674501466,-2.5474491905966405,9.0061191456014e-15,1.734526992816003e-48
