root,time_bin,time_utc,signal_window,horizon,n,ic,ic_tstat,ic_p_value,signed_mean,signed_tstat,signed_p_value,quintile_spread_mean,quintile_spread_tstat,quintile_spread_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,ic_q_value,signed_q_value,quintile_spread_q_value
PA,1260,21:00,60,120,1909,-0.15372424447681637,-6.793768665968579,1.0924150823036928e-11,-0.0002835413753762788,-4.500596540928099,6.776301912152993e-06,-0.0006068092474914932,-4.961323064953608,7.001462964757692e-07,2024-09-10 00:00:00+00:00,534,-0.0007011895431489269,-5.9877933660391705,230,-0.00038768282192162525,-1.284033826708288,1.4811943847776887e-10,0.0006916942140518433,0.000180371022092091
PA,1200,20:00,30,30,2181,-0.1551501997524664,-7.3311477550820925,2.281899085708429e-13,-0.00021157267684103687,-4.623748079453991,3.7686753139449573e-06,-0.00046960521601349155,-4.9136461505744204,8.939803496728255e-07,2024-02-22 00:00:00+00:00,611,-0.0005857685050028257,-5.726785276559849,263,-0.00019973536973028568,-0.9505535183930938,3.9066690043299365e-12,0.0004864442968954743,0.00021983789507863574
PA,1140,19:00,5,15,2118,-0.15191242008385095,-7.07002634508086,1.5490428589036518e-12,-0.00017888267038303245,-5.1047794413849825,3.3118055227000263e-07,-0.00036505641199337116,-4.88868120175017,1.0151373289853233e-06,2024-02-09 00:00:00+00:00,593,-0.00039544364306608426,-4.778362541998997,255,-0.00029439120404780694,-1.8736411124499934,2.3807732575763514e-11,8.258523780783276e-05,0.0002290314800668949
PA,1050,17:30,60,rest,2428,-0.1367251461887622,-6.79816209506474,1.059621975940747e-11,-0.0005638491358509809,-3.633115743365901,0.0002800193325627001,-0.001419419360422107,-4.880912749796402,1.0559595617377478e-06,2023-08-17 00:00:00+00:00,680,-0.0018107152601726318,-5.485348846577876,292,-0.0005081823336058166,-0.8674842887846108,1.440340424582774e-10,0.008859091164702968,0.0002290314800668949
PA,1260,21:00,5,30,1909,-0.15683140244807361,-6.934515548666163,4.076155747965638e-12,-0.00014092091942787647,-4.798626113396581,1.5975770216364258e-06,-0.0003015922794749583,-4.8804629476215196,1.058370979976409e-06,2024-03-22 00:00:00+00:00,534,-0.0003774595000327095,-5.853937618117488,230,-0.00012544838478870137,-0.8959879009056638,5.880534025731761e-11,0.000278802957646873,0.0002290314800668949
HG,1260,21:00,30,rest,2406,-0.13991178605709612,-6.928104218322538,4.2651749813751425e-12,-0.00018951573203292423,-5.285754582712527,1.2518763569856588e-07,-0.0003445377032011094,-4.8394509154064345,1.3019834161896741e-06,2024-01-29 00:00:00+00:00,674,-0.0002949075683082571,-3.8998251024686104,290,-0.0004598849822279454,-2.901250389205858,6.136860810967958e-11,4.515100727528276e-05,0.00027091270313792836
PA,540,09:00,5,5,2393,-0.15335284743371344,-7.588384184786171,3.2391930416526795e-14,-0.00015669602507928802,-4.190963150005504,2.7777277633485075e-05,-0.0003600108232291789,-4.761156487323025,1.924867158038302e-06,2024-01-17 00:00:00+00:00,670,-0.00037419198500059667,-4.050476933736859,288,-0.0003270199260526167,-2.4985163289055516,6.236311158484341e-13,0.0017889889523470745,0.00038568634536989685
HG,1320,22:00,15,60,809,-0.2114660067167144,-6.14626817020015,7.932712384061288e-10,-8.763472139437887e-05,-4.125495400026658,3.6993757695549474e-05,-0.0001947291563421907,-4.719308859099964,2.366472856986651e-06,2022-12-13 00:00:00+00:00,226,-0.00020496384983773605,-4.379126457038825,98,-0.00017112669991368814,-2.042886475762113,8.268973795331708e-09,0.0022742753310559393,0.00045723636272492076
PA,1170,19:30,5,60,1795,-0.13330640514689082,-5.695537251101574,1.2298402875887326e-08,-0.0002561042316531111,-3.7048984418538953,0.0002114754458635525,-0.000688976614428028,-4.708430807512042,2.4963107338645454e-06,2024-05-20 00:00:00+00:00,502,-0.0006515810995796279,-4.066492560715747,216,-0.000775886560973847,-2.475097728376127,1.0836214911816033e-07,0.007195485296363641,0.0004631613129027967
PA,1080,18:00,30,120,2275,-0.14335268794552622,-6.9058067606201,4.9918911655368195e-12,-0.0004081447192047037,-3.669704541657868,0.00024283097144714742,-0.001030903929064132,-4.702626321740206,2.568362178758577e-06,2024-02-05 00:00:00+00:00,637,-0.0010352626419810403,-4.611504857854322,273,-0.0010207335989246787,-2.000393861911069,7.088223413531284e-11,0.007913949129693178,0.0004631613129027967
