root,time_bin,time_utc,horizon,n,mean,tstat,p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,q_value
SI,750,12:30,5,2474,2.7319896078860897e-05,0.737103314463141,0.46105952371435577,2023-07-17 00:00:00+00:00,1731,7.325502686042191e-06,0.16575885697445766,743,7.390171971677366e-05,1.085843967490304,0.8059502482809717
GC,720,12:00,30,2450,2.9689865894660417e-05,0.7361431892833934,0.4616435613315272,2023-07-24 00:00:00+00:00,1715,4.765056558372704e-05,1.0107524157659633,735,-1.2218433379828366e-05,-0.15803215439029783,0.8059502482809717
PL,420,07:00,120,2534,-8.672192054347302e-05,-0.7299734464646688,0.4654064157355661,2023-06-23 00:00:00+00:00,1773,-0.000187738605932502,-1.5093373513716608,761,0.000148629699948969,0.5520506760970444,0.8104706111827567
PL,840,14:00,120,2538,-0.00012187938621676834,-0.7294650445267821,0.465717242554489,2023-06-23 00:00:00+00:00,1776,-0.00012137422129435413,-0.6431091738281642,762,-0.00012305677847688335,-0.3607826789610338,0.8104706111827567
PL,1020,17:00,60,2534,5.168930221112334e-05,0.7280965908210776,0.46655446062104683,2023-06-26 00:00:00+00:00,1773,6.255762890341543e-05,0.779847213854579,761,2.6367957631052554e-05,0.18205973065399553,0.8104706111827567
PL,840,14:00,5,2538,-3.26484443127975e-05,-0.7279951818650504,0.46661653570301354,2023-06-23 00:00:00+00:00,1776,-7.789512622050202e-06,-0.14611239792797762,762,-9.058737171800381e-05,-1.0924726721150309,0.8104706111827567
SI,180,03:00,60,2448,4.6641682163706195e-05,0.7256140488839783,0.4680754061623748,2023-07-28 00:00:00+00:00,1713,-2.133427115900731e-05,-0.36888255218100285,735,0.0002050672713362344,1.2333345600466565,0.8108028090614395
PA,120,02:00,5,1453,-2.9039173256713895e-05,-0.7239247593220405,0.46911192860953316,2024-08-14 00:00:00+00:00,1017,-3.601919792978787e-05,-0.8900145790480761,436,-1.2757785429841796e-05,-0.13466245665715565,0.8108028090614395
PL,1380,23:00,5,1590,1.396039032613417e-05,0.7237370323486947,0.46922719336475077,2023-07-26 00:00:00+00:00,1113,3.2647761822559315e-05,1.6093530186544285,477,-2.964347649885784e-05,-0.681627961294069,0.8108028090614395
PL,1110,18:30,60,2496,4.359228727366219e-05,0.7224789229595989,0.4700000792643612,2023-07-07 00:00:00+00:00,1747,2.414491087304887e-05,0.38873470517611125,749,8.895218923877761e-05,0.6376670305261666,0.8108028090614395
PL,510,08:30,15,2533,-3.7276195434854335e-05,-0.7224531494510736,0.4700159198795557,2023-06-26 00:00:00+00:00,1773,-4.302228544867761e-05,-0.6703293921269382,760,-2.3871172284185035e-05,-0.2820247725309753,0.8108028090614395
PL,180,03:00,15,2528,2.1958503471778525e-05,0.721852992206072,0.47038486496284987,2023-06-28 00:00:00+00:00,1769,-2.5590295406457533e-06,-0.079828550535535,759,7.910147567069625e-05,1.1559839371220715,0.8108028090614395
PA,600,10:00,rest,2257,0.00030416084048124936,0.7186604570578611,0.47235015313444884,2023-10-12 00:00:00+00:00,1579,0.0002637403919082233,0.5532037846061734,678,0.00039829636894261823,0.4589296575869671,0.8131597572947474
HG,120,02:00,15,2490,2.3660808044167948e-05,0.7166989244094312,0.47355988971213847,2023-07-14 00:00:00+00:00,1743,-9.912758558087237e-06,-0.28891844889351287,747,0.00010199913011609671,1.3515276420195765,0.8141716940057908
HG,1020,17:00,60,2505,3.602559713344033e-05,0.7157669215974456,0.4741352806269017,2023-07-07 00:00:00+00:00,1753,4.3983408107734925e-05,0.7898863975869732,752,1.7475008519160506e-05,0.16458411601107664,0.8141716940057908
SI,570,09:30,120,2439,-6.973340549824844e-05,-0.712968026080827,0.4758655427697551,2023-08-01 00:00:00+00:00,1707,-0.00011436970116642729,-1.1115123000355693,732,3.435697251484078e-05,0.1557431120272971,0.8161124062633883
HG,330,05:30,5,2478,1.647546182194506e-05,0.7097518854657858,0.4778580106576619,2023-07-18 00:00:00+00:00,1734,2.069328008219733e-05,0.7334316233509842,744,6.645224102486136e-06,0.16331964690450598,0.8182720002976048
SI,960,16:00,5,2472,2.130075663491068e-05,0.708994132770087,0.4783281178210264,2023-07-19 00:00:00+00:00,1730,9.966321233328743e-06,0.33091365728123673,742,4.772740521272302e-05,0.6688600098704529,0.8182720002976048
HG,1140,19:00,120,2433,3.569095915778075e-05,0.7075645170459823,0.4792157343088392,2023-07-21 00:00:00+00:00,1703,-8.799878746028995e-06,-0.15941282382296007,730,0.00013948259881557253,1.2910472451616457,0.8187605510804288
PL,420,07:00,60,2534,5.6186100424023244e-05,0.705570314064757,0.4804553907409844,2023-06-23 00:00:00+00:00,1773,-2.9460034470385858e-05,-0.34108706041382575,761,0.00025572696398221947,1.4819661277002063,0.8198485964965355
PL,1230,20:30,30,2449,2.1296832701509885e-05,0.7017560148129595,0.4828313336720961,2023-06-27 00:00:00+00:00,1714,3.931797666729049e-06,0.12619694272224347,735,6.179162188465867e-05,0.8783893919079632,0.8220497975394034
