variant,halflife_bars,min_periods,entry_z,exit_z,stop_z,train_gross_return,train_cost_return,train_net_return,train_gross_to_cost,train_tstat,train_sharpe,train_max_drawdown,train_mean_gross_exposure,train_turnover,embargo_gross_return,embargo_cost_return,embargo_net_return,embargo_gross_to_cost,embargo_tstat,embargo_sharpe,embargo_max_drawdown,embargo_mean_gross_exposure,embargo_turnover,test_gross_return,test_cost_return,test_net_return,test_gross_to_cost,test_tstat,test_sharpe,test_max_drawdown,test_mean_gross_exposure,test_turnover,train_score,entries,closed_trades,decay_exits,flip_exits,stop_exits,invalid_exits,mean_hold_bars,std_hold_bars,max_hold_bars,open_trades_at_end
ewma720_entry2.5_exit0.5_stop3,720,720,2.5,0.5,3.0,-0.008936846573659916,0.7477548568469329,-0.7566917034205928,-0.011951572753862178,-3.853611358123663,-3.853611358123663,-0.783417141603169,0.3897678527835579,3329.791666666667,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.1885309894438513,0.39201531037643544,-0.20348432093258423,0.48092761801270745,-1.6766694311005392,-1.6766694311005392,-0.2396771886762049,0.37144246308927054,1726.7777777777778,-inf,2983.0,2983.0,1410.0,6.0,1567.0,0.0,82.68219912839423,112.20509859977258,895.0,0.0
ewma720_entry2.5_exit0.25_stop3,720,720,2.5,0.25,3.0,-0.050335886484309644,0.7287407730538349,-0.7790766595381446,-0.06907241689438329,-3.6392867971743486,-3.6392867971743486,-0.8105107411677072,0.4733239947455913,3251.1666666666665,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.18963039795173756,0.3797460216047436,-0.190115623653006,0.4993611181241373,-1.455385596756563,-1.455385596756563,-0.24765241403508634,0.4449352179034158,1676.9305555555557,-inf,2959.0,2959.0,1367.0,22.0,1570.0,0.0,103.65630280500169,142.84340994045752,1268.0,0.0
ewma240_entry2.5_exit0.5_stop4,240,240,2.5,0.5,4.0,0.3046685678204649,1.0881917309973312,-0.7835231631768664,0.27997691871930985,-3.3234557847373623,-3.3234557847373623,-0.789358362859629,0.38885239993955106,4808.986111111111,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.42885321977916024,0.5233647504079665,-0.09451153062880632,0.8194155595019843,-0.6866895070602419,-0.6866895070602419,-0.16249030800790953,0.3789821130194209,2316.833333333333,-inf,4153.0,4153.0,3659.0,17.0,477.0,0.0,58.83674452203227,49.46251761076625,344.0,0.0
ewma720_entry2_exit0.5_stop3,720,720,2.0,0.5,3.0,0.2687572108013354,1.0675146427792672,-0.798757431977932,0.25175974176956284,-3.305794561835714,-3.305794561835714,-0.8316124734206133,0.6204329074782325,4705.208333333333,-0.003262059178324922,0.0002123284013375624,-0.0034743875796624845,-15.363272919569807,-20.86575288786516,-20.86575288786516,-0.003989910437119414,0.024305555555555556,1.0,0.5786810540260008,0.5615773974207672,0.017103656605233535,1.0304564547714845,0.11508852566660208,0.11508852566660208,-0.13424646719370137,0.580368148574246,2460.7916666666665,-inf,4626.0,4625.0,2999.0,9.0,1617.0,0.0,100.65297297297298,114.81294966196258,895.0,0.0
ewma240_entry2.5_exit0.75_stop4,240,240,2.5,0.75,4.0,0.33537222189768634,1.1342112503047113,-0.798839028407025,0.2956876171062375,-3.56097670267249,-3.56097670267249,-0.800903925219947,0.32370412564081696,5014.333333333334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.46758283886243174,0.542931960194236,-0.07534912133180444,0.8612181141356132,-0.5798351546691631,-0.5798351546691631,-0.16146765236570565,0.3145081765140932,2402.097222222222,-inf,4264.0,4264.0,3782.0,6.0,476.0,0.0,46.428470919324575,38.97979038007606,339.0,0.0
ewma240_entry2.5_exit0.25_stop4,240,240,2.5,0.25,4.0,0.22190744209079669,1.050522595289134,-0.8286151531983376,0.21123528716649964,-3.3190168235015016,-3.3190168235015016,-0.8396864874565563,0.4640590307243412,4651.319444444444,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.42251677285285516,0.5038731498084397,-0.08135637695558465,0.8385379792780897,-0.5547782627528303,-0.5547782627528303,-0.1275109886959055,0.45160517161092395,2234.3472222222226,-inf,4082.0,4082.0,3499.0,104.0,479.0,0.0,73.9906908378246,60.92780453593251,421.0,0.0
ewma720_entry2_exit0.75_stop3,720,720,2.0,0.75,3.0,0.3046001490455612,1.1444442817572453,-0.8398441327116841,0.26615550787484443,-3.6723041343942087,-3.6723041343942087,-0.8565793607008116,0.5331800797461144,5042.055555555556,-0.003262059178324922,0.0002123284013375624,-0.0034743875796624845,-15.363272919569807,-20.86575288786516,-20.86575288786516,-0.003989910437119414,0.024305555555555556,1.0,0.5316395471826719,0.6020338649799882,-0.07039431779731643,0.8830724949340578,-0.49971530144302306,-0.49971530144302306,-0.14380550219766083,0.5051907853288411,2635.125,-inf,4818.0,4817.0,3197.0,3.0,1617.0,0.0,78.11853850944571,89.90957711032563,689.0,0.0
ewma720_entry2_exit0.25_stop3,720,720,2.0,0.25,3.0,0.15166407007828792,0.9916197410249195,-0.8399556709466317,0.15294579545333659,-3.2626983942274452,-3.2626983942274452,-0.8665409663708761,0.7169042000395243,4382.888888888889,-0.003262059178324922,0.0002123284013375624,-0.0034743875796624845,-15.363272919569807,-20.86575288786516,-20.86575288786516,-0.003989910437119414,0.024305555555555556,1.0,0.5722770294804029,0.5242886096925368,0.047988419787866055,1.0915305404326987,0.30331023234955967,0.30331023234955967,-0.12629705448791578,0.6799449420659052,2304.458333333333,-inf,4481.0,4479.0,2820.0,42.0,1617.0,0.0,128.39830319267693,147.91427752475292,1274.0,1.0
ewma1440_entry1.5_exit0.75_stop3,1440,1440,1.5,0.75,3.0,0.13874332970405534,1.0452463378897543,-0.9065030081856992,0.13273744635562557,-3.4802413114194426,-3.4802413114194426,-0.9665356389777345,0.7081885077246782,4576.208333333332,-0.001233257992186182,0.0002123284013375624,-0.0014455863935237444,-5.80825732411338,-6.105433627016211,-6.105433627016211,-0.0037775820357818513,0.09513888888888888,1.0,0.6555236750691562,0.6024708781040122,0.05305279696514395,1.0880586911223031,0.3463053119227093,0.3463053119227093,-0.17673311090258986,0.6639548579724437,2638.9444444444443,-inf,4932.0,4931.0,3836.0,2.0,1093.0,0.0,123.94443317785439,152.32961116932026,1711.0,0.0
ewma720_entry1.5_exit0.25_stop4,720,720,1.5,0.25,4.0,0.139694473949396,1.1198216637495126,-0.9801271898001167,0.12474707220938669,-3.495048006749851,-3.495048006749851,-1.0124547658369092,0.8766579868174791,4910.277777777778,-0.001233257992186182,0.000471028487212952,-0.0017042864793991338,-2.6182237925423517,-7.313944762885651,-7.313944762885651,-0.0037775820357818513,0.09513888888888888,1.75,0.9524815758535831,0.6119331138719297,0.3405484619816534,1.5565125571108185,1.9530747557759198,1.9530747557759198,-0.09752944879277856,0.8546854027994631,2664.152777777778,-inf,5597.0,5594.0,5262.0,81.0,251.0,0.0,164.09617447264927,155.6836011642125,1285.0,1.0
ewma720_entry1.5_exit0.5_stop4,720,720,1.5,0.5,4.0,0.30714911045879006,1.3284534269022434,-1.0213043164434534,0.23120803803789816,-3.7427047792089394,-3.7427047792089394,-1.0502493825706642,0.7997134487288283,5803.847222222222,-0.0014044534102872763,0.000471028487212952,-0.0018754818975002282,-2.9816740354651263,-8.206559533875167,-8.206559533875167,-0.0037775820357818513,0.08888888888888889,1.75,1.0305702914022723,0.7383116715227003,0.2922586198795719,1.3958472162261981,1.7341080250514722,1.7341080250514722,-0.09669377414133623,0.7733242939710192,3191.958333333333,-inf,6314.0,6312.0,6044.0,17.0,251.0,0.0,120.66809252217998,120.53136714068496,925.0,0.0
ewma720_entry1.5_exit0.75_stop4,720,720,1.5,0.75,4.0,0.4756057197441733,1.6134395707490392,-1.1378338510048658,0.29477752273261365,-4.287785658933158,-4.287785658933158,-1.1651827696014863,0.7207694453808865,7042.013888888889,-0.0018935852161314215,0.000471028487212952,-0.0023646137033443734,-4.020107631569492,-10.994339647030673,-10.994339647030673,-0.0037775820357818513,0.07222222222222222,1.75,1.0320392876341946,0.9040481634924901,0.12799112414170447,1.1415755590357635,0.7884178402587568,0.7884178402587568,-0.15098898711721861,0.6888268003396609,3897.7222222222217,-inf,7343.0,7341.0,7085.0,5.0,251.0,0.0,85.31140171638741,93.15732923473055,743.0,0.0
ewma720_entry1.5_exit0.25_stop3,720,720,1.5,0.25,3.0,0.10691988723226703,1.3657918412759824,-1.2588719540437154,0.07828417479224199,-4.50519943556513,-4.50519943556513,-1.2873489631562198,0.8756756913848622,5998.902777777777,-0.003262059178324922,0.000471028487212952,-0.0037330876655378743,-6.925396800576405,-23.17072408427248,-23.17072408427248,-0.003989910437119414,0.024305555555555556,1.75,0.8927263470900108,0.7422667129841581,0.1504596341058525,1.2027029253419637,0.8647896788832922,0.8647896788832922,-0.15456820725693793,0.8539252746048703,3225.0694444444443,-inf,6983.0,6980.0,5261.0,81.0,1638.0,0.0,130.22106017191976,142.57564317366135,1285.0,1.0
ewma720_entry1.5_exit0.5_stop3,720,720,1.5,0.5,3.0,0.27696423569111817,1.5869982873423205,-1.3100340516512023,0.17452081574387743,-4.823551181617484,-4.823551181617484,-1.335040584960609,0.7984608767422666,6955.444444444443,-0.003262059178324922,0.000471028487212952,-0.0037330876655378743,-6.925396800576405,-23.17072408427248,-23.17072408427248,-0.003989910437119414,0.024305555555555556,1.75,0.9685323047108032,0.8742222880914551,0.09431001661934807,1.1078787602467097,0.5620462985860348,0.5620462985860348,-0.14535236924110256,0.7719478456186485,3779.4027777777774,-inf,7700.0,7698.0,6043.0,17.0,1638.0,0.0,97.77279812938426,109.26414968712112,895.0,0.0
ewma240_entry2_exit0.25_stop4,240,240,2.0,0.25,4.0,0.41285033558778356,1.7982785331233304,-1.385428197535547,0.2295808619094878,-4.842016057387142,-4.842016057387142,-1.3988871656972652,0.7001848342885042,7929.375,0.0,0.0003072336099010267,-0.0003072336099010267,0.0,-10.666059736334303,-10.666059736334303,0.0,0.0,1.0,0.8315952569042662,0.884078337694779,-0.052483080790512865,0.9406352598488482,-0.31234087395235444,-0.31234087395235444,-0.20526659754633644,0.678150765606596,3881.625,-inf,7685.0,7683.0,6953.0,225.0,505.0,0.0,71.94624495639724,60.61267176115172,489.0,0.0
ewma240_entry2.5_exit0.5_stop3,240,240,2.5,0.5,3.0,0.2700362893528565,1.6830303129103577,-1.4129940235575014,0.16044647994836164,-6.203692687068709,-6.203692687068709,-1.414345741255343,0.3733478255815305,7380.75,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.32029690009393075,0.7682909382092327,-0.4479940381153019,0.4168953246285753,-3.4798482209832007,-3.4798482209832007,-0.4600178799956748,0.35965705207220533,3422.9583333333335,-inf,6235.0,6235.0,3509.0,12.0,2714.0,0.0,36.693504410585405,43.43584395409616,337.0,0.0
