window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,end_z,end_deviation_bp,duration_hours
20D,HG,rich,2023-04-24 17:45:00+00:00,2023-04-25 09:45:00+00:00,16,3.160787271817738,79.85569910393731,2.8602567595680637,74.29460396265158,16.0
20D,HG,rich,2023-04-25 11:45:00+00:00,2023-04-25 11:45:00+00:00,1,2.64222850048608,68.73838038493673,2.64222850048608,68.73838038493673,0.0
20D,HG,rich,2023-04-25 13:45:00+00:00,2023-04-25 14:45:00+00:00,2,2.521684096473825,65.76388553168667,2.5174337967453737,65.70142141835572,1.0
20D,HG,rich,2023-04-25 18:45:00+00:00,2023-04-25 19:45:00+00:00,2,2.5884008787163024,67.1111476551317,2.5148695835508734,65.17219383641415,1.0
20D,HG,rich,2023-04-26 01:45:00+00:00,2023-04-26 06:45:00+00:00,6,2.963628152353437,79.82266490694445,2.508474663102752,68.4502451612301,5.0
20D,HG,rich,2023-04-27 14:45:00+00:00,2023-04-28 20:45:00+00:00,30,4.532656422514491,168.97967623478365,4.262060091435151,166.82821134567982,30.0
20D,HG,rich,2023-04-30 22:45:00+00:00,2023-05-03 02:45:00+00:00,51,4.182675496791905,212.17130075122213,2.5493379029417165,155.2132050910521,52.0
20D,HG,cheap,2023-06-21 12:45:00+00:00,2023-06-21 12:45:00+00:00,1,2.531126544219512,60.39437364903561,-2.531126544219512,-60.39437364903561,0.0
20D,HG,cheap,2023-06-21 15:45:00+00:00,2023-06-22 10:45:00+00:00,19,3.31286970051051,92.06950224811771,-3.0744187842295183,-85.4628359086851,19.0
20D,HG,cheap,2023-06-22 12:45:00+00:00,2023-06-22 13:45:00+00:00,2,2.678520308447637,74.95730042958226,-2.678520308447637,-74.95730042958226,1.0
20D,HG,cheap,2023-06-23 08:45:00+00:00,2023-06-23 20:45:00+00:00,13,3.255160491948818,95.24037465191704,-2.6945282572687197,-82.91809124608834,12.0
