variant,lookback_days,entry_z,rebalance_days,train_observations,train_total_gross_return,train_total_cost_return,train_total_net_return,train_gross_to_cost,train_mean_net_bps,train_tstat,train_annualized_sharpe,train_hit_rate,train_max_drawdown,train_avg_turnover,train_avg_gross_exposure,train_active_fraction,test_observations,test_total_gross_return,test_total_cost_return,test_total_net_return,test_gross_to_cost,test_mean_net_bps,test_tstat,test_annualized_sharpe,test_hit_rate,test_max_drawdown,test_avg_turnover,test_avg_gross_exposure,test_active_fraction,full_observations,full_total_gross_return,full_total_cost_return,full_total_net_return,full_gross_to_cost,full_mean_net_bps,full_tstat,full_annualized_sharpe,full_hit_rate,full_max_drawdown,full_avg_turnover,full_avg_gross_exposure,full_active_fraction
stable_reversion_transition_momentum,252,2.0,10,3138,0.12938984009520665,0.02278806978710712,0.10660177030809954,5.677964009413906,0.3397124611475448,0.9139729457556578,0.25900439956574506,0.12938177182919056,-0.10486972844953343,0.04841315017443621,0.2517527087316762,0.2517527087316762,1345,0.0103086297793262,0.0086217307568071,0.0016868990225190894,1.1956566575901533,0.012542000167428175,0.014008542957648995,0.006063621643493275,0.11449814126394052,-0.1771552354773055,0.04273472494080348,0.23048327137546468,0.23048327137546468,4483,0.13969846987453288,0.03140980054391422,0.10828866933061865,4.44760767198186,0.2415540248285047,0.6460325065004175,0.15316878661936537,0.12491635065804149,-0.17715523547730558,0.04670949593860395,0.24537140307829577,0.24537140307829577
non_transition_reversion,252,1.0,5,3138,0.23209997897950557,0.0799327148493183,0.15216726413018727,2.903691929106109,0.48491798639320355,0.9039815511009979,0.2561730081275499,0.35882727852135116,-0.09439712606946832,0.1698166875914984,0.6988527724665392,0.6988527724665392,1345,-0.011231209456856881,0.0380950019457862,-0.049326211402643136,-0.29482107581567396,-0.3667376312464174,-0.32746710460048484,-0.14174469314835997,0.37769516728624536,-0.15154964717954061,0.18882281014020424,0.7732342007434945,0.7732342007434945,4483,0.22086876952264872,0.11802771679510449,0.10284105272754418,1.8713296801807644,0.2294023036527865,0.45531388403923767,0.1079510310201324,0.3644880660272139,-0.18185453085145076,0.1755189483160153,0.7211688601383003,0.7211688601383003
ungated_reversion,252,1.0,10,3138,0.24538242073167643,0.05394001962355621,0.19144240110812022,4.549171884700524,0.610077760064118,0.8858795049536642,0.25104319589943713,0.44072657743785854,-0.16140713046844415,0.11459532531029576,0.8661567877629063,0.8661567877629063,1345,-0.016954874958641182,0.02468794785750169,-0.04164282281614293,-0.686767286471292,-0.309612065547531,-0.2625179288188818,-0.11363133195248068,0.46988847583643123,-0.13391967149502979,0.12236901044610501,0.9553903345724907,0.9553903345724907,4483,0.22842754577303517,0.07862796748105791,0.14979957829197726,2.90516915406805,0.33415029732763163,0.5588350784830926,0.13249502158222712,0.44947579745706,-0.19004212847400992,0.11692760425467752,0.8929288422931073,0.8929288422931073
non_transition_reversion,252,2.0,21,3138,0.1395944969470225,0.012883944783602034,0.12671055216342042,10.834763676160005,0.40379398394971455,0.8856511083256169,0.25097847217672203,0.1532823454429573,-0.12332974095931325,0.02737188184321656,0.2944550669216061,0.2944550669216061,1345,-0.046109555350687684,0.005101806420447573,-0.051211361771135264,-9.037888063703242,-0.3807536191162473,-0.3986963676266826,-0.17257640078858225,0.1382899628252788,-0.11983672824854377,0.02528776416578723,0.2966542750929368,0.2966542750929368,4483,0.09348494159633478,0.017985751204049605,0.07549919039228517,5.1977223823315235,0.16841220252573091,0.3926976911332628,0.09310526676890879,0.14878429623020298,-0.13578646927217905,0.026746600050635148,0.29511487842962303,0.29511487842962303
non_transition_reversion,504,1.0,10,3138,0.19210468152815546,0.04086177124071434,0.1512429102874411,4.701330257968452,0.4819723081180405,0.8000212447540161,0.2267124241473438,0.3368387507966858,-0.10911065179250257,0.08681064635800795,0.6590184831102613,0.6590184831102613,1345,-0.0077888963211064435,0.019663614626917347,-0.02745251094802377,-0.3961070468928074,-0.20410788808939606,-0.19023566914074785,-0.08234383292064054,0.39553903345724906,-0.16915998840976249,0.097465252178029,0.7843866171003717,0.7843866171003717,4483,0.184315785207049,0.06052538586763169,0.12379039933941738,3.0452641080247793,0.27613294521395804,0.5205399296132203,0.12341556903644023,0.35445014499219274,-0.19329654824344555,0.0900072657708851,0.6966317198304707,0.6966317198304707
stable_reversion,252,1.5,10,3138,0.08418494190204566,0.024190037954128357,0.0599949039479173,3.480149227615344,0.1911883491010749,0.640729030950871,0.18157171797745714,0.14531548757170173,-0.08299426715870194,0.051391625141551656,0.27724665391969405,0.27724665391969405,1345,0.05844471862086546,0.008919109224998816,0.049525609395866636,6.552752875483843,0.3682201442071869,0.6063896617078317,0.26247679635479076,0.13234200743494423,-0.06297889596091001,0.04420871982651211,0.2527881040892193,0.2527881040892193,4483,0.14262966052291112,0.03310914717912718,0.10952051334378393,4.307862710907528,0.24430183659108617,0.8815678911399905,0.20901221354937788,0.1414231541378541,-0.08299426715870194,0.04923659332162566,0.26990854338612535,0.26990854338612535
stable_reversion,126,2.0,21,3138,0.056975294620395356,0.005088190633510278,0.05188710398688509,11.197555029711774,0.16535087312582883,0.6325341034878407,0.17924941480983753,0.05608667941363926,-0.06666664438924767,0.010809837759741404,0.11376673040152964,0.11376673040152964,1345,0.03448949591692584,0.0012,0.03328949591692583,28.741246597438206,0.24750554585074966,0.41212682784675225,0.17838979833597124,0.03271375464684015,-0.11098963368571241,0.005947955390334572,0.06245353159851301,0.06245353159851301,4483,0.09146479053732119,0.006288190633510278,0.08517659990381092,14.545486272298728,0.18999910752578836,0.73997784451074,0.175442423451567,0.049074280615659154,-0.11098963368571242,0.00935116459738312,0.09837162614320767,0.09837162614320767
stable_reversion_transition_momentum,504,2.0,10,3138,0.10383032194583967,0.02280259559682645,0.08102772634901322,4.553443115935901,0.25821455178143154,0.6035988392452338,0.17104965268751743,0.13001912045889102,-0.12321909194026116,0.04844401019083589,0.25493945188017847,0.25493945188017847,1345,-0.1727326769206377,0.008769400460646665,-0.1815020773812844,-19.69720480844596,-1.3494578243961666,-1.6593245803540846,-0.7182414666131711,0.10706319702602231,-0.2227870039393413,0.043466668949921516,0.23271375464684016,0.23271375464684016,4483,-0.0689023549747981,0.031571996057473115,-0.10047435103227123,-2.1823883054264117,-0.2241230226015419,-0.5800724638673852,-0.13753022417272995,0.12313183136292662,-0.3098769002054758,0.04695069679154304,0.24827124693285746,0.24827124693285746
non_transition_reversion,504,1.5,21,3138,0.12950435830934887,0.021542829844254846,0.10796152846509405,6.01148313594863,0.34404566113796703,0.5611378442941062,0.1590169283565053,0.2874442319949012,-0.1631012280778925,0.045767643603685675,0.5554493307839388,0.5554493307839388,1345,0.05418987779607054,0.010725903677227804,0.04346397411884273,5.052243561642384,0.3231522239319162,0.2747093882372558,0.11890842589569185,0.324907063197026,-0.19994175202143533,0.05316433049431377,0.6475836431226766,0.6475836431226766,4483,0.18369423610541943,0.03226873352148265,0.1514255025839367,5.6926385407449125,0.3377771639168787,0.6079767987609507,0.14414610351945303,0.29868391701985275,-0.2119858259789557,0.04798681466500506,0.5830916796787865,0.5830916796787865
ungated_reversion,126,1.5,21,3138,0.14764140918168814,0.024826628364872625,0.12281478081681549,5.946897299618302,0.39137916130278994,0.5517033516393336,0.15634335348035125,0.3148502230720204,-0.17191022369378875,0.05274405856144598,0.6118546845124283,0.6118546845124283,1345,0.02631760683095976,0.011919436011478997,0.014398170819480777,2.2079573904012424,0.1070495971708608,0.07984418243048776,0.03456069015572933,0.3509293680297398,-0.15795726526897846,0.059080228061853764,0.7271375464684015,0.7271375464684015,4483,0.1739590160126479,0.036746064376351625,0.13721295163629627,4.734085648764098,0.3060739496682941,0.479014495049178,0.11357024335697752,0.3256747713584653,-0.2530125670939191,0.05464505074927746,0.6464421146553647,0.6464421146553647
