date,spd_velocity,top_eigen_share,effective_rank,average_correlation,edge_persistence,stable,transition,spd_velocity_q40,spd_velocity_q80,edge_persistence_q60
2011-02-17,,,,,,False,False,,,
2011-02-18,,,,,,False,False,,,
2011-02-20,,,,,,False,False,,,
2011-02-21,,,,,,False,False,,,
2011-02-22,,,,,,False,False,,,
2011-02-23,,,,,,False,False,,,
2011-02-24,,,,,,False,False,,,
2011-02-25,,,,,,False,False,,,
2011-02-27,,,,,,False,False,,,
2011-02-28,,,,,,False,False,,,
2011-03-01,,,,,,False,False,,,
2011-03-02,,,,,,False,False,,,
2011-03-03,,,,,,False,False,,,
2011-03-04,,,,,,False,False,,,
2011-03-06,,,,,,False,False,,,
2011-03-07,,,,,,False,False,,,
2011-03-08,,,,,,False,False,,,
2011-03-09,,,,,,False,False,,,
2011-03-10,,,,,,False,False,,,
2011-03-11,,,,,,False,False,,,
2011-03-13,,,,,,False,False,,,
2011-03-14,,,,,,False,False,,,
2011-03-15,,,,,,False,False,,,
2011-03-16,,,,,,False,False,,,
2011-03-17,,,,,,False,False,,,
2011-03-18,,,,,,False,False,,,
2011-03-20,,,,,,False,False,,,
2011-03-21,,,,,,False,False,,,
2011-03-22,,,,,,False,False,,,
2011-03-23,,,,,,False,False,,,
2011-03-24,,,,,,False,False,,,
2011-03-25,,,,,,False,False,,,
2011-03-27,,,,,,False,False,,,
2011-03-28,,,,,,False,False,,,
2011-03-29,,,,,,False,False,,,
2011-03-30,,0.38642658511949696,5.134965080561791,0.3132448899534348,,False,False,,,
2011-03-31,0.04935684453517404,0.3863078255151984,5.130040779270252,0.31310056583313617,1.0,False,False,,,
2011-04-01,0.03419049920711332,0.38648507257970066,5.134266926883511,0.3135689490674925,1.0,False,False,,,
2011-04-03,0.020761596961612012,0.38689911999710186,5.12993828547574,0.31407109897418134,1.0,False,False,,,
2011-04-04,0.03996459359245263,0.3851659364567577,5.135377275409969,0.31264635261489315,1.0,False,False,,,
2011-04-05,0.05207584609600263,0.3848655953508696,5.129453341613732,0.3123323915899723,1.0,False,False,,,
2011-04-06,0.02377951066504633,0.3848656229958258,5.137608541980068,0.31246092339881815,1.0,False,False,,,
2011-04-07,0.02775625049668261,0.3855595959057302,5.130645308746059,0.3133323029468346,1.0,False,False,,,
2011-04-08,0.04626719734052783,0.3823138836086699,5.15760328941882,0.3097498247812963,1.0,False,False,,,
2011-04-10,0.021447554521155838,0.38400058352633637,5.143442873363674,0.3115978203290625,1.0,False,False,,,
2011-04-11,0.019530065311805553,0.3849359136906006,5.140400135915096,0.3126602936014384,1.0,False,False,,,
