feature,root,month,spearman_ic,pvalue,observations
large_small_l1_distance,HG,2024-09,0.012797618628307635,0.3521415260864056,5288
large_small_l1_distance,HG,2024-10,-0.0008719213760610599,0.9477515637712726,5651
large_small_l1_distance,HG,2024-11,0.0033406208114815134,0.806989366332659,5351
large_small_l1_distance,HG,2024-12,-0.0016606318540115831,0.9149337133198422,4140
large_small_l1_distance,HG,2025-01,-0.05847573433031855,6.955042001488222e-05,4622
large_small_l1_distance,HG,2025-02,-0.028678189288409168,0.038833064667103234,5190
large_small_l1_distance,HG,2025-03,-0.004193031160807826,0.7589772674899771,5357
large_small_l1_distance,HG,2025-04,0.005862325421776591,0.5978013142083052,8101
large_small_l1_distance,HG,2025-05,0.02054501524409794,0.08335917522856123,7104
large_small_l1_distance,HG,2025-06,-0.004938102228850039,0.6887946446853476,6580
large_small_l1_distance,HG,2025-07,-0.019487279390817767,0.11301109350552468,6615
large_small_l1_distance,HG,2025-08,-0.011479595323519654,0.3787994460415919,5880
large_small_l1_distance,HG,2025-09,0.003931273112770092,0.7116854882569102,8841
large_small_l1_distance,HG,2025-10,0.0026954157578429594,0.7373898585776704,15478
large_small_l1_distance,HG,2025-11,0.02130844659958934,0.04825888988458791,8592
large_small_l1_distance,HG,2025-12,0.013670793726145018,0.13354185980127392,12045
large_small_l1_distance,HG,2026-01,-0.00937959548078139,0.20359098146999458,18375
large_small_l1_distance,HG,2026-02,0.0007042776016916319,0.9475445244270202,8729
large_small_l1_distance,HG,2026-03,-0.019088572020395978,0.0571082408978998,9934
large_small_l1_distance,HG,2026-04,-0.013359356723503541,0.27927474967595356,6561
large_small_l1_distance,HG,2026-05,0.006182645087741513,0.6245369793742052,6269
large_small_l1_distance,HG,2026-06,0.00965522873708319,0.5166856957495282,4513
large_small_l1_distance,PL,2023-06,-0.006692068726499675,0.8176916276075695,1189
large_small_l1_distance,PL,2023-07,0.04836679345012816,0.004012592480853991,3537
large_small_l1_distance,PL,2023-08,0.029830900748242926,0.07173615893749316,3645
large_small_l1_distance,PL,2023-09,0.0016692105117027361,0.9200300782076906,3620
large_small_l1_distance,PL,2023-10,-0.026580586526290476,0.07512091339508661,4484
large_small_l1_distance,PL,2023-11,-0.01059637663702983,0.501217175174082,4031
large_small_l1_distance,PL,2023-12,0.02838418164781819,0.07843656241019488,3845
large_small_l1_distance,PL,2024-01,-0.00995946615870418,0.5077535729287481,4425
large_small_l1_distance,PL,2024-02,0.009102390071939193,0.5726841106440067,3843
large_small_l1_distance,PL,2024-03,-0.024708147401644637,0.07180895953323857,5310
large_small_l1_distance,PL,2024-04,0.009532354223467715,0.4016203834952964,7744
large_small_l1_distance,PL,2024-05,0.011789119775074393,0.3398782118399457,6556
large_small_l1_distance,PL,2024-06,0.004083530403417287,0.785368243866963,4450
large_small_l1_distance,PL,2024-07,-0.02752135711029111,0.042018569498539056,5459
large_small_l1_distance,PL,2024-08,0.012187503435322593,0.3710945790400325,5388
large_small_l1_distance,PL,2024-09,-0.01476680843488842,0.282989964877341,5288
large_small_l1_distance,PL,2024-10,-0.017754815074001826,0.18204168366375906,5651
large_small_l1_distance,PL,2024-11,-0.007341495125942958,0.5913256197980711,5351
large_small_l1_distance,PL,2024-12,0.02113347671220303,0.17397903897142572,4140
large_small_l1_distance,PL,2025-01,-0.007891259105258484,0.591714746067282,4622
large_small_l1_distance,PL,2025-02,-0.03520842749850392,0.011191915968519156,5190
large_small_l1_distance,PL,2025-03,0.0011994938283449476,0.9300576288626147,5357
large_small_l1_distance,PL,2025-04,-0.0007968174757180989,0.9428351300281027,8101
large_small_l1_distance,PL,2025-05,0.02911576821415471,0.014123077704003862,7104
large_small_l1_distance,PL,2025-06,-0.006235787375086693,0.6130402916437303,6580
large_small_l1_distance,PL,2025-07,-0.013194270318870913,0.2832850817373034,6615
large_small_l1_distance,PL,2025-08,-0.01124887652449553,0.38845601330794693,5880
large_small_l1_distance,PL,2025-09,0.03382390299346763,0.0014686558560340992,8841
large_small_l1_distance,PL,2025-10,-0.0024038364668601386,0.7649102571384109,15478
large_small_l1_distance,PL,2025-11,-0.004209979094239648,0.6964029171280519,8592
large_small_l1_distance,PL,2025-12,-0.009639163393548162,0.29014197304321154,12045
large_small_l1_distance,PL,2026-01,-0.020572209714995387,0.005291037501247965,18375
large_small_l1_distance,PL,2026-02,-0.004802946036647578,0.6536673237650537,8729
large_small_l1_distance,PL,2026-03,-0.00425617821801513,0.6714494971311774,9934
large_small_l1_distance,PL,2026-04,-0.027420498859691788,0.0263472495986901,6561
large_small_l1_distance,PL,2026-05,-0.007551350673449143,0.5499849258215296,6269
large_small_l1_distance,PL,2026-06,0.02430929303416762,0.10249852273683983,4513
large_small_l1_distance,PA,2023-06,-0.05930152752564856,0.04090647195493183,1189
large_small_l1_distance,PA,2023-07,0.009632930695341163,0.5668430835913278,3537
large_small_l1_distance,PA,2023-08,-0.006725753422043975,0.6847978211337712,3645
large_small_l1_distance,PA,2023-09,0.054910622650630785,0.0009493265938634956,3620
large_small_l1_distance,PA,2023-10,-0.003234439625846318,0.8285770482407103,4484
large_small_l1_distance,PA,2023-11,0.018791143592190272,0.23295243226912374,4031
large_small_l1_distance,PA,2023-12,0.019127018291150513,0.23572017143944926,3845
large_small_l1_distance,PA,2024-01,0.02568966211712217,0.08750786837681535,4425
large_small_l1_distance,PA,2024-02,0.0011873128265864842,0.9413446644593098,3843
large_small_l1_distance,PA,2024-03,-0.012235820707948793,0.37269069451785203,5310
large_small_l1_distance,PA,2024-04,-0.006683418008809943,0.5564971150649172,7744
large_small_l1_distance,PA,2024-05,0.03709639040524575,0.002663470412410605,6556
large_small_l1_distance,PA,2024-06,-0.019284871120666142,0.19836644955342164,4450
large_small_l1_distance,PA,2024-07,0.01678922776896553,0.21487325203056856,5459
large_small_l1_distance,PA,2024-08,0.03970860230618314,0.003554562903774624,5388
large_small_l1_distance,PA,2024-09,-0.008780195768226527,0.5232489830818531,5288
large_small_l1_distance,PA,2024-10,-0.0339978384160499,0.010591431776875208,5651
large_small_l1_distance,PA,2024-11,-0.02163775840379427,0.11350605543804808,5351
large_small_l1_distance,PA,2024-12,0.013103274330223283,0.3992936789298397,4140
large_small_l1_distance,PA,2025-01,-0.03278348510247963,0.025827811885320136,4622
large_small_l1_distance,PA,2025-02,-0.025354723561364093,0.06778252791266698,5190
large_small_l1_distance,PA,2025-03,-0.018989044976699312,0.16463877176005384,5357
large_small_l1_distance,PA,2025-04,0.01134093081782369,0.3074335236514952,8101
large_small_l1_distance,PA,2025-05,0.016148991448933354,0.1735229553126787,7104
large_small_l1_distance,PA,2025-06,0.028269412605329624,0.021838900359720893,6580
large_small_l1_distance,PA,2025-07,0.003472705966120087,0.7776430600057191,6615
large_small_l1_distance,PA,2025-08,-0.01783024896023259,0.1716058353808473,5880
large_small_l1_distance,PA,2025-09,0.022687372978939052,0.032909202561405455,8841
large_small_l1_distance,PA,2025-10,-0.024896995789237333,0.0019504164056404895,15478
large_small_l1_distance,PA,2025-11,-0.0003156906575396256,0.9766587674220312,8592
large_small_l1_distance,PA,2025-12,-0.009567796392579264,0.2937282359922495,12045
large_small_l1_distance,PA,2026-01,-0.007343685538103231,0.3195346059761021,18375
large_small_l1_distance,PA,2026-02,-0.006016183907759339,0.5741082913497071,8729
large_small_l1_distance,PA,2026-03,0.002644614595771822,0.7921231584413174,9934
large_small_l1_distance,PA,2026-04,-0.030432852713186544,0.013695119083180914,6561
large_small_l1_distance,PA,2026-05,-0.014802936120643252,0.2412441118305891,6269
