feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
hhi,PA,50,0.006347168526776138,0.00235221267498605,229656,0.010509886420150437
distance_from_equal_weight,GC,1,0.0038112865859080383,0.06110920382575977,241433,0.15231967719180478
distance_from_equal_weight,GC,2,0.006078478086880616,0.002834781523745732,241172,0.012211366563827769
distance_from_equal_weight,GC,5,0.006428746130351622,0.0016208147901532292,240410,0.007869852160281575
distance_from_equal_weight,GC,10,0.006090560248152889,0.0028956743431979783,239170,0.012284679031748999
distance_from_equal_weight,GC,20,0.0013411973634907428,0.5140324219798477,236742,0.7101763724721579
distance_from_equal_weight,GC,50,0.006050141099592806,0.003738944865286842,229656,0.01481468720207994
distance_from_equal_weight,SI,1,-0.006493239353117873,0.001420148973740106,241433,0.007058728626873899
distance_from_equal_weight,SI,2,-0.004688689994896903,0.021302375198584533,241172,0.06855936845521458
distance_from_equal_weight,SI,5,-0.006624327900701074,0.0011620530595787455,240410,0.005915906485128158
distance_from_equal_weight,SI,10,-0.008843688817899322,1.5248422112869645e-05,239170,0.00011970723901692058
distance_from_equal_weight,SI,20,-0.012615568291870568,8.332504509705493e-10,236742,1.0446722071869574e-08
distance_from_equal_weight,SI,50,-0.008026304549264621,0.00011984559063371766,229656,0.000756919519791901
distance_from_equal_weight,HG,1,-0.002431187673333669,0.23225121624129547,241433,0.4334401860990845
distance_from_equal_weight,HG,2,-0.0002958665323851594,0.8844762788113176,241172,0.9371964166687858
distance_from_equal_weight,HG,5,0.0026190681292939644,0.19908348636461282,240410,0.3991172519004171
distance_from_equal_weight,HG,10,0.0023299993121931096,0.2545021771415376,239170,0.4597458683847131
distance_from_equal_weight,HG,20,0.0005013672071544394,0.8072736804208198,236742,0.9126647261823535
distance_from_equal_weight,HG,50,-0.0014185330578037557,0.49663600975453104,229656,0.6946898644213112
distance_from_equal_weight,PL,1,-0.0021681040054106907,0.28673490852113737,241433,0.48720617659479337
distance_from_equal_weight,PL,2,-0.0005926910202181388,0.7710018169219341,241172,0.8955746474861356
distance_from_equal_weight,PL,5,-0.0012518425653438373,0.539350293267306,240410,0.7319131604919823
distance_from_equal_weight,PL,10,-0.0004151731521073639,0.8391042219430056,239170,0.9158942506550651
distance_from_equal_weight,PL,20,0.0006041435987715695,0.7687950158434853,236742,0.8955746474861356
distance_from_equal_weight,PL,50,0.01068549908729183,3.0412940222610916e-07,229656,2.970566254301531e-06
distance_from_equal_weight,PA,1,-0.0004982887120224067,0.8065826029880053,241433,0.9126647261823535
