variant,target_months,min_volume,lookback,entry_z,exit_z,side_mode,cost_multiplier,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
target6m_minv10_lb126_entry1p5_exit0p25_backwardation_only_costx1p0,6,10.0,126,1.5,0.25,backwardation_only,1.0,0.030053424476400498,0.004601981915483446,0.02726562909463584,0.009111409905595372,0.006069837018030072,1.5010963026734487,2.596710439464106,-0.003622355312385861,0.019235225955967557,0.038470451911935113,0.019003476245654696,0.09385863267670916,41,0.7804878048780488,0.0006743879566040417,3.7586875032767257,863,288.39043915828
target1m_minv10_lb252_entry2p0_exit0p25_contango_only_costx1p0,1,10.0,252,2.0,0.25,contango_only,1.0,0.031222145739348922,0.004931278663520853,0.027169071480377158,0.009062560144481969,0.005207668957828029,1.7402335320987272,3.013141173602167,-0.0025124841210168655,0.010492505353319059,0.020985010706638118,0.010706638115631691,0.05139186295503212,25,0.88,0.001146159164387817,4.973882871284296,934,311.54657534246576
target1m_minv10_lb252_entry1p5_exit0p25_backwardation_only_costx3p0,1,10.0,252,1.5,0.25,backwardation_only,3.0,0.04180909467600809,0.018326169473629358,0.027014836634524787,0.009011113315762721,0.006022532228769475,1.4962333074311953,2.5906650462589265,-0.005364992994705487,0.044967880085653104,0.08993576017130621,0.02441113490364026,0.21627408993576017,57,0.8596491228070176,0.0005628112501738662,4.351037749201885,934,311.54657534246576
target1m_minv500_lb252_entry2p0_exit0p25_both_costx1p0,1,500.0,252,2.0,0.25,both,1.0,0.03882418048288991,0.012614692204247673,0.026899900262701795,0.008989193569031866,0.006464544133782072,1.3905378914588293,2.4054580993842163,-0.00655830034658157,0.12531017369727046,0.2506203473945409,0.04441687344913151,0.47890818858560796,83,0.891566265060241,0.0003836981566053086,4.887817487022172,806,269.3426349496798
target1m_minv500_lb126_entry1p5_exit0p25_backwardation_only_costx1p0,1,500.0,126,1.5,0.25,backwardation_only,1.0,0.031982385130243145,0.007818873833534822,0.02502772002909067,0.008363563349154042,0.005657062020949315,1.4784287883325251,2.5574984508522176,-0.007567314341184468,0.10521091811414392,0.21042183622828783,0.036724565756823827,0.39081885856079407,74,0.9054054054054054,0.000374096008057509,6.13938951716415,806,269.3426349496798
target3m_minv10_lb252_entry2p0_exit0p25_backwardation_only_costx1p0,3,10.0,252,2.0,0.25,backwardation_only,1.0,0.02776684370119615,0.0045335087016607,0.02438145304722657,0.008132717557533796,0.006828565929962769,1.1909847017583288,2.062139923065641,-0.0067726033345201055,0.03397849462365591,0.06795698924731182,0.015483870967741937,0.16344086021505377,36,0.7777777777777778,0.0007071118415593111,3.7182400231212522,930,310.2123287671233
target3m_minv10_lb252_entry1p5_exit0p25_contango_only_costx3p0,3,10.0,252,1.5,0.25,contango_only,3.0,0.06406564803800865,0.053071270544273734,0.024372980590639852,0.008129891470987404,0.0065684888930887825,1.2377110783488563,2.1430446790085758,-0.0036944874975992775,0.06946236559139785,0.1389247311827957,0.02967741935483871,0.3161290322580645,69,0.6956521739130435,0.0005349978112828027,4.456726801065216,930,310.2123287671233
target1m_minv10_lb252_entry1p5_exit0p25_contango_only_costx3p0,1,10.0,252,1.5,0.25,contango_only,3.0,0.04523967663384594,0.02507358703688735,0.024205976275564773,0.008074185237123319,0.005436034800315273,1.4853078638597088,2.571748100195135,-0.0026620447865618596,0.019057815845824416,0.03811563169164883,0.018843683083511777,0.09100642398286937,44,0.7954545454545454,0.0007222758507810158,4.90878819123506,934,311.54657534246576
target6m_minv10_lb252_entry1p5_exit0p25_backwardation_only_costx1p0,6,10.0,252,1.5,0.25,backwardation_only,1.0,0.026749008983580784,0.004190212274099681,0.02418044419819672,0.008080427487091814,0.006944415761929139,1.1635863640812736,2.0128601032769495,-0.00602747007600438,0.02595596755504056,0.05191193511008112,0.019930475086906145,0.12630359212050984,43,0.6976744186046512,0.0005704498609656414,2.9925759136733725,863,288.39043915828
target6m_minv10_lb126_entry1p5_exit0p25_contango_only_costx1p0,6,10.0,126,1.5,0.25,contango_only,1.0,0.02551049776195218,0.003826985210506797,0.023176295314021756,0.0077448690424944625,0.004940634085839006,1.5675860442069653,2.7117294463391843,-0.0007170999965799146,0.012514484356894555,0.02502896871378911,0.01297798377752028,0.05793742757821553,28,0.8571428571428571,0.0008419633439136957,3.943728041341077,863,288.39043915828
