root,horizon,test_start,test_end,train_rows,test_rows,train_target_mean,train_target_std,train_pred_std,test_pred_std,train_r2,threshold_q80,threshold_q90,threshold_q95
SI,4h,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,26276,2478,0.0002808062243964918,0.012547287488616323,0.005124749915047437,0.004348138991562639,0.46666982201320384,0.0050817072040865805,0.008002384859558748,0.01130413741283554
SI,4h,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,26196,3489,0.00046594362014018716,0.012836573378444837,0.0053120247223152825,0.0059922017833425245,0.472615342457943,0.005344121902192425,0.008365379321338719,0.011533837333694077
SI,4h,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,24497,9499,0.0003092496559792586,0.013613312951578136,0.006082362618106726,0.005422864125079513,0.4922613033164044,0.005116070659466891,0.008126285431137161,0.011884305461036925
SI,4h,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,23874,10502,0.0005145352905220687,0.012986562795902788,0.00602099261066639,0.004634800403723245,0.5256005015035042,0.005316768592101792,0.008342802860178114,0.011773547705644621
SI,4h,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,26082,1871,0.0012029824519632537,0.013576009913667813,0.005644524936902715,0.008814774303990445,0.46604949512898475,0.0046409758143054185,0.0076329218926440194,0.011427246087496746
SI,4h,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,25459,2222,0.0016001271292440905,0.02451992434102046,0.01716332207951944,0.01944697446036546,0.7161193116315552,0.003899844634398081,0.009142767460435271,0.024534847686385808
SI,4h,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,24397,383,0.000991475323845514,0.026552134238011074,0.017910660360321667,0.013777652216628699,0.7181196863175268,0.004488403892785507,0.015014314300091636,0.034331791053105375
SI,1d,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,26125,10060,0.0023907593202226263,0.028901557448239128,0.01667872652765635,0.010540813012998832,0.6514371669509664,0.018025807541726117,0.028305728804175437,0.03718814386677835
SI,1d,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,27176,8106,0.002302968857875066,0.03031843249811245,0.015387771572377081,0.016392624317581008,0.5737945499480304,0.015278532425523936,0.02575209151523414,0.036000332853949615
SI,1d,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,26256,2478,0.0016709282609969672,0.03127954260164567,0.016759021932393012,0.01195199510094091,0.5940211607240224,0.017343221547006446,0.025412473114861327,0.03562026973398523
SI,1d,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,26151,3489,0.0027341449400565512,0.030883384960417665,0.01711304064623084,0.018282402200337423,0.6043917127599481,0.018407786083355256,0.027351249984913725,0.03675211684573297
SI,1d,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,24497,9499,0.0018090648797134045,0.0317235240485606,0.01987130388090566,0.014215496758206646,0.672986619654881,0.01759584054393163,0.026196643691135044,0.0372803648446284
