root,horizon,threshold,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_exposure,mean_turnover,gross_to_cost,bars
HG,4h,q95,-0.1204894627136095,0.12117816551938218,-0.2416676282329918,-0.08039080256111134,0.12685437862473925,-0.633725090396158,-1.0987704212914347,-0.40108266685231453,0.04877555150779195,0.004787745395668893,-0.9943166097388846,316224
HG,1d,q90,-0.045702735067643774,0.20169681447083426,-0.24739954953847826,-0.08229752774948013,0.11814937374446788,-0.6965549214629974,-1.207706553057694,-0.2954093432325263,0.09630515077919449,0.007969034608378871,-0.22659125870454674,316224
GC,1d,q90,-0.1225011616535907,0.14012051245332072,-0.2626216741069114,-0.08736117164621984,0.0780020452868779,-1.119985653259741,-1.941862688919707,-0.31296840890343725,0.09677949807731229,0.008044930176077717,-0.8742557353578073,316224
GC,1h,q80,0.02884371261910168,0.3413785126516045,-0.3125348000325028,-0.10396478662283391,0.1406032072246279,-0.7394197378210555,-1.2820267796702796,-0.364930608061015,0.29313081866019025,0.01960003035822708,0.08449188085993646,316224
GC,1d,q80,-0.12567440898194793,0.2102909263155576,-0.33596533529750544,-0.11175896058052265,0.11163104046848457,-1.0011459188367433,-1.7358150082503307,-0.37569743326827965,0.19965910240841936,0.012073719894758146,-0.5976216434244237,316224
HG,4h,q90,-0.0934257828574907,0.27485192892573207,-0.36827771178322305,-0.12250768144701477,0.15255538449568048,-0.8030374139333214,-1.3923288993792517,-0.5930845609632548,0.12379515786278081,0.010859390811576605,-0.33991314240598014,316224
GC,15m,q90,-0.06768454340567764,0.3020522367507904,-0.369736780156468,-0.12299304094002726,0.13347183797331164,-0.9214905766459914,-1.597706331122946,-0.4104286003147636,0.2149077868852459,0.0173421372191864,-0.22408224528898651,316224
HG,15m,q95,-0.06674433177342043,0.31519129181989897,-0.3819356235933196,-0.1270509895423133,0.15379081156641844,-0.8261286109895006,-1.4323650675885318,-0.4415983835988553,0.1503649311880186,0.012453197733252378,-0.21175817195977067,316224
PA,4h,q90,0.10313371402085192,0.5224687674808877,-0.41933505346003563,-0.13949192010589984,0.11453913067322813,-1.2178538398711984,-2.1115493089758535,-0.5043564480942677,0.031218376846792146,0.0029536025096134387,0.1973968980349139,316224
PA,1h,q95,0.08308623138765547,0.5040089502144323,-0.42092271882677673,-0.1400200574239346,0.11888810485850465,-1.1777465675862215,-2.0420101899899445,-0.49414364006403183,0.022234239020441207,0.0028492461040275246,0.16485070622715364,316224
HG,1h,q95,-0.23766254807938703,0.22090603489662802,-0.4585685829760152,-0.15254296441893403,0.12811764988102492,-1.1906475381072898,-2.064378256252938,-0.49957176526028196,0.11499127200971464,0.008727990285367335,-1.0758535781541692,316224
GC,15m,q80,-0.06857111444940767,0.4862358034347151,-0.5548069178841228,-0.18455667282074306,0.15046316423762393,-1.226590400088063,-2.126697003292519,-0.5854034019287677,0.3270150273224044,0.02791691965189233,-0.14102440413690026,316224
SI,4h,q95,-0.23430252502851134,0.3211815292578783,-0.5554840542863894,-0.18478192242996694,0.1875321313559537,-0.9853347322077486,-1.7084011272840622,-0.6323315245662716,0.07910531774944343,0.0054328577211090875,-0.7295018663429697,316224
SI,4h,q80,0.477593846238928,1.0366423630587516,-0.5590485168198231,-0.18596764186561057,0.3003364166636282,-0.6191977780499768,-1.073582557738695,-0.68024332589137,0.2412214126695001,0.0175350384537543,0.4607122603302875,316224
PA,1d,q90,-0.03825974074928773,0.5247063210889429,-0.5629660618382304,-0.18727081428635123,0.10530136526626284,-1.778427219939857,-3.0834872333489636,-0.6610209118333903,0.0390198087431694,0.0029662517708965797,-0.07291648530150321,316224
SI,1d,q95,-0.33785525994758503,0.25724434473739266,-0.5950996046849777,-0.19796004609397824,0.14074247375530705,-1.4065409027707507,-2.4387002561867033,-0.5954846135454842,0.07709092289010322,0.004351345881400526,-1.3133632161767592,316224
SI,4h,q90,-0.055252314363225086,0.5672088240793962,-0.6224611384426211,-0.20706186777428717,0.2560905300468755,-0.8085494912146343,-1.4018858943102763,-0.7406396737545045,0.15168994130742763,0.009594464683262497,-0.09741088646302694,316224
SI,15m,q90,0.469176386004476,1.1602168629653042,-0.6910404769608277,-0.2298748034698928,0.31596910475269324,-0.7275230394750594,-1.2613999488067014,-0.8300669595799882,0.17671334244080145,0.019625328880793363,0.40438680127898335,316224
HG,4h,q80,-0.10461126769495643,0.5922842964619737,-0.6968955641569305,-0.23182249982542705,0.18367318390460724,-1.2621466830227472,-2.1883454886874683,-0.7527011751160102,0.24862123052013763,0.02340113337381097,-0.17662340251101485,316224
