variant,horizon,scatter_observations,correlation,slope,observations,mean_bps,median_bps,vol_bps,tstat,hit_rate
pa_pl_resid_momentum_md_q99_z2_5_h20,5,5241,,,5241,-0.41293080190174664,-0.19418562772682835,15.836776339145786,-1.8876330651248006,0.48941041785918715
pa_pl_resid_momentum_md_q99_z2_5_h20,10,5241,,,5241,-0.8776228393396822,-0.47052399543084933,20.879821016534308,-3.042903818149674,0.4785346307956497
pa_pl_resid_momentum_md_q99_z2_5_h20,20,5241,,,5241,-0.6690479059787265,-0.5040843879736134,27.424692562685355,-1.7661294316225284,0.4678496470139286
pa_pl_resid_momentum_md_q99_z2_5_h20,50,5241,,,5241,0.7404588568873145,0.0,41.440943791033234,1.2935355667042863,0.4663232207593971
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,1,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,2,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,5,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,10,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,20,0,,,0,,,,,
pa_pl_resid_momentum_md_q99_3x_cost_gate_h20,50,0,,,0,,,,,
