strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,mean_mfe_bp,mean_mae_bp,trade_tstat
event_120D_pure,GC,long_cheap,16,1.0,0.6875,-22.538499071134098,18.16656745842256,-111.93559630715167,54.69883035160707,1490.7447916666665,1104.5,31.619941904987865,-98.17699812996602,-0.7705464273501363
event_120D_pure,PL,short_rich,17,1.0,0.47058823529411764,-90.73851263796726,-28.282680613097472,-444.7728305068249,156.93420770628785,1355.9313725490197,1368.0,83.76874914917994,-249.5972915968568,-1.1648920397115683
event_120D_pure,PA,short_rich,18,1.0,0.5555555555555556,-110.46249114218631,36.19308049233776,-657.7756200245976,244.41388163305515,1320.263888888889,1184.75,123.03729789747821,-326.5917829510894,-0.8799231058546051
event_20D_agree_60D_carry,PA,long_cheap,45,1.0,0.6888888888888889,30.8411361966765,27.048825361657165,-25.4125401803555,83.36081487488359,156.82962962962964,161.0,49.99399066957535,-60.71024978676005,3.531734572370795
event_20D_agree_60D_carry,HG,long_cheap,45,1.0,0.7555555555555555,19.711279481820693,24.05838428804378,-33.34711159759824,48.39315415324916,146.9,154.0,37.26514658517396,-46.00683369319335,2.893333253628102
event_20D_agree_60D_carry,HG,short_rich,31,1.0,0.7096774193548387,5.587312915532373,12.862075728619919,-34.719169157356774,55.43971824793546,171.28494623655916,144.0,26.1731987703111,-41.13127657916672,0.5394221545979507
event_20D_agree_60D_carry,GC,short_rich,55,1.0,0.6545454545454545,4.383787208778073,10.273661541182353,-25.608516288103175,31.372862075846722,174.65909090909088,146.0,19.00009379859169,-26.776591118382154,0.8343414608236894
event_20D_agree_60D_carry,PL,short_rich,41,1.0,0.6341463414634146,2.39789610028681,21.59959537152948,-137.82765824261125,64.83247223823423,182.35365853658536,168.0,42.19615086704075,-71.2684366168629,0.18463519193195355
event_20D_agree_60D_carry,SI,short_rich,23,1.0,0.6521739130434783,-0.052064450953665804,17.32079468665365,-111.57626161815404,69.56519264828647,224.6231884057971,168.0,33.05775215875939,-62.95302959136345,-0.003484408230102434
event_20D_agree_60D_carry,GC,long_cheap,8,1.0,0.625,-9.419350294201044,12.019244795319192,-69.57071041920808,22.324755903376666,191.36458333333334,177.0,16.598600285803585,-40.67557832129757,-0.6019251733412275
event_20D_agree_60D_carry,SI,long_cheap,69,1.0,0.5797101449275363,-16.68847704776509,14.46707649869281,-116.43461367396648,52.53382689694675,217.91425120772948,187.0,26.82691818875665,-67.97579387372015,-1.3552665444823189
event_20D_agree_60D_carry,PL,long_cheap,40,1.0,0.525,-23.249087509430627,7.852896806038164,-126.58171135673395,63.454562581136045,245.6020833333333,213.5,37.694012649413615,-87.73759627654479,-1.2883770244254555
event_20D_agree_60D_carry,PA,short_rich,34,1.0,0.47058823529411764,-48.295369042538816,-14.568072785774095,-264.9950320099115,80.0493032407394,243.42401960784312,225.0,44.14360461235858,-156.60231724716382,-2.116757887844442
event_20D_pure,PA,long_cheap,87,1.0,0.7126436781609196,15.963378586656395,27.048825361657165,-67.04401788383939,76.59812949338485,162.4750957854406,141.0,41.01225701749597,-62.78905091391625,2.2553619808087237
event_20D_pure,HG,short_rich,74,1.0,0.7162162162162162,6.3520566499621784,16.411026332997235,-62.63870902762562,54.654223551489224,154.75563063063063,139.0,28.594287376303217,-48.510226313160416,0.9681265530868957
event_20D_pure,GC,short_rich,78,1.0,0.6923076923076923,4.680998137601857,9.365047819553613,-26.79765374384101,31.57811079151192,179.61965811965814,162.95833333333331,17.708507180958094,-25.481284626685245,1.1609635795006965
event_20D_pure,GC,long_cheap,88,1.0,0.7045454545454546,1.6522157876141395,11.977248515589359,-45.282378686712256,23.184713240636494,181.07765151515153,163.0,16.167733625851564,-24.25723269496333,0.5529181264888344
event_20D_pure,SI,short_rich,71,1.0,0.6619718309859155,-0.0930828359069525,15.45377785453576,-86.03418386299008,39.34756562950127,203.82042253521126,169.0,24.543948803594663,-54.461910490766144,-0.015584212739791723
