window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,latest_z,latest_deviation_bp,duration_hours
20D,GC,rich,2016-12-02 14:35:00+00:00,2016-12-02 14:35:00+00:00,1,2.872855834276292,38.42092910347296,2.872855834276292,38.42092910347296,0.0
20D,GC,cheap,2016-12-05 20:35:00+00:00,2016-12-06 11:40:00+00:00,15,2.786963299756454,38.771560688579726,-2.7819675915853184,-38.771560688579726,15.083333333333334
20D,GC,cheap,2016-12-09 00:40:00+00:00,2016-12-09 04:40:00+00:00,5,2.585462742866575,60.59896197385329,-2.5076068597763577,-60.30217468451893,4.0
20D,GC,rich,2017-01-05 16:40:00+00:00,2017-01-05 16:40:00+00:00,1,2.50967878414165,63.55975476886372,2.50967878414165,63.55975476886372,0.0
20D,GC,cheap,2017-02-06 23:40:00+00:00,2017-02-06 23:40:00+00:00,1,2.6873480075035316,23.04643726355844,-2.6873480075035316,-23.04643726355844,0.0
20D,GC,cheap,2017-02-07 14:40:00+00:00,2017-02-08 14:40:00+00:00,24,3.3332300703804605,33.02099301726693,-2.6792189310764516,-26.839559613672428,24.0
20D,GC,cheap,2017-02-24 14:40:00+00:00,2017-02-24 14:40:00+00:00,1,2.635239468021539,41.6338544696851,-2.635239468021539,-41.6338544696851,0.0
20D,GC,cheap,2017-04-04 13:20:00+00:00,2017-04-04 18:20:00+00:00,6,2.821516264328424,38.499602170976175,-2.538959928782322,-34.382298622605454,5.0
20D,GC,cheap,2017-04-04 22:20:00+00:00,2017-04-05 00:20:00+00:00,3,2.6554722638744366,34.35272990976724,-2.574159061715592,-33.30081514874258,2.0
20D,GC,cheap,2017-04-05 09:20:00+00:00,2017-04-05 17:20:00+00:00,9,3.0403264462150896,36.65461373793043,-2.5751154497059896,-30.297684273685196,8.0
20D,GC,rich,2017-04-21 08:20:00+00:00,2017-04-21 08:20:00+00:00,1,2.6620738892558404,28.17754422749726,2.6620738892558404,28.17754422749726,0.0
20D,GC,rich,2017-04-24 01:20:00+00:00,2017-04-24 13:20:00+00:00,13,3.4223343294969553,33.39269312016727,2.7929861487720347,27.629573954214663,12.0
20D,GC,rich,2017-05-03 13:20:00+00:00,2017-05-03 13:20:00+00:00,1,2.6919749313474397,27.417485924859307,2.6919749313474397,27.417485924859307,0.0
