frequency,normal_quantile,root,episodes,mean_cum_log_return,median_cum_log_return,tstat_cum_log_return,positive_fraction,mean_flow_signed_return,median_flow_signed_return,tstat_flow_signed_return,flow_continuation_fraction,mean_max_runup,mean_max_drawdown
5m,0.5,GC,1727,3.282366277307351e-05,0.0,1.1804844613567815,0.4916039374638101,1.8912934578334895e-05,0.0,0.6796344005247761,0.4863925883034163,0.0004396123154978415,-0.00041362415739945845
5m,0.5,HG,1727,7.204833002841655e-05,0.0,1.8233006804026874,0.4707585408222351,-1.4751446249325884e-05,-0.0,-0.3719142068149398,0.4371742906774754,0.0006489796194396628,-0.0005635399566479838
5m,0.5,PA,1727,0.00014788303422042082,0.0,2.0820191718339522,0.42443543717429066,-7.946434897995233e-05,0.0,-0.9799037169436106,0.33005211349160396,0.001330442409435129,-0.0011759301032885114
5m,0.5,PL,1727,0.00011104653604472961,4.7097609805035745e-05,1.7686005383803591,0.5008685581933989,4.2079375508900045e-05,-0.0,0.6630708771032446,0.4620729588882455,0.0009906505077850946,-0.0008648951018778357
5m,0.5,SI,1727,7.202845925050264e-05,0.0,1.3185888586498655,0.47712796757382747,-0.00010148323851494582,0.0,-1.8546441950264578,0.44412275622466707,0.0008796794605498014,-0.0008110443059685492
5m,0.75,GC,1852,-3.4885421872069534e-06,0.0,-0.1740542738663853,0.48272138228941686,4.559647462496841e-06,0.0,0.22737692643503815,0.468682505399568,0.00027620133991387055,-0.0002778059067564962
5m,0.75,HG,1852,2.9115487408410492e-05,0.0,1.1685997008320703,0.45464362850971923,1.4882745952250015e-05,-0.0,0.5956701611568729,0.43358531317494603,0.0004005520321516954,-0.0003615817612648934
5m,0.75,PA,1852,8.334875488975127e-05,0.0,1.64853569025557,0.3833693304535637,-6.669563565341803e-05,0.0,-1.1531711910337095,0.3250539956803456,0.0008739892892204098,-0.0007749065587522862
5m,0.75,PL,1852,1.8904431176313807e-05,0.0,0.48409278238249187,0.4886609071274298,3.700900205787476e-05,0.0,0.9389083330987144,0.453023758099352,0.0006234181088660726,-0.0005881694215960534
5m,0.75,SI,1852,-7.866969421415713e-06,0.0,-0.19903352634995924,0.45518358531317493,-4.244686482927863e-05,0.0,-1.0720717293778859,0.43844492440604754,0.0005528784673185015,-0.0005565687593190555
5m,0.95,GC,1954,8.54827487860016e-06,0.0,0.6899522162006796,0.4687819856704197,-7.180304638877943e-07,-0.0,-0.057917323459736145,0.4687819856704197,0.00018347843657676494,-0.00017670175111045506
5m,0.95,HG,1954,1.5838473722794268e-05,0.0,0.838752220505979,0.44728761514841353,3.0135262304317756e-06,0.0,0.15902569738910677,0.4181166837256909,0.00027425986572419123,-0.00025458041828758054
5m,0.95,PA,1954,8.597478433448037e-05,0.0,2.158802610333959,0.34800409416581374,-1.2865564840380546e-05,0.0,-0.28001767924176624,0.2998976458546571,0.0006140213578055592,-0.0005336678237431476
5m,0.95,PL,1954,5.4708251317430454e-05,0.0,1.81718077512404,0.477482088024565,-2.0360418308461175e-05,0.0,-0.6691098725197285,0.44421699078812693,0.00045282173982745413,-0.00039419589905074256
5m,0.95,SI,1954,2.227698025688098e-05,0.0,0.7830410207302968,0.44319344933469806,8.647726684678813e-06,0.0,0.3031823084966395,0.42988741044012285,0.00038348898342813127,-0.0003672947444976833
