variant,root,observations,active_bars,gross_excess_return,price_return,carry_return,cost_return,net_return,turnover,mean_score,mean_pressure_bp,target_months,lookback,score_method,cost_multiplier
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx1,SI,48133,7161,-0.0034507500963842338,-0.003864585954484137,0.00041383585809989185,0.0077771546083397775,-0.011227904704724012,41.6,0.02734010930445788,45.58194300328166,6,2w,pressure_z,1.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx2,GC,57873,23680,0.06291744948815106,0.06312067968159064,-0.0002032301934395682,0.006477268971898788,0.05644018051625228,58.800000000000004,0.007807839351824829,31.668881249918016,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx2,HG,56356,2604,-0.006819803928559786,-0.005488568355753505,-0.0013312355728062725,0.0033616135745139055,-0.010181417503073692,21.0,0.014278387713364798,48.929571072921526,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx2,PA,3464,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24182907332588846,420.54787134576566,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx2,PL,36899,13,-0.0044706131294722585,-0.004482217190882132,1.1604061409873681e-05,0.0002050545957861281,-0.004675667725258387,0.4,0.04563701685714511,-64.21946635348837,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx2,SI,48133,7161,-0.0034507500963842338,-0.003864585954484137,0.00041383585809989185,0.015554309216679555,-0.019005059313063788,41.6,0.02734010930445788,45.58194300328166,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx3,GC,57873,23680,0.06291744948815106,0.06312067968159064,-0.0002032301934395682,0.009715903457848181,0.05320154603030288,58.800000000000004,0.007807839351824829,31.668881249918016,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx3,HG,56356,2604,-0.006819803928559786,-0.005488568355753505,-0.0013312355728062725,0.005042420361770859,-0.011862224290330644,21.0,0.014278387713364798,48.929571072921526,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx3,PA,3464,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24182907332588846,420.54787134576566,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx3,PL,36899,13,-0.0044706131294722585,-0.004482217190882132,1.1604061409873681e-05,0.00030758189367919214,-0.00477819502315145,0.4,0.04563701685714511,-64.21946635348837,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0_filt0p05_costx3,SI,48133,7161,-0.0034507500963842338,-0.003864585954484137,0.00041383585809989185,0.023331463825019334,-0.026782213921403567,41.6,0.02734010930445788,45.58194300328166,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx0,GC,57873,41787,0.053506141307852945,0.051566459095577076,0.0019396822122758795,0.0,0.053506141307852945,141.8,0.007807839351824829,31.668881249918016,6,2w,pressure_z,0.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx0,HG,56356,38279,-0.09865178205810683,-0.09876272958685899,0.00011094752875217672,0.0,-0.09865178205810683,159.0,0.014278387713364798,48.929571072921526,6,2w,pressure_z,0.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx0,PA,3464,1973,-0.142794676090633,-0.1434373373114365,0.0006426612208034979,0.0,-0.142794676090633,14.200000000000001,-0.24182907332588846,420.54787134576566,6,2w,pressure_z,0.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx0,PL,36899,25509,-0.10643024016086922,-0.10774561870176651,0.001315378540897315,0.0,-0.10643024016086922,108.2,0.04563701685714511,-64.21946635348837,6,2w,pressure_z,0.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx0,SI,48133,34183,0.05490580330068121,0.05473789447478029,0.00016790882590094714,0.0,0.05490580330068121,123.0,0.02734010930445788,45.58194300328166,6,2w,pressure_z,0.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx1,GC,57873,41787,0.053506141307852945,0.051566459095577076,0.0019396822122758795,0.007810176362374559,0.04569596494547839,141.8,0.007807839351824829,31.668881249918016,6,2w,pressure_z,1.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx1,HG,56356,38279,-0.09865178205810683,-0.09876272958685899,0.00011094752875217672,0.012726108532088356,-0.11137789059019519,159.0,0.014278387713364798,48.929571072921526,6,2w,pressure_z,1.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx1,PA,3464,1973,-0.142794676090633,-0.1434373373114365,0.0006426612208034979,0.007943315308595936,-0.15073799139922894,14.200000000000001,-0.24182907332588846,420.54787134576566,6,2w,pressure_z,1.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx1,PL,36899,25509,-0.10643024016086922,-0.10774561870176651,0.001315378540897315,0.027733634080073826,-0.13416387424094303,108.2,0.04563701685714511,-64.21946635348837,6,2w,pressure_z,1.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx1,SI,48133,34183,0.05490580330068121,0.05473789447478029,0.00016790882590094714,0.022994952327543092,0.031910850973138116,123.0,0.02734010930445788,45.58194300328166,6,2w,pressure_z,1.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx2,GC,57873,41787,0.053506141307852945,0.051566459095577076,0.0019396822122758795,0.015620352724749117,0.037885788583103826,141.8,0.007807839351824829,31.668881249918016,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx2,HG,56356,38279,-0.09865178205810683,-0.09876272958685899,0.00011094752875217672,0.025452217064176712,-0.12410399912228354,159.0,0.014278387713364798,48.929571072921526,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx2,PA,3464,1973,-0.142794676090633,-0.1434373373114365,0.0006426612208034979,0.015886630617191873,-0.15868130670782488,14.200000000000001,-0.24182907332588846,420.54787134576566,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx2,PL,36899,25509,-0.10643024016086922,-0.10774561870176651,0.001315378540897315,0.05546726816014765,-0.16189750832101688,108.2,0.04563701685714511,-64.21946635348837,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx2,SI,48133,34183,0.05490580330068121,0.05473789447478029,0.00016790882590094714,0.045989904655086185,0.008915898645595027,123.0,0.02734010930445788,45.58194300328166,6,2w,pressure_z,2.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx3,GC,57873,41787,0.053506141307852945,0.051566459095577076,0.0019396822122758795,0.023430529087123675,0.03007561222072927,141.8,0.007807839351824829,31.668881249918016,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx3,HG,56356,38279,-0.09865178205810683,-0.09876272958685899,0.00011094752875217672,0.038178325596265064,-0.1368301076543719,159.0,0.014278387713364798,48.929571072921526,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx3,PA,3464,1973,-0.142794676090633,-0.1434373373114365,0.0006426612208034979,0.02382994592578781,-0.1666246220164208,14.200000000000001,-0.24182907332588846,420.54787134576566,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx3,PL,36899,25509,-0.10643024016086922,-0.10774561870176651,0.001315378540897315,0.08320090224022147,-0.1896311424010907,108.2,0.04563701685714511,-64.21946635348837,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0_costx3,SI,48133,34183,0.05490580330068121,0.05473789447478029,0.00016790882590094714,0.06898485698262928,-0.014079053681948069,123.0,0.02734010930445788,45.58194300328166,6,2w,pressure_z,3.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0p02_costx0,GC,57873,34464,0.06179614078007204,0.06010694849478765,0.0016891922852843994,0.0,0.06179614078007204,123.80000000000001,0.007807839351824829,31.668881249918016,6,2w,pressure_z,0.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0p02_costx0,HG,56356,20338,-0.08350039314845722,-0.08159543143318453,-0.0019049617152726796,0.0,-0.08350039314845722,95.4,0.014278387713364798,48.929571072921526,6,2w,pressure_z,0.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0p02_costx0,PA,3464,193,0.017320576800857686,0.017101471322215112,0.00021910547864257554,0.0,0.017320576800857686,2.6,-0.24182907332588846,420.54787134576566,6,2w,pressure_z,0.0
target6m_lb2w_pressure_z_entry0p5_exit0p25_filt0p02_costx0,PL,36899,12765,-0.04362797160748644,-0.04389045449104394,0.00026248288355750236,0.0,-0.04362797160748644,66.8,0.04563701685714511,-64.21946635348837,6,2w,pressure_z,0.0
