variant,target_months,lookback,lookback_bars,score_method,entry_threshold,exit_threshold,funding_scaled_filter,cost_multiplier,split,observations,active_fraction,gross_excess_return,price_return,carry_return,cost_return,net_return,annualized_net_return,sharpe,tstat,max_drawdown,turnover,gross_to_cost
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx0,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,0.0,test,17591,0.49968734011710536,-0.07421194726186878,-0.06819025327669874,-0.0060216939851700235,0.0,-0.07421194726186878,-0.024895408889730273,-0.7771461931268657,-1.3417759575460955,-0.11985994872189315,39.6,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx1,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,1.0,full,59018,0.3013317970788573,-0.0023327831076423583,0.0022467926735335736,-0.004579575781175946,0.007052322497650962,-0.009385105605293334,-0.0009386604720808862,-0.044804895244790637,-0.1416742046942024,-0.1240937548476008,67.60000000000001,-0.3307822505875729
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx1,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,1.0,train,41313,0.2149928593905066,0.06718897787816502,0.06608745206540637,0.0011015258127586589,0.002718039261800396,0.06447093861636463,0.009212386064698394,0.6788158428777993,1.7957583785841147,-0.021885674655122426,27.8,24.719649499713213
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx1,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,1.0,test,17591,0.49968734011710536,-0.07421194726186878,-0.06819025327669874,-0.0060216939851700235,0.004323267472292915,-0.07853521473416168,-0.026345707870332604,-0.8224376658271934,-1.4199736115893347,-0.12342865625675112,39.6,-17.165708052411862
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx2,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,2.0,full,59018,0.3013317970788573,-0.0023327831076423583,0.0022467926735335736,-0.004579575781175946,0.014104644995301924,-0.016437428102944282,-0.0016440053710427122,-0.07846828371978248,-0.24811868500042417,-0.12803435118273881,67.60000000000001,-0.16539112529378644
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx2,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,2.0,train,41313,0.2149928593905066,0.06718897787816502,0.06608745206540637,0.0011015258127586589,0.005436078523600792,0.06175289935456424,0.008823999800187624,0.6501003642728996,1.7197936499455044,-0.022488577341564536,27.8,12.359824749856607
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx2,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,2.0,test,17591,0.49968734011710536,-0.07421194726186878,-0.06819025327669874,-0.0060216939851700235,0.00864653494458583,-0.0828584822064546,-0.027796006850934946,-0.8676965188246467,-1.4981149463281158,-0.12699736379160914,39.6,-8.582854026205931
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx3,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,3.0,full,59018,0.3013317970788573,-0.0023327831076423583,0.0022467926735335736,-0.004579575781175946,0.021156967492952886,-0.023489750600595244,-0.00234935027000454,-0.11212257212996656,-0.35453439067304265,-0.1319749475178771,67.60000000000001,-0.11026075019585763
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx3,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,3.0,train,41313,0.2149928593905066,0.06718897787816502,0.06608745206540637,0.0011015258127586589,0.008154117785401187,0.059034860092763854,0.008435613535676853,0.6213569704104301,1.6437550735053186,-0.023091480028006643,27.8,8.23988316657107
target6m_lb2w_pressure_vol_scaled_entry1_exit0p25_filt0p05_costx3,6,2w,336,pressure_vol_scaled,1.0,0.25,0.05,3.0,test,17591,0.49968734011710536,-0.07421194726186878,-0.06819025327669874,-0.0060216939851700235,0.012969802416878748,-0.08718174967874752,-0.029246305831537287,-0.9129173367214429,-1.5761906118478288,-0.130566071326467,39.6,-5.721902684137287
