target_months,lookback,root,pressure_state,observations,next_excess_bp,next_return_bp,next_funding_paid_bp,positive_excess_fraction
3,3d,PA,longs_pay_and_win,14651,-0.38334351481861095,-0.3415908911846052,0.0417526236340058,0.4859053989488772
3,3d,PA,shorts_pay_and_lose,11619,0.9673190901073103,0.9318106405187658,-0.03550844958854434,0.5213873827351752
3,3d,PA,shorts_pay_and_win,7894,0.2710354891828947,0.24232357109326655,-0.028711918089628145,0.5197618444388142
3,3d,PL,longs_pay_and_lose,28121,-0.007174525696888742,0.03241863711600216,0.03959316281289097,0.4916610362362647
3,3d,PL,longs_pay_and_win,27899,0.04493030671031074,0.08359059455556853,0.038660287845257726,0.4983332735940356
3,3d,PL,shorts_pay_and_lose,1516,-1.2247551295224186,-1.240253148820365,-0.015498019297946536,0.4788918205804749
3,3d,PL,shorts_pay_and_win,1248,0.8362686988323748,0.8293789100970066,-0.006889788735367965,0.5080128205128205
3,3d,SI,longs_pay_and_lose,27866,-0.12066374831460996,-0.06439660691040544,0.056267141404204475,0.4785760424890548
3,3d,SI,longs_pay_and_win,30150,0.33479792267352354,0.3933625020259116,0.05856457935238823,0.48407960199004973
3,3d,SI,shorts_pay_and_lose,24,-4.491151180231528,-4.491172432558217,-2.125232669018416e-05,0.375
3,3d,SI,shorts_pay_and_win,82,-2.9070381598113997,-2.89735525645853,0.009682903352869749,0.45121951219512196
3,1w,GC,longs_pay_and_lose,27317,0.0901734585182725,0.14408019675897193,0.0539067382406994,0.49408793059267125
3,1w,GC,longs_pay_and_win,30868,0.08070250990075276,0.13514753902037355,0.05444502911962079,0.49948166385901255
3,1w,GC,shorts_pay_and_lose,28,-3.590260175606644,-3.584181561186371,0.006078614420273874,0.5357142857142857
3,1w,HG,longs_pay_and_lose,23809,0.15630173399606317,0.2032625356573991,0.04696080166133597,0.4854466798269562
3,1w,HG,longs_pay_and_win,26095,0.06530360185717365,0.11006691228489354,0.04476331042771988,0.4824679057290669
3,1w,HG,shorts_pay_and_lose,4230,-0.7731789921710525,-0.7921478639710693,-0.0189688718000167,0.502127659574468
3,1w,HG,shorts_pay_and_win,3388,1.228406491871205,1.2186944255225336,-0.009712066348671472,0.5215466351829988
3,1w,PA,longs_pay_and_lose,15669,0.21173932274332502,0.2608173798184768,0.04907805707515166,0.4967132554725892
3,1w,PA,longs_pay_and_win,14554,-0.33047228724518884,-0.28958022989509885,0.040892057350089855,0.4835096880582658
3,1w,PA,shorts_pay_and_lose,12088,0.4800696764245957,0.4440296500471057,-0.03604002637749001,0.522005294506949
3,1w,PA,shorts_pay_and_win,7098,0.586256586626159,0.5590543027506283,-0.027202283875530472,0.5218371372217526
3,1w,PL,longs_pay_and_lose,28601,0.039141714752957246,0.07954202441500018,0.040400309662042944,0.48847942379637077
3,1w,PL,longs_pay_and_win,27153,-0.0998652827367311,-0.06202841071305371,0.03783687202367741,0.5005708393179391
3,1w,PL,shorts_pay_and_lose,1832,-0.7079278175589135,-0.720319495267707,-0.012391677708793429,0.4868995633187773
3,1w,PL,shorts_pay_and_win,1102,2.2158229904466618,2.214076569086392,-0.001746421360269504,0.5245009074410163
3,1w,SI,longs_pay_and_lose,27936,0.03556916773969883,0.09309994324314258,0.05753077550344368,0.47737686139748
3,1w,SI,longs_pay_and_win,30090,0.15043727103585508,0.2077834967870593,0.05734622575120415,0.4848786972416085
3,2w,GC,longs_pay_and_lose,27949,0.04589141749279584,0.09894678028694591,0.05305536279415008,0.4933271315610576
3,2w,GC,longs_pay_and_win,30096,0.1196946786482043,0.1750381765933007,0.05534349794509639,0.5004319510898458
3,2w,HG,longs_pay_and_lose,22818,0.16336520853658149,0.20849276594017088,0.04512755740358939,0.4857568586203874
3,2w,HG,longs_pay_and_win,27008,0.11345394879044624,0.15923438279627844,0.04578043400583217,0.4840787914691943
3,2w,HG,shorts_pay_and_lose,4284,-0.9947049492710579,-1.0108326912506655,-0.016127741979607566,0.4964985994397759
3,2w,HG,shorts_pay_and_win,3244,1.0669515564266179,1.0577593286960993,-0.009192227730518658,0.5144882860665845
3,2w,PA,longs_pay_and_lose,16269,0.16144388143583555,0.209103053920915,0.047659172485079594,0.49591247157170076
3,2w,PA,longs_pay_and_win,13924,-0.35326743532862,-0.3114506736765082,0.04181676165211165,0.4836972134444125
3,2w,PA,shorts_pay_and_lose,13195,0.4822866441424067,0.44510501570822786,-0.03718162843417883,0.5209549071618037
3,2w,PA,shorts_pay_and_win,5853,0.677068414899707,0.6541573208113372,-0.022911094088369627,0.5236630787630275
3,2w,PL,longs_pay_and_lose,28540,0.0005918768026216236,0.04044811099026154,0.03985623418763997,0.4911002102312544
3,2w,PL,longs_pay_and_win,27049,-0.03597371529364746,0.0021960870057475563,0.03816980229939498,0.49850271729084256
