config,horizon,root,decile,n,signal_mean,forward_excess_mean_bp,forward_excess_median_bp,forward_price_mean_bp,forward_funding_paid_mean_bp,positive_excess_fraction
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,1,1842,-1.7114463543207246,0.41506352720448214,-1.668326438381556,1.8644634758528746,1.449399948648174,0.494028230184582
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,2,1842,-1.020158294334684,-11.71378083143254,1.5988478534070474,-10.2436172343759,1.4701635970564149,0.502171552660152
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,3,1841,-0.6257643342684751,7.867393420835756,9.298351508544588,9.333396918258227,1.4660034974222511,0.5252580119500272
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,4,1842,-0.3222504916154567,9.659936357133704,6.763730356375953,11.114651496626553,1.4547151394926399,0.5222584147665581
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,5,1841,-0.06785495845811117,0.0913202762297759,-0.9674898998768608,1.5245910582790727,1.4332707820490842,0.49538294405214556
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,6,1842,0.18448920265810265,0.7340942764327316,2.7395631688987416,2.1782410571659963,1.4441467807330481,0.51085776330076
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,7,1841,0.4361824611172984,-6.945036286901871,-11.953258024152667,-5.485191604123354,1.4598446827782918,0.45138511678435633
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,8,1842,0.7197077944535463,12.818876364778657,-0.34499463183471024,14.324324081356773,1.5054477165779185,0.5
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,9,1841,1.1034245880917697,29.959483319318082,14.301070011571593,31.436779697431657,1.4772963781133712,0.5529603476371537
robust_3m_3d_pressure_vol_scaled_filt0p02,1d,SI,10,1842,1.8105830614206302,20.641761047859823,13.514517611043974,22.0420013827486,1.400240334888558,0.5510314875135722
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,1,3465,-1.6900819635369537,-5.612424852954742,-3.357076920752635,-0.7447593723425023,4.867665480612063,0.48744588744588746
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,2,3465,-0.9949651938664307,-7.701054508573755,-1.8820034409200956,-2.8521666861474073,4.848887822426173,0.49408369408369407
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,3,3465,-0.6385436706031669,13.919491989098205,11.149922576155111,18.75875639151668,4.839264402418304,0.5258297258297259
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,4,3464,-0.3385433322994843,9.57903901716115,4.803727203798992,14.514892978832606,4.935853961671292,0.5135681293302541
