label,variant,lookback_bars,entry_z,flow_z,rebalance_bars,train_observations,train_total_gross_return,train_total_cost_return,train_total_net_return,train_gross_to_cost,train_mean_net_bps,train_tstat,train_annualized_sharpe,train_hit_rate,train_max_drawdown,train_avg_turnover,train_avg_gross_exposure,train_active_fraction,test_observations,test_total_gross_return,test_total_cost_return,test_total_net_return,test_gross_to_cost,test_mean_net_bps,test_tstat,test_annualized_sharpe,test_hit_rate,test_max_drawdown,test_avg_turnover,test_avg_gross_exposure,test_active_fraction,full_observations,full_total_gross_return,full_total_cost_return,full_total_net_return,full_gross_to_cost,full_mean_net_bps,full_tstat,full_annualized_sharpe,full_hit_rate,full_max_drawdown,full_avg_turnover,full_avg_gross_exposure,full_active_fraction
ungated_residual_reversion_lb390_z2_fz0.5_rb1,ungated_residual_reversion,390,2.0,0.5,1,582,0.009370342765697494,0.006978108692938368,0.002392234072759126,1.3428198352914726,0.04110367822610182,0.4284368439644655,2.4898483195555428,0.044673539518900345,-0.0038057744693034286,0.07993251652850367,0.09278350515463918,0.09278350515463918,412,-0.0034035694486855344,0.020699939595497124,-0.02410350904418266,-0.16442412466874617,-0.5850366272859869,-2.6691463655354637,-18.436197553451787,0.20388349514563106,-0.024930697195442497,0.3349504788915393,0.46601941747572817,0.46601941747572817,994,0.005966773317011959,0.027678048288435494,-0.021711274971423535,0.2155778201855732,-0.218423289450941,-2.0376170946974286,-9.061017205079393,0.11066398390342053,-0.0279092835134861,0.18563412668300133,0.24748490945674045,0.24748490945674045
ungated_residual_reversion_lb390_z2_fz1_rb1,ungated_residual_reversion,390,2.0,1.0,1,582,0.009370342765697494,0.006978108692938368,0.002392234072759126,1.3428198352914726,0.04110367822610182,0.4284368439644655,2.4898483195555428,0.044673539518900345,-0.0038057744693034286,0.07993251652850367,0.09278350515463918,0.09278350515463918,412,-0.0034035694486855344,0.020699939595497124,-0.02410350904418266,-0.16442412466874617,-0.5850366272859869,-2.6691463655354637,-18.436197553451787,0.20388349514563106,-0.024930697195442497,0.3349504788915393,0.46601941747572817,0.46601941747572817,994,0.005966773317011959,0.027678048288435494,-0.021711274971423535,0.2155778201855732,-0.218423289450941,-2.0376170946974286,-9.061017205079393,0.11066398390342053,-0.0279092835134861,0.18563412668300133,0.24748490945674045,0.24748490945674045
non_transition_flow_confirmed_reversion_lb156_z1.5_fz1_rb3,non_transition_flow_confirmed_reversion,156,1.5,1.0,3,582,0.010885897019602239,0.009369574661070957,0.0015163223585312818,1.1618347057771312,0.026053648772015152,0.3923232955118032,2.2799754778643027,0.08934707903780069,-0.003181618279129669,0.10732617022990786,0.19072164948453607,0.19072164948453607,412,-0.0010696020499895817,0.010433597162294453,-0.011503199212284035,-0.10251517605596011,-0.27920386437582606,-2.0516235115658428,-14.170873824278413,0.11165048543689321,-0.010154625874738822,0.16882843304683584,0.28398058252427183,0.28398058252427183,994,0.009816294969612656,0.019803171823365412,-0.009986876853752755,0.49569306660413776,-0.10047159812628526,-1.4638419186322313,-6.509513904629206,0.09859154929577464,-0.014414418438607282,0.13281805381197456,0.22937625754527163,0.22937625754527163
non_transition_flow_confirmed_reversion_lb156_z2_fz1_rb6,non_transition_flow_confirmed_reversion,156,2.0,1.0,6,582,0.0035516564996045056,0.0024,0.0011516564996045062,1.4798568748352108,0.019787912364338595,0.38997634252041874,2.266336228476687,0.0429553264604811,-0.0015804043161945273,0.027491408934707903,0.08247422680412371,0.08247422680412371,412,-0.00760987733619233,0.0020999999999999994,-0.00970987733619233,-3.6237511124725392,-0.23567663437360026,-2.2784389639237217,-15.737522450910209,0.043689320388349516,-0.008126216504323403,0.03398058252427184,0.10194174757281553,0.10194174757281553,994,-0.004058220836587825,0.004499999999999999,-0.008558220836587822,-0.9018268525750723,-0.08609880117291571,-1.6467821137106557,-7.323025068929841,0.043259557344064385,-0.01095090655543721,0.030181086519114688,0.09054325955734406,0.09054325955734406
stable_flow_confirmed_reversion_lb156_z1.5_fz0.5_rb6,stable_flow_confirmed_reversion,156,1.5,0.5,6,582,0.002815828111899083,0.00198757464864066,0.0008282534632584228,1.416715650818389,0.014231159162515853,0.37538869819716103,2.181560555664687,0.037800687285223365,-0.0014626538600560294,0.02276717810584948,0.07216494845360824,0.07216494845360824,412,0.0037506759722417153,0.0024,0.0013506759722417146,1.5627816551007148,0.03278339738450764,0.25489873908276045,1.7606241345677511,0.043689320388349516,-0.004319854757752206,0.038834951456310676,0.13106796116504854,0.13106796116504854,994,0.006566504084140797,0.00438757464864066,0.002178929435500138,1.496613644208926,0.02192081927062513,0.3798580338335645,1.6891790852219244,0.04024144869215292,-0.004319854757752206,0.029427060017710664,0.096579476861167,0.096579476861167
stable_flow_confirmed_reversion_lb156_z2_fz0.5_rb3,stable_flow_confirmed_reversion,156,2.0,0.5,3,582,0.0022066089970151598,0.0014999999999999996,0.00070660899701516,1.4710726646767736,0.012141048058679724,0.3667002491754321,2.131067885622308,0.015463917525773196,-0.0013200591049375458,0.017182130584192438,0.030927835051546386,0.030927835051546393,412,0.0012646996274764428,0.0011999999999999997,6.469962747644308e-05,1.0539163562303693,0.0015703793076806572,0.08141327882736468,0.5623338275173381,0.014563106796116505,-0.00044732484389443624,0.019417475728155338,0.02912621359223301,0.02912621359223301,994,0.0034713086244916027,0.0026999999999999993,0.000771308624491603,1.285669860922816,0.0077596441095734705,0.37018131574872193,1.646147983213781,0.015090543259557344,-0.0013200591049375458,0.018108651911468814,0.030181086519114685,0.030181086519114688
stable_flow_confirmed_reversion_lb390_z2_fz0.5_rb6,stable_flow_confirmed_reversion,390,2.0,0.5,6,582,0.0013056611251829353,0.0008999999999999998,0.00040566112518293556,1.450734583536595,0.0069701224258236355,0.3508047127248129,2.0386914355631007,0.012027491408934709,-0.0007246927563320891,0.010309278350515462,0.030927835051546393,0.030927835051546393,412,-0.003847826208428482,0.0010001418046556426,-0.004847968013084124,-3.847280646121298,-0.11766912653116805,-1.9269737470642887,-13.309899052338217,0.02669902912621359,-0.0054690517095048055,0.016183524347178683,0.05825242718446602,0.05825242718446602,994,-0.0025421650832455466,0.0019001418046556424,-0.004442306887901188,-1.3378817712535178,-0.0446912161760683,-1.60149620965523,-7.1216445657618905,0.018108651911468814,-0.0056190517095048055,0.012744076489977482,0.04225352112676056,0.04225352112676056
stable_flow_confirmed_reversion_lb390_z1.5_fz0.5_rb3,stable_flow_confirmed_reversion,390,1.5,0.5,3,582,0.00201861416850972,0.0016615742628224184,0.0003570399056873013,1.2148804983779773,0.0061347062832869635,0.15731503402738636,0.9142317674863597,0.01718213058419244,-0.001877666247427477,0.019032923972765393,0.03608247422680412,0.03608247422680412,412,-0.0065650737588619085,0.005399999999999999,-0.011965073758861907,-1.2157543997892424,-0.2904144116228618,-3.5106928001294935,-24.248886029029656,0.03640776699029126,-0.011965073758861909,0.08737864077669903,0.1383495145631068,0.1383495145631068,994,-0.004546459590352188,0.007061574262822418,-0.011608033853174604,-0.6438308826246102,-0.116781024679825,-2.8187737141437896,-12.53471871017801,0.025150905432595575,-0.012595098333703552,0.047361329730532656,0.07847082494969819,0.07847082494969819
stable_flow_confirmed_reversion_lb390_z1.5_fz0.5_rb6,stable_flow_confirmed_reversion,390,1.5,0.5,6,582,0.001301648678768219,0.0010998311640244454,0.00020181751474377362,1.1834986326494819,0.0034676548925047014,0.1518114401351705,0.8822477908580885,0.018900343642611683,-0.0010166606418289866,0.012598295120554933,0.041237113402061855,0.041237113402061855,412,-0.0024125588633101243,0.0023501418046556425,-0.004762700667965766,-1.0265588478664707,-0.11559953077586811,-1.5445691268706687,-10.668572516530977,0.055825242718446605,-0.0052261129800995655,0.03802818454135344,0.1262135922330097,0.1262135922330097,994,-0.0011109101845419057,0.003449972968680088,-0.004560883153221992,-0.3220054750072215,-0.045884136350321854,-1.3570931549839815,-6.034816088952814,0.03420523138832998,-0.005348447112918029,0.02313865170140904,0.07645875251509054,0.07645875251509054
stable_flow_confirmed_reversion_lb156_z1.5_fz1_rb6,stable_flow_confirmed_reversion,156,1.5,1.0,6,582,0.0009798885839016483,0.0008999999999999998,7.988858390164835e-05,1.088765093224054,0.001372656080784336,0.0834431565588688,0.48492748946153,0.013745704467353952,-0.0005289446259184702,0.010309278350515464,0.030927835051546386,0.030927835051546393,412,-0.00010914879284835684,0.0011999999999999997,-0.0013091487928483566,-0.09095732737363073,-0.031775456137096036,-0.8477957431414168,-5.8558533946844955,0.01699029126213592,-0.0015176232544150835,0.019417475728155338,0.05825242718446602,0.05825242718446602,994,0.0008707397910532914,0.0020999999999999994,-0.0012292602089467083,0.41463799573966265,-0.012366802906908534,-0.6767146757303052,-3.009261816500678,0.015090543259557344,-0.002046567880333554,0.014084507042253521,0.04225352112676056,0.04225352112676056
