variant,gross_residual_return,cost_return,net_residual_return,net_raw_return,ann_return,ann_vol,residual_sharpe,residual_tstat,max_drawdown,hit_rate,mean_gross_exposure,mean_turnover,gross_to_cost,event_count,event_win_rate,mean_event_return,event_tstat,mean_duration_days,bars
z2.5_exit0.25_mdq95_normq75_topo_hold,0.15372919967342896,0.08052821582443875,0.07320098384899022,0.09611655341144143,0.004564872044035025,0.037464354594963604,0.12184574092859693,0.4879266147073979,-0.1486358846619091,0.02845830240039594,0.056669141301658,0.09058042510158323,1.9090103772890883,368,0.529891304347826,0.001981946575392092,1.4516312758820207,1.5815217391304348,4041
z1.5_exit0.5_mdq95_normq50_topo_exit,0.16685046908284112,0.09674135005591747,0.07010911902692363,0.047816478795432334,0.004372060874730205,0.03711155438297305,0.11780861641128473,0.47176010380703975,-0.1702208004558809,0.035634743875278395,0.07126948775055679,0.10763482029257829,1.724706849619112,594,0.5538720538720538,0.0011540850908777463,1.2291037053240719,1.6094276094276094,4041
z2_exit0.5_mdq95_normq50_topo_hold,0.15505078723635313,0.0891260497297362,0.06592473750661693,0.053311906195215766,0.004111119488163194,0.03955686819323342,0.10392934718897794,0.4161811004324265,-0.16711274196396755,0.03464488987874288,0.06904231625835189,0.10006921300536743,1.7396797872959207,467,0.556745182012848,0.0015942448626443282,1.400032235360455,1.6852248394004283,4041
z1.5_exit0.25_mdq90_normq50_topo_hold,0.24623322350441573,0.1808269132787111,0.06540631022570464,0.04837193275173933,0.004078789947259978,0.04496583047125864,0.09070865376026067,0.3632393386638428,-0.19205467717855773,0.07126948775055679,0.13437268002969563,0.19563010367624914,1.3617067229638156,1036,0.5916988416988417,0.0014556965433190293,2.0776206109948476,1.7133204633204633,4041
z2.5_exit0.5_mdq95_normq75_topo_hold,0.14342263907085426,0.08052821582443875,0.06289442324641548,0.09479138107761102,0.003922146661246399,0.037390939358880236,0.10489564393131252,0.4200505988219221,-0.15687056353777698,0.027963375402128187,0.05617421430339025,0.09058042510158323,1.7810234289001627,368,0.5271739130434783,0.0019003257632034052,1.3872501873105927,1.5733695652173914,4041
z2.5_exit0.25_mdq95_normq75_topo_exit,0.14279221503285378,0.08048974289392341,0.06230247213893035,0.08364731329546024,0.0038852321155680397,0.037345160926615203,0.10403575775728167,0.4166072174880236,-0.14646611857193564,0.027715911902994307,0.055431823805988614,0.09035108392940613,1.77404237979786,370,0.5324324324324324,0.0018642044815790747,1.367964207928967,1.5405405405405406,4041
z1.5_exit0.25_mdq90_normq50_topo_exit,0.2399633918462852,0.17923712143301712,0.060726270413268155,0.041349038503445526,0.0037869389121859874,0.04487475485977335,0.08438907185163651,0.3379328143361023,-0.20044485993665115,0.07003217025488741,0.13140311804008908,0.19442028729333855,1.3388040933025258,1044,0.5900383141762452,0.0014253264088067011,2.075360526232174,1.6724137931034482,4041
z2_exit0.5_mdq95_normq50_topo_exit,0.14738685550339453,0.08816772679113963,0.059219128712254925,0.034774531114244306,0.003692952347312111,0.03935792526483551,0.09382995476673649,0.3757384693020242,-0.15957758956101614,0.033655035882207376,0.066815144766147,0.09916597123352877,1.671664461221043,471,0.5583864118895966,0.0016055880288309008,1.4239416162059642,1.6326963906581742,4041
z2.5_exit0.5_mdq95_normq75_topo_exit,0.13737572278328708,0.08036515592031036,0.057010566862976696,0.07974409485549594,0.0035552246596065647,0.03733134053752253,0.09523431541476877,0.38136217786664467,-0.1479362083161139,0.027220984904726554,0.05493689680772086,0.09016548630505572,1.7093940926277562,370,0.5297297297297298,0.0018349261450949308,1.3462126976930233,1.5351351351351352,4041
z2_exit0.25_mdq95_normq50_topo_hold,0.13152329351997205,0.08914621144757288,0.04237708207239915,0.023909558003852638,0.002642668815205292,0.03930467062768801,0.06723549066821784,0.26924195380090526,-0.1699245058439004,0.03588220737441227,0.07250680524622619,0.10012125890002653,1.4753660462320515,467,0.5674518201284796,0.0015206263247649913,1.3225249583889118,1.7580299785867237,4041
z1.5_exit0.25_mdq95_normq50_topo_hold,0.1392435789939003,0.09864238003994219,0.04060119895395811,0.028511192861728624,0.0025319233200686575,0.03731940697416918,0.06784468257550665,0.2716814395208433,-0.18049773988277518,0.03810937886661717,0.07770353872803762,0.10990952048858507,1.4115999526523784,587,0.5604770017035775,0.00110656089360667,1.1557463902520686,1.72572402044293,4041
