variant,split,start,end,bars,net_residual_return,net_raw_return,cost_return,residual_sharpe,residual_tstat,max_drawdown,events
z2_exit0.25_mdq90_normq50_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.00029899338392566643,-0.029542546653123836,0.16294927700564338,0.0003938007686957778,0.0015769601339738388,-0.20188990357415088,802
z2_exit0.25_mdq90_normq50_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.14593682046947057,-0.09676312783417707,0.09878862360595375,-0.4184701120058293,-1.3222680166201553,-0.18076158808577286,456
z2_exit0.25_mdq90_normq50_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.14623581385339623,0.06722058118105327,0.06416065339968965,0.38568151512070015,0.948775531760821,-0.11704800049272754,346
z2_exit0.25_mdq90_normq50_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.014395046202508085,-0.01762822503057332,0.020041695373251813,-0.1484602418778742,-0.1981677890039724,-0.05741344435445851,93
z2_exit0.25_mdq90_normq75_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,-0.09934053886100738,-0.08260365797607633,0.16080372878353158,-0.13726737387289903,-0.549681954684221,-0.21700035664558373,799
z2_exit0.25_mdq90_normq75_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.18038953417097542,-0.13151314613556997,0.09670436845240704,-0.569450417313565,-1.7993305907931572,-0.19085455743635282,454
z2_exit0.25_mdq90_normq75_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.08104899530996806,0.048909488159493614,0.06409936033112454,0.21912877289263316,0.5390562157489971,-0.1558644890878696,345
z2_exit0.25_mdq90_normq75_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.06295088074073085,-0.06260047643428654,0.020153814260976302,-0.6814018605821074,-0.9095492397609636,-0.08144784934133602,93
z2_exit0.25_mdq90_normq75_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,-0.11194180895494837,-0.09015488334724257,0.1599504514139406,-0.15374819483273122,-0.6156787726053499,-0.2259497120772979,805
z2_exit0.25_mdq90_normq75_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.18933888960268955,-0.1331573245793019,0.09621245626734318,-0.5832950358282212,-1.8430763583857108,-0.19980391286806698,458
z2_exit0.25_mdq90_normq75_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.0773970806477412,0.04300244123205926,0.06373799514659742,0.20974721447823755,0.5159776062631942,-0.15240087608077352,347
z2_exit0.25_mdq90_normq75_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.057551886441139885,-0.05448942437346835,0.02001501590043821,-0.6247758486239998,-0.8339636725551549,-0.07604885504174505,93
z2_exit0.25_mdq95_normq50_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.04237708207239915,0.023909558003852638,0.08914621144757288,0.06723549066821784,0.26924195380090526,-0.1699245058439004,467
z2_exit0.25_mdq95_normq50_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.10479227766124827,-0.06989276210301901,0.05534927571241956,-0.3649424711455741,-1.1531331477632376,-0.14796922658660178,279
z2_exit0.25_mdq95_normq50_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.14716935973364748,0.09380232010687166,0.03379693573515333,0.46567680951392726,1.145563749501941,-0.09433191487592221,188
z2_exit0.25_mdq95_normq50_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.032099621259325785,-0.03890311460803485,0.013381772399005147,-0.39998456164297,-0.5339076321976786,-0.06132409053006466,63
z2_exit0.25_mdq95_normq50_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.02523839410112652,0.0035674920640684574,0.08834980924754171,0.03977299159675426,0.15926942541194292,-0.1775560314530971,471
z2_exit0.25_mdq95_normq50_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.11817334750794387,-0.07637321393127838,0.05540472103255349,-0.39904746758671666,-1.2608969872998563,-0.1556007521957985,282
z2_exit0.25_mdq95_normq50_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.1434117416090704,0.07994070599534686,0.03294508821498821,0.45639693614376425,1.1227352849625034,-0.08511494675625345,189
z2_exit0.25_mdq95_normq50_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.02670062695973482,-0.030792062547216652,0.013242974038467055,-0.3340299010547776,-0.44586999263879123,-0.05592509623047369,63
z2_exit0.25_mdq95_normq75_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.02245760364522327,0.037832794306144814,0.08699638281836072,0.037257707761953404,0.14919706738621744,-0.162033919823978,468
z2_exit0.25_mdq95_normq75_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.12992951240128217,-0.09758550420913481,0.05378309388916665,-0.49467386480155773,-1.563054113828495,-0.13506115684582642,280
z2_exit0.25_mdq95_normq75_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.15238711604650546,0.13541829851527962,0.033213288929194076,0.4938643477503586,1.2149050208121026,-0.08013127476157453,188
z2_exit0.25_mdq95_normq75_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.05078128011344886,-0.056069056570118445,0.013381772399005147,-0.6553169091284672,-0.8747305092344695,-0.07428530673942361,63
z2_exit0.25_mdq95_normq75_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.009231356423508058,0.025714619697378323,0.08648799357440834,0.015157013872398784,0.06069568301255983,-0.17560658841890023,472
z2_exit0.25_mdq95_normq75_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.1435856979496813,-0.10443031723428944,0.05383853920930058,-0.5270101003053231,-1.6652290810670887,-0.14863382544074866,283
