strategy,split,cost_multiplier,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,realized_avg_cost_bps,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.1977412018656285,0.018121356952955147,0.024663981313846256,0.006542624360891104,1.741645922067761,0.012424222679880172,0.012347675400120857,0.0664869377789925,0.18571580843692098,0.22498399733803273,-0.051829213552705866,0.49775828460038984,0.01016737047725588,0.1977412018656285,0.1977412018656285,25.596854986935718
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.03455652777242416,0.010077880118389709,0.035355142401497924,0.02527726228310824,2.0167598194910217,0.006890578245008018,0.0068669467052750064,0.03845133294050525,0.17858800151089835,0.2163490700910344,-0.03735640421171127,0.5064138315672058,0.06300289563008905,0.03455652777242416,0.03455652777242416,85.4024527118224
wf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.19562116948695216,0.016085525607364717,0.022622336289677972,0.006536810682313243,1.7417882452423943,0.011020770487704374,0.010960484325522962,0.06617036048865775,0.16564039011698745,0.20066378518234046,-0.04792618693829631,0.49773399014778325,0.009275173674483134,0.19562116948695216,0.19562116948695216,25.572020317909658
wf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.19562116948695216,0.016085525607364717,0.022622336289677972,0.006536810682313243,1.7417882452423943,0.011020770487704374,0.010960484325522962,0.06617036048865775,0.16564039011698745,0.20066378518234046,-0.04792618693829631,0.49773399014778325,0.009275173674483134,0.19562116948695216,0.19562116948695216,25.572020317909658
wf_event_60D_agree_120D_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.19741356049801487,0.015029638265781447,0.02157226262667255,0.006542624360891104,1.741645922067761,0.010293634015436039,0.010241015348292722,0.0664265713626349,0.15417046429184386,0.18676863116701586,-0.05251214108334845,0.49760812262032605,0.008675058836354284,0.19741356049801487,0.19741356049801487,25.596854986935718
wf_event_60D_agree_120D_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.19741356049801487,0.015029638265781447,0.02157226262667255,0.006542624360891104,1.741645922067761,0.010293634015436039,0.010241015348292722,0.0664265713626349,0.15417046429184386,0.18676863116701586,-0.05251214108334845,0.49760812262032605,0.008675058836354284,0.19741356049801487,0.19741356049801487,25.596854986935718
wf_event_60D_pure_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.274043094476352,0.01285512983854768,0.026650990226400714,0.013795860387853031,1.7490228548587896,0.008797806572645773,0.008759331372638167,0.07388069880286233,0.11856048351695894,0.143629192002981,-0.06225337273091991,0.49869892397496307,0.006533914016558325,0.274043094476352,0.2725102111965652,53.74620386420057
wf_event_60D_pure_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.274043094476352,0.01285512983854768,0.026650990226400714,0.013795860387853031,1.7490228548587896,0.008797806572645773,0.008759331372638167,0.07388069880286233,0.11856048351695894,0.143629192002981,-0.06225337273091991,0.49869892397496307,0.006533914016558325,0.274043094476352,0.2725102111965652,53.74620386420057
wf_event_252D_pure_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.14107851829009752,0.01000935827471544,0.01278965411112365,0.002780295836408212,1.7430724965810862,0.0068435676587531745,0.006820256742392856,0.06047196318368188,0.1127837824890275,0.13663105167432837,-0.03712133660430594,0.49774590163934423,0.007411753148967292,0.14107851829009752,0.14107851829009752,10.868510966566028
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.23023551632424932,0.011219951410066402,0.021014394869076573,0.009794443459010172,1.5696921893162052,0.007674439095431934,0.007645140392978999,0.06934872018229231,0.11024198244585817,0.13355180743034442,-0.05430645678589552,0.4983257994307718,0.006498137386588143,0.23023551632424932,0.23023551632424932,42.51672021216138
