strategy,root,cum_log_contribution,contribution_bp,share_of_gross_pnl,leg_turnover
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,PA,0.09142761090145698,914.2761090145699,0.6823638670454925,73.14024842849793
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,GC,0.0055692605044329055,55.692605044329056,0.03637423556649417,158.2751935458819
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,SI,-0.008970770962764028,-89.70770962764027,-0.05859035251680522,80.37010094488237
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,HG,0.06994825485692589,699.4825485692589,0.45684957591870967,175.8039699791413
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,PL,0.008792239931139149,87.92239931139149,0.0574243216236402,152.12716932573974
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,PA,0.07777105132316611,777.7105132316611,0.5079422194079612,70.93329417222208
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,GC,0.005849576517424066,58.49576517424066,0.047561202823782796,117.44363872222996
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,SI,-0.00124715841568496,-12.4715841568496,-0.01014028181101573,49.9536269883942
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,HG,0.04772288367971148,477.2288367971148,0.3880208666842207,144.98920198629403
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,PL,-0.0073905169420255094,-73.90516942025509,-0.06009014057774331,106.20082973896909
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,PA,0.07805572360286789,780.5572360286789,0.6346483528807555,63.19739601909099
