strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,HG,long_cheap,34,0.0,0.5,9.196425658607922,1.6745799271961503,-39.66039400480505,60.82082214322976,16.124999999999996,3.8333333333333335,1.144711083178278
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,PA,long_cheap,71,0.0,0.5492957746478874,10.198983721971073,3.9823430400787174,-20.223046058619467,46.90315870910733,6.525821596244132,1.9166666666666667,2.602834514824299
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,SI,short_rich,30,0.0,0.3333333333333333,-6.813063259576703,-4.245180397158544,-23.543940818352535,7.958051066841167,1.9972222222222225,1.2916666666666665,-2.359532545728955
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,PA,short_rich,152,0.0,0.5263157894736842,-0.2243134426507073,0.5063523578952012,-30.02794910426243,29.41371158185159,9.356907894736842,2.333333333333333,-0.08905512085489005
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,HG,long_cheap,52,0.0,0.46153846153846156,0.6077103713186058,-0.5553674790475127,-39.384194576575496,57.99731624475264,12.50320512820513,3.333333333333333,0.11776852950155203
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,GC,long_cheap,31,0.0,0.6451612903225806,4.922356880545,3.4254486851466313,-8.436689685684673,23.64363241636358,1.6747311827956985,0.8333333333333334,2.2832615986238607
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,HG,short_rich,47,0.0,0.5957446808510638,9.335689521150742,9.08762327833157,-21.657870663813362,41.10470945082737,10.719858156028371,3.0,1.6750213753075023
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,PA,long_cheap,93,0.0,0.6021505376344086,10.18493155636187,6.691605353186247,-26.21594850829578,46.72003968725402,5.943548387096774,1.6666666666666667,2.8658328950102927
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,SI,short_rich,54,0.0,0.5,-1.360175341652312,0.0589600188294348,-17.368299214448268,17.073269909206225,2.0956790123456788,1.0,-0.6248870519369606
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,PA,short_rich,152,0.0,0.5263157894736842,-0.2243134426507073,0.5063523578952012,-30.02794910426243,29.41371158185159,9.356907894736842,2.333333333333333,-0.08905512085489005
