spec,base_strategy,timing,z_buffer,selection_policy,rebalance_ts,root,side,train_event_count,train_hit_rate,train_mean_trade_return_bp,train_tstat,selected,strategy
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,PL,short_rich,218,0.573394495412844,4.00392693385884,3.0689071419146696,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,SI,long_cheap,329,0.5075987841945289,0.33562307308386147,0.3351411635202499,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2023-01-01 00:00:00+00:00,SI,short_rich,107,0.6355140186915887,4.108575104540784,1.8413766422789997,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,GC,long_cheap,51,0.6862745098039216,5.636774380032535,3.3185161131113348,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,GC,short_rich,146,0.5,-0.8526384730397498,-0.3435324268023568,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,HG,long_cheap,181,0.5911602209944752,5.740458714841943,1.916790279909415,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,HG,short_rich,59,0.4915254237288136,7.094097299544323,1.4703393975756511,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,PA,long_cheap,149,0.6644295302013423,9.914246706332696,3.056095096305423,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,PA,short_rich,136,0.5955882352941176,5.001436036229221,1.5126997837132585,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,PL,long_cheap,171,0.543859649122807,1.7337687190506113,0.78881605456294,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,PL,short_rich,218,0.573394495412844,4.00392693385884,3.0689071419146696,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,SI,long_cheap,342,0.5029239766081871,0.46677617528250015,0.4717972040418236,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2024-01-01 00:00:00+00:00,SI,short_rich,126,0.6190476190476191,3.4883750978206125,1.719025590432663,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
