strategy,split,cost_multiplier,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,realized_avg_cost_bps,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.04148976954861062,0.021106144747351816,0.17038534722013815,0.1492792024727863,1.814788998234828,0.0021246351156313723,0.002122381270278822,0.02741333956180491,0.0774214781637164,0.2441485856208765,-0.09476539562232322,0.5050308008213552,0.03019345448321334,0.04148976954861062,0.04067886531889758,82.7156449863308
wf_event_252D_pure_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.1312025217601204,0.028693300267092395,0.04754803126406831,0.018854730996975936,1.641850467673885,0.002889493265966498,0.0028853267045372694,0.03732936523491414,0.07729375215409837,0.2437458017250524,-0.10546698049566383,0.49251098461072274,0.003802311488650733,0.1312025217601204,0.12749681145845665,11.547852600592568
wf_event_252D_pure_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.1310122538231076,0.026509521778212787,0.04511983178784839,0.018610310009635644,1.6501318669152234,0.002669287607929459,0.002665731386741612,0.03728977649289121,0.07148692315841039,0.22543396991990958,-0.10538502382978465,0.49243508041791306,0.0035585790971123694,0.1310122538231076,0.12730862781759306,11.340950332455934
wf_event_252D_pure_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,full,1.0,704270,9.944558521560575,0.04411376318741392,0.013566863484005686,0.02095896126713841,0.007392097783132744,1.458957783322767,0.001365180964124826,0.0013642499518296033,0.02727228680443133,0.050023306135367186,0.15774846632615308,-0.04319937614984348,0.4780803398995751,0.005252940323484116,0.04411376318741392,0.04240987121416502,5.094944646780511
wf_event_252D_pure_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.09364448293978161,0.015172450521885872,0.023790613745385776,0.008618163223499925,1.4116321901740074,0.0015268682576605817,0.0015257037795082427,0.03140061406770654,0.04858834213300715,0.1532233081930026,-0.09632144735002146,0.4830252763415263,0.0027180708409052035,0.09364448293978161,0.09061155522739858,6.139141649757732
wf_event_252D_pure_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.09373109744842177,0.01432014126927595,0.022938304492775844,0.008618163223499925,1.4116321901740077,0.001441034981509347,0.001439997686999254,0.03145963988225695,0.045772859841647584,0.1443446864515979,-0.09460871809376104,0.48303338786887234,0.002586444850973157,0.09373109744842177,0.09069816973603874,6.139141649757732
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.0415053885583654,0.01030119003020298,0.21186098049202462,0.20155979046182163,1.7763682484054304,0.0010363986652673128,0.001035861974955369,0.028559811172932215,0.03626991679612768,0.11437716117530107,-0.08368241901959994,0.5038144435701823,0.03541701991270802,0.0415053885583654,0.04075497984544835,114.09993278181666
wf_event_252D_pure_exhaust_60m_confirm15_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.09345847473270194,0.010750607192961184,0.01936522932832006,0.008614622135358893,1.4115300777830118,0.0010816387936147826,0.0010810542438513518,0.03137482121139414,0.03445610850074753,0.10865731778806889,-0.09719921302606938,0.4829079307201459,0.002051790390246218,0.09345847473270194,0.09042554702031891,6.137063091516463
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.03311230068013688,0.008286083934355964,0.14398263122908464,0.13569654729472866,1.8727390698177848,0.0008335751631075355,0.0008332279322798584,0.02533781203765803,0.03288476254545906,0.10370207924698198,-0.09075812476901246,0.5043739279588336,0.03066734610656547,0.03311230068013688,0.032613620246677265,72.86282720871979
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n10_hit55_meanpos,full,1.0,704270,9.944558521560575,0.02176012040836611,0.005668885463684756,0.1002733701902797,0.09460448472659493,1.858907006339493,0.0005702114910030182,0.000570048982204104,0.020986087584164224,0.027163185130050355,0.0856590882498526,-0.06631199542147392,0.505252854812398,0.03377347270357823,0.02176012040836611,0.021687279180074247,51.17626098370669
