,logret,logret,logret,logret,logret,cum_logret,cum_logret,cum_logret,cum_logret,cum_logret,logret_bps,logret_bps,logret_bps,logret_bps,logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps
,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA
2025-10-09 20:38:00+00:00,-0.00017539683578959853,-0.00010504753410600642,0.0002918429905436337,6.0076296914957084e-05,0.0,-0.009849594010219676,-0.01097017740320938,0.016278060940872807,-0.00789855710019971,-0.0017091099699557688,-1.7539683578959853,-1.0504753410600642,2.918429905436337,0.6007629691495708,0.0,-98.49594010219676,-109.7017740320938,162.78060940872808,-78.9855710019971,-17.091099699557688
2025-10-09 20:39:00+00:00,0.0,0.0,-0.00019455252979660997,-6.0076296914957084e-05,,-0.009849594010219676,-0.01097017740320938,0.016083508411076197,-0.007958633397114667,-0.0017091099699557688,0.0,0.0,-1.9455252979660997,-0.6007629691495708,,-98.49594010219676,-109.7017740320938,160.83508411076198,-79.58633397114667,-17.091099699557688
2025-10-09 20:40:00+00:00,-5.0119032714235345e-05,0.00021008403438615986,0.00019455252979660997,,0.0006839945547110204,-0.00989971304293391,-0.01076009336882322,0.016278060940872807,-0.007958633397114667,-0.0010251154152447484,-0.5011903271423535,2.1008403438615986,1.9455252979660997,,6.839945547110204,-98.99713042933911,-107.6009336882322,162.78060940872808,-79.58633397114667,-10.251154152447484
2025-10-09 20:41:00+00:00,-0.0001253085725227976,-0.00031514260463572086,,-0.00018025054875003832,,-0.010025021615456708,-0.011075235973458941,0.016278060940872807,-0.008138883945864706,-0.0010251154152447484,-1.253085725227976,-3.1514260463572086,,-1.8025054875003832,,-100.25021615456708,-110.75235973458942,162.78060940872808,-81.38883945864706,-10.251154152447484
2025-10-09 20:42:00+00:00,-0.000350947562010262,-0.00031524195080567807,,-6.009073703072687e-05,,-0.01037596917746697,-0.01139047792426462,0.016278060940872807,-0.008198974682895432,-0.0010251154152447484,-3.50947562010262,-3.1524195080567807,,-0.6009073703072687,,-103.7596917746697,-113.90477924264619,162.78060940872808,-81.98974682895432,-10.251154152447484
2025-10-09 20:43:00+00:00,0.0002005565450833302,0.0006303845554413989,,0.0004205593501254157,,-0.01017541263238364,-0.01076009336882322,0.016278060940872807,-0.007778415332770017,-0.0010251154152447484,2.005565450833302,6.303845554413989,,4.205593501254157,,-101.7541263238364,-107.6009336882322,162.78060940872808,-77.78415332770017,-10.251154152447484
2025-10-09 20:44:00+00:00,5.013285206878493e-05,0.0002100399083548865,9.726207273130782e-05,,,-0.010125279780314855,-0.010550053460468334,0.016375323013604115,-0.007778415332770017,-0.0010251154152447484,0.5013285206878493,2.100399083548865,0.9726207273130782,,,-101.25279780314855,-105.50053460468334,163.75323013604114,-77.78415332770017,-10.251154152447484
2025-10-09 20:45:00+00:00,0.00032580229101597524,0.00020999580085545588,0.00029172947160760465,0.0007205476473632899,0.0010251154152447484,-0.00979947748929888,-0.010340057659612878,0.01666705248521172,-0.007057867685406727,0.0,3.2580229101597524,2.099958008554559,2.9172947160760465,7.205476473632899,10.251154152447484,-97.9947748929888,-103.40057659612879,166.67052485211718,-70.57867685406727,0.0
2025-10-09 20:46:00+00:00,0.00015033449453305536,0.00020995171187765393,-9.723370127723285e-05,-0.0001200552255475884,,-0.009649142994765825,-0.010130105947735224,0.016569818783934487,-0.007177922910954315,0.0,1.5033449453305536,2.0995171187765393,-0.9723370127723285,-1.200552255475884,,-96.49142994765825,-101.30105947735224,165.69818783934488,-71.77922910954315,0.0
2025-10-09 20:47:00+00:00,-7.516442220811825e-05,0.0004197712308466883,-9.724315658976579e-05,-0.0006004924218157015,,-0.009724307416973943,-0.009710334716888536,0.01647257562734472,-0.007778415332770017,0.0,-0.7516442220811825,4.197712308466883,-0.9724315658976579,-6.004924218157015,,-97.24307416973943,-97.10334716888536,164.72575627344722,-77.78415332770017,0.0
