label,train_obs,train_gross_log,train_cost_log,train_net_log,train_comp_total,train_cagr,train_mean_bps,train_tstat,train_sharpe,train_mdd_log,train_calmar,train_hit,oos_obs,oos_gross_log,oos_cost_log,oos_net_log,oos_comp_total,oos_cagr,oos_mean_bps,oos_tstat,oos_sharpe,oos_mdd_log,oos_calmar,oos_hit,family,roots,params
volume_filter_q0.2_GC_SI_HG,2296,-0.04397899845006431,0.15684134870168565,-0.20082034715175007,-0.18194061494828095,-0.02678126938079861,-0.8746530799292249,-0.6793537218394092,-0.22506620474205838,-0.36701858674328264,-0.0729697904905596,0.41986062717770034,985,0.31721652563068914,0.08180797673598067,0.2354085488947084,0.2654256513909943,0.07714653483678813,2.3899345065452633,1.3260460385966095,0.6707192293211164,-0.09729151337127072,0.7929420785386692,0.433502538071066,volume_filter,"GC,SI,HG",q=0.2
volume_filter_q0.3_GC_SI_HG,2296,-0.02464708966990925,0.19314579857611822,-0.2177928882460277,-0.19570799725501986,-0.029011573570134952,-0.9485752972387966,-0.7296364260756579,-0.24172459203399563,-0.4247450402694213,-0.0683035016765176,0.39242160278745647,985,0.3576620457286379,0.09837050193924488,0.259291543789393,0.29601159388552434,0.08529843143165805,2.632401459790792,1.2501050973244703,0.6323080066927715,-0.11128166970777681,0.7665092701758505,0.41624365482233505,volume_filter,"GC,SI,HG",q=0.3
inv_vol_signal_w63_GC_SI_HG_PL_ALI,2296,-0.02537732586569083,0.11664278579290954,-0.14202011165860037,-0.1323961926411248,-0.01901483750160171,-0.618554493286587,-0.545856303931737,-0.18083923398227092,-0.29000887834570044,-0.06556639786363844,0.4943379790940767,985,0.6099112411442495,0.06639672566056534,0.5435145154836843,0.7220484052016856,0.18717974613112198,5.517913862778521,2.7065792991002597,1.368998306808603,-0.07516226691442685,2.490341947033455,0.534010152284264,risk_weight,"GC,SI,HG,PL,ALI",volw=63
inv_vol_signal_w126_GC_SI_HG_PL_ALI,2296,-0.05792037188030802,0.11648903985129438,-0.1744094117316024,-0.16004705933468055,-0.023300505170799513,-0.7596228733954808,-0.6701821148698912,-0.2220277010794506,-0.3164989437714884,-0.07361953532338619,0.4882404181184669,985,0.6207655352614276,0.06611898662751668,0.5546465486339109,0.741325402149029,0.19135911945355955,5.630929427755441,2.760122401992291,1.396080615915466,-0.0802090244273192,2.38575547851175,0.5360406091370559,risk_weight,"GC,SI,HG,PL,ALI",volw=126
inv_vol_signal_w252_GC_SI_HG_PL_ALI,2296,-0.035392192369611476,0.11251299739174758,-0.14790518976135908,-0.13748711388182444,-0.01979493127883203,-0.644186366556442,-0.5690964617190517,-0.1885385722542911,-0.31301827126293713,-0.0632389003969809,0.47473867595818814,985,0.6160401032141175,0.06591688397420385,0.5501232192399138,0.7334666011453495,0.18965912410170227,5.5850073019280595,2.7473804605799614,1.3896356925301685,-0.0787980396245549,2.4069015549798154,0.5380710659898477,risk_weight,"GC,SI,HG,PL,ALI",volw=252
asset_cap_0.25_GC_SI_HG_PL_ALI,2296,0.17694777055641447,0.07507278175470669,0.10187498880170773,0.10724504504578647,0.01386648123830403,0.44370639721998134,0.40201307241736145,0.1331847512672611,-0.17353494697389082,0.07990598712310269,0.4917247386759582,985,0.5463419892263106,0.05351633798486918,0.49282565124144145,0.6369350989060303,0.1683338936709784,5.003306103974024,2.5968498096974675,1.3134967054886892,-0.09012664993482691,1.8677482608385567,0.5258883248730964,asset_cap,"GC,SI,HG,PL,ALI",cap=0.25
asset_cap_0.3_GC_SI_HG_PL_ALI,2296,0.20454635381232036,0.09055301635956638,0.11399333745275406,0.12074465784504484,0.01552868726436274,0.49648666137959085,0.4196316108444531,0.13902167752439726,-0.2216938446215908,0.07004564015238517,0.490418118466899,985,0.603154916020607,0.060243902428557136,0.5429110135920499,0.721009459266112,0.18695358883128987,5.511786940020811,2.687301114500638,1.359247326268702,-0.09448902569572609,1.9785746276326153,0.5370558375634518,asset_cap,"GC,SI,HG,PL,ALI",cap=0.3
asset_cap_0.35_GC_SI_HG_PL_ALI,2296,0.1511658683916341,0.09843553346918714,0.052730334922446956,0.05414534060255316,0.007153426949754849,0.22966173746710347,0.1893142977874609,0.06271880043737176,-0.25637909187596425,0.027901756330487606,0.4917247386759582,985,0.6548033280632681,0.06345087220018633,0.5913524558630819,0.806429880722092,0.20524438414678303,6.003578232112507,2.8381007281881345,1.4355223557401096,-0.08926392837784042,2.2992981361745057,0.5360406091370559,asset_cap,"GC,SI,HG,PL,ALI",cap=0.35
asset_cap_0.4_GC_SI_HG_PL_ALI,2296,0.09705872649134409,0.10381444695759132,-0.0067557204662472975,-0.006732951888306582,-0.0009128055302689564,-0.029423869626512618,-0.02388712337182504,-0.007913674462466321,-0.28006551438391125,-0.0032592571501598405,0.4930313588850174,985,0.6864615004489965,0.06565797749646304,0.6208035229525335,0.8604223334634808,0.21650218260279885,6.302573837081558,2.9159396441955536,1.474893581350753,-0.08976423922195648,2.411897928165608,0.534010152284264,asset_cap,"GC,SI,HG,PL,ALI",cap=0.4
asset_cap_0.5_GC_SI_HG_PL_ALI,2296,0.07378882191361867,0.10884755903351159,-0.03505873711989302,-0.03445129895787713,-0.004727945473935402,-0.15269484808315775,-0.12280503375209925,-0.04068464186075208,-0.2917320594080274,-0.01620646521856112,0.490418118466899,985,0.6832612559395039,0.06726686200088391,0.6159943939386201,0.8514968016607292,0.21465671443209322,6.253750192270255,2.8470737948401346,1.4400609676542524,-0.10049196022479098,2.13605858570105,0.5289340101522843,asset_cap,"GC,SI,HG,PL,ALI",cap=0.5
deadband_0.5_GC_SI_HG_PL_ALI,2296,-0.022495084285079514,0.1259776123509455,-0.14847269663602514,-0.13797645700825711,-0.019870124084949925,-0.6466580863938377,-0.4755361563322538,-0.1575425503426128,-0.33391411716367647,-0.05950669068361096,0.490418118466899,985,0.7093514204046203,0.07625037978633695,0.6331010406182834,0.8834421632521061,0.2212340273621085,6.427421732165314,2.664555537208187,1.3477425250566697,-0.1093580224596305,2.0230251277977986,0.5228426395939086,deadband,"GC,SI,HG,PL,ALI",deadband=0.5
deadband_0.75_GC_SI_HG_PL_ALI,2296,-0.0149363296946253,0.14311494226042515,-0.15805127195505053,-0.14619399545687262,-0.021138384075056416,-0.6883766200132863,-0.4694395342674455,-0.1555227725070577,-0.37157565334785525,-0.056888506780791284,0.4847560975609756,985,0.785054174133367,0.08431858094540454,0.7007355931879624,1.0152345551960602,0.24758939151727088,7.114066935918401,2.6168765257506124,1.3236262961409213,-0.10658695177105115,2.322886501615067,0.5279187817258884,deadband,"GC,SI,HG,PL,ALI",deadband=0.75
deadband_1.0_GC_SI_HG_PL_ALI,2296,-0.19655802603044192,0.15129671117556337,-0.3478547372060052,-0.2937985464398646,-0.04593376821340722,-1.5150467648345172,-0.9550292146463337,-0.3163960008583705,-0.45978761158008763,-0.09990214406941736,0.45252613240418116,985,0.7088689328146132,0.08591701720081497,0.6229519156137979,0.8644235477022022,0.21732751843436904,6.324384930089319,2.088226403982393,1.0562330142092085,-0.12660346205097012,1.7166001222531635,0.500507614213198,deadband,"GC,SI,HG,PL,ALI",deadband=1.0
deadband_1.25_GC_SI_HG_PL_ALI,2296,-0.32100199424862497,0.15636326881564175,-0.47736526306426674,-0.379584127101502,-0.062491179485421156,-2.079116999408827,-1.1717842463099222,-0.38820576765140574,-0.5619587801427266,-0.11120242568244883,0.4146341463414634,985,0.8504366032049882,0.0864066186617506,0.7640299845432375,1.146910827595108,0.272768471605898,7.756649589271446,2.4811850918285447,1.2549930425911384,-0.11505467604803393,2.3707725837411466,0.4548223350253807,deadband,"GC,SI,HG,PL,ALI",deadband=1.25
deadband_1.5_GC_SI_HG_PL_ALI,2296,-0.4564285514689623,0.1493169095085804,-0.6057454609775428,-0.4543324988438058,-0.07862047247313075,-2.6382642028638625,-1.4672266850645714,-0.4860842457882567,-0.6638722139662201,-0.11842711717579313,0.3488675958188153,985,0.9180348526293471,0.0834684121456739,0.8345664404836733,1.3038149908141015,0.30142768045322677,8.472755740951,2.5943466476032664,1.3122305963930612,-0.137180371972645,2.19730910565933,0.3786802030456853,deadband,"GC,SI,HG,PL,ALI",deadband=1.5
roll_pause_1_GC_SI_HG_PL_ALI,2296,0.02503801800464779,0.1279177403242943,-0.10287972231964648,-0.09776451425305788,-0.013810782570129465,-0.44808241428417456,-0.34024447460320706,-0.11272114970689959,-0.37502726206533943,-0.036826076307282615,0.4960801393728223,985,0.8469872532495364,0.07487839514302513,0.7721088581065113,1.1643257002804686,0.27601867855772455,7.838668610218389,3.368997260388958,1.704051880781217,-0.07291035543034707,3.785726690379551,0.5360406091370559,roll_pause,"GC,SI,HG,PL,ALI",pause=1
roll_pause_2_GC_SI_HG_PL_ALI,2296,-0.05493975676224144,0.12658747927860908,-0.18152723604085053,-0.1660044697421842,-0.02423980488687727,-0.7906238503521364,-0.5884031985970409,-0.19493478950517673,-0.3708551437521822,-0.06536192175097649,0.49477351916376305,985,0.8637876952520315,0.07463787023913765,0.7891498250128941,1.2015239498067611,0.28290166354639723,8.011673350384712,3.3298610841908047,1.6842566510726158,-0.0831288687671406,3.4031698944305058,0.5411167512690356,roll_pause,"GC,SI,HG,PL,ALI",pause=2
roll_pause_3_GC_SI_HG_PL_ALI,2296,0.03585455092729911,0.12560603668808373,-0.08975148576078466,-0.08584166159134343,-0.012059093825199763,-0.39090368362711087,-0.2823151520845479,-0.09352947923624705,-0.38083847829955286,-0.03166458882790343,0.49782229965156793,985,0.888226384889723,0.07494131491812872,0.8132850699715946,1.255304664352388,0.29271366221631845,8.25670121798573,3.383309916316346,1.7112912776601639,-0.08239452443787287,3.552586342518797,0.5390862944162437,roll_pause,"GC,SI,HG,PL,ALI",pause=3
roll_pause_5_GC_SI_HG_PL_ALI,2296,0.027514722377976725,0.12482304436700227,-0.09730832198902564,-0.09272377020687539,-0.013067775330380393,-0.42381673340167964,-0.2912386624330928,-0.09648578983345059,-0.41546948224917635,-0.0314530329872533,0.49477351916376305,985,0.7570279906422832,0.07475619659135968,0.6822717940509236,0.9783670734182721,0.24033861505418241,6.926617198486535,2.723531436483357,1.377572763644936,-0.09690435120048435,2.48016329583538,0.5380710659898477,roll_pause,"GC,SI,HG,PL,ALI",pause=5
