hour_utc,size_bucket,trades,contracts,share_within_hour
19,008: 101-250,83,11511.0,1.906591707750272e-05
19,009: 251-500,7,2094.0,1.607968910150832e-06
20,001: 1,2013259,2013259.0,0.7104123955072991
20,002: 2,429783,859566.0,0.15165618063960648
20,003: 3-5,300313,1087434.0,0.10597050738726786
20,004: 6-10,69288,510663.0,0.024449439470981993
20,005: 11-25,19167,282997.0,0.006763399237101834
20,006: 26-50,1701,57032.0,0.000600226540528524
20,007: 51-100,368,25347.0,0.00012985500700440732
20,008: 101-250,47,6240.0,1.6584742742410716e-05
20,009: 251-500,4,1389.0,1.4114674674392099e-06
21,001: 1,470929,470929.0,0.7097702318781604
21,002: 2,100129,200258.0,0.15091146127702545
21,003: 3-5,71109,257604.0,0.10717337734270793
21,004: 6-10,16471,121665.0,0.024824603049005644
21,005: 11-25,4341,64081.0,0.006542626545791604
21,006: 26-50,410,14049.0,0.0006179398488308126
21,007: 51-100,87,6033.0,0.00013112382158117242
21,008: 101-250,18,2578.0,2.7129066534035674e-05
21,009: 251-500,1,258.0,1.507170363001982e-06
22,001: 1,1127963,1127963.0,0.7233977464907966
22,002: 2,237143,474286.0,0.15208717998379997
22,003: 3-5,154578,554198.0,0.09913567808257394
22,004: 6-10,30552,223282.0,0.0195939476301854
22,005: 11-25,7829,115470.0,0.005020981146789785
22,006: 26-50,958,32717.0,0.0006143951895037187
22,007: 51-100,184,12662.0,0.00011800492157482698
22,008: 101-250,46,6663.0,2.9501230393706745e-05
22,009: 251-500,4,1243.0,2.565324382061456e-06
23,001: 1,1816856,1816856.0,0.7338575896461734
23,002: 2,370215,740430.0,0.1495358396872719
23,003: 3-5,230716,825401.0,0.09318993230768237
23,004: 6-10,45731,333397.0,0.01847149219977211
23,005: 11-25,10835,158926.0,0.004376432135412101
23,006: 26-50,1156,39498.0,0.0004669271387666257
23,007: 51-100,206,13750.0,8.32067392611807e-05
23,008: 101-250,43,6268.0,1.736839703024646e-05
23,009: 251-500,3,995.0,1.2117486300171948e-06
