root,hour_utc,size_bucket,trades,contracts,mean_size,share_within_root_hour
HG,6,008: 101-250,9,1219.0,135.44444444444446,9.640836010450666e-06
HG,6,009: 251-500,1,330.0,330.0,1.071204001161185e-06
HG,7,001: 1,745133,745133.0,1.0,0.6704103978737838
HG,7,002: 2,228558,457116.0,2.0,0.2056379998164573
HG,7,003: 3-5,108271,385725.0,3.5625883200487665,0.09741348750919963
HG,7,004: 6-10,22634,165542.0,7.313864098259256,0.020364242283559073
HG,7,005: 11-25,6344,93348.0,14.71437578814628,0.005707818019214402
HG,7,006: 26-50,426,14230.0,33.4037558685446,0.0003832803398778901
HG,7,007: 51-100,83,5480.0,66.02409638554217,7.467668593864996e-05
HG,7,008: 101-250,9,1289.0,143.22222222222223,8.0974719692512e-06
HG,8,001: 1,812839,812839.0,1.0,0.6683223184935844
HG,8,002: 2,248917,497834.0,2.0,0.20466142317539823
HG,8,003: 3-5,120560,431139.0,3.5761363636363637,0.09912533566621007
HG,8,004: 6-10,25867,189540.0,7.327482893261685,0.0212680412879716
HG,8,005: 11-25,7441,108919.0,14.63768310710926,0.0061180459745543226
HG,8,006: 26-50,526,17291.0,32.872623574144484,0.00043248114267108905
HG,8,007: 51-100,68,4609.0,67.77941176470588,5.591010969892406e-05
HG,8,008: 101-250,19,2642.0,139.05263157894737,1.562194241587584e-05
HG,8,009: 251-500,1,255.0,255.0,8.222074955724126e-07
HG,9,001: 1,651871,651871.0,1.0,0.6609551678266089
HG,9,002: 2,205473,410946.0,2.0,0.2083363751399231
HG,9,003: 3-5,100138,359037.0,3.5854221174778806,0.10153347609545595
HG,9,004: 6-10,22036,161410.0,7.324832092938827,0.022343083337389075
HG,9,005: 11-25,6148,89625.0,14.577911515940142,0.006233675637968236
HG,9,006: 26-50,500,16602.0,33.204,0.0005069677649616327
HG,9,007: 51-100,77,5186.0,67.35064935064935,7.807303580409143e-05
HG,9,008: 101-250,12,1461.0,121.75,1.2167226359079185e-05
HG,9,009: 251-500,1,262.0,262.0,1.0139355299232655e-06
HG,10,001: 1,527718,527718.0,1.0,0.6689339759207193
HG,10,002: 2,162688,325376.0,2.0,0.20622288926015409
HG,10,003: 3-5,76606,274155.0,3.578766676239459,0.09710556804843236
HG,10,004: 6-10,16848,123448.0,7.327160493827161,0.021356481352374338
HG,10,005: 11-25,4566,67087.0,14.692728865527814,0.005787849825198315
HG,10,006: 26-50,409,13804.0,33.75061124694376,0.0005184473452707208
HG,10,007: 51-100,48,3097.0,64.52083333333333,6.08446762175907e-05
HG,10,008: 101-250,11,1672.0,152.0,1.3943571633197869e-05
HG,11,001: 1,696973,696973.0,1.0,0.6533562438716185
HG,11,002: 2,234049,468098.0,2.0,0.21940215119080428
HG,11,003: 3-5,105079,376606.0,3.584027255683819,0.09850312816965047
HG,11,004: 6-10,23259,170188.0,7.3170815598263035,0.021803445579972214
HG,11,005: 11-25,6743,99194.0,14.710662909684117,0.006321021262554394
HG,11,006: 26-50,558,18701.0,33.51433691756272,0.0005230802112569111
HG,11,007: 51-100,84,5459.0,64.98809523809524,7.874325760856726e-05
HG,11,008: 101-250,13,1750.0,134.6153846153846,1.218645653465922e-05
HG,12,001: 1,1255985,1255985.0,1.0,0.6423509712605879
HG,12,002: 2,418904,837808.0,2.0,0.21424092745131934
HG,12,003: 3-5,212791,765326.0,3.596608879134926,0.10882813530855207
HG,12,004: 6-10,51523,378163.0,7.339692952661918,0.026350513017479725
HG,12,005: 11-25,14787,218104.0,14.749712585379049,0.0075625455813806
HG,12,006: 26-50,1129,36927.0,32.70770593445527,0.0005774067736105159
HG,12,007: 51-100,157,10397.0,66.22292993630573,8.029483034264924e-05
HG,12,008: 101-250,18,2573.0,142.94444444444446,9.205776727182715e-06
HG,13,001: 1,2054448,2054448.0,1.0,0.6439537031174479
HG,13,002: 2,670757,1341514.0,2.0,0.21024452993794443
HG,13,003: 3-5,350365,1259327.0,3.5943287714240864,0.10981968839938741
HG,13,004: 6-10,85961,632784.0,7.36129174858366,0.02694393057097524
HG,13,005: 11-25,26000,387037.0,14.886038461538462,0.008149535194394625
HG,13,006: 26-50,2496,81719.0,32.73998397435897,0.000782355378661884
HG,13,007: 51-100,288,19214.0,66.71527777777777,9.027177446098661e-05
HG,13,008: 101-250,50,6738.0,134.76,1.5672183066143508e-05
HG,13,010: >500,1,548.0,548.0,3.134436613228702e-07
HG,14,001: 1,1762023,1762023.0,1.0,0.6470422988282886
HG,14,002: 2,565525,1131050.0,2.0,0.2076695911715499
HG,14,003: 3-5,297705,1070362.0,3.595377974840866,0.10932191439764159
HG,14,004: 6-10,73585,541803.0,7.36295440646871,0.027021558492300958
HG,14,005: 11-25,21873,325950.0,14.901933891098615,0.008032106392635711
HG,14,006: 26-50,2212,72166.0,32.624773960217,0.0008122808641023269
HG,14,007: 51-100,233,15279.0,65.57510729613733,8.556123026032647e-05
HG,14,008: 101-250,38,5325.0,140.1315789473684,1.395419205962406e-05
HG,14,009: 251-500,2,518.0,259.0,7.344311610328453e-07
HG,15,001: 1,1455996,1455996.0,1.0,0.6496809147675198
HG,15,002: 2,459459,918918.0,2.0,0.20501549689571255
HG,15,003: 3-5,244735,879933.0,3.595452223833943,0.10920336228645475
HG,15,004: 6-10,60564,446149.0,7.366570900204742,0.027024301524166322
HG,15,005: 11-25,18320,273108.0,14.90764192139738,0.008174579022566656
HG,15,006: 26-50,1787,58449.0,32.70789031897034,0.0007973784232165183
HG,15,007: 51-100,202,13331.0,65.9950495049505,9.01345503579948e-05
HG,15,008: 101-250,29,3705.0,127.75862068965517,1.294010871476163e-05
HG,15,009: 251-500,2,740.0,370.0,8.924212906732158e-07
HG,16,001: 1,1277817,1277817.0,1.0,0.6390938372127917
HG,16,002: 2,408625,817250.0,2.0,0.20437176781266567
HG,16,003: 3-5,231271,836520.0,3.617055316057785,0.1156690440227666
HG,16,004: 6-10,59973,444175.0,7.406249478932186,0.029995198607596203
HG,16,005: 11-25,19465,293184.0,15.062111482147444,0.009735323243740684
HG,16,006: 26-50,2019,66736.0,33.053987122337794,0.0010097928399235778
HG,16,007: 51-100,222,14812.0,66.72072072072072,0.00011103219933780797
HG,16,008: 101-250,24,3253.0,135.54166666666666,1.2003481009492753e-05
HG,16,009: 251-500,4,1207.0,301.75,2.0005801682487922e-06
HG,17,001: 1,817783,817783.0,1.0,0.6325858897461404
HG,17,002: 2,263187,526374.0,2.0,0.2035850373077179
HG,17,003: 3-5,153701,557597.0,3.627803332444161,0.11889350089188884
HG,17,004: 6-10,41688,310048.0,7.437344079831126,0.032247234989889864
HG,17,005: 11-25,14445,219680.0,15.208030460366908,0.011173750466056396
HG,17,006: 26-50,1733,57691.0,33.28967109059435,0.0013405406408913629
HG,17,007: 51-100,209,13623.0,65.18181818181819,0.00016166935599901607
HG,17,008: 101-250,15,2179.0,145.26666666666668,1.1603063827680578e-05
HG,17,009: 251-500,1,484.0,484.0,7.735375885120386e-07
HG,18,001: 1,424246,424246.0,1.0,0.6592266968740628
HG,18,002: 2,119728,239456.0,2.0,0.18604275341037463
HG,18,003: 3-5,73125,264876.0,3.6222358974358975,0.11362735820471105
HG,18,004: 6-10,19330,143539.0,7.425711329539576,0.030036469526113704
HG,18,005: 11-25,6178,93248.0,15.093557785691162,0.00959986077249511
HG,18,006: 26-50,779,26033.0,33.41848523748396,0.001210471275780785
HG,18,007: 51-100,141,9422.0,66.822695035461,0.0002190968547947249
HG,18,008: 101-250,20,2801.0,140.05,3.1077568055989347e-05
HG,18,009: 251-500,3,994.0,331.3333333333333,4.661635208398402e-06
HG,18,010: >500,1,521.0,521.0,1.5538784027994672e-06
HG,19,001: 1,292583,292583.0,1.0,0.6892284715482394
HG,19,002: 2,67196,134392.0,2.0,0.15829148096148954
HG,19,003: 3-5,48076,174477.0,3.629191280472585,0.11325110480838994
HG,19,004: 6-10,12279,90562.0,7.375356299372913,0.02892524993639696
HG,19,005: 11-25,3928,58220.0,14.821792260692463,0.009253064724339706
HG,19,006: 26-50,354,12034.0,33.994350282485875,0.0008339065459308187
HG,19,007: 51-100,81,5374.0,66.34567901234568,0.00019080912491637378
HG,19,008: 101-250,10,1401.0,140.1,2.355668208844121e-05
HG,19,009: 251-500,1,293.0,293.0,2.355668208844121e-06
HG,20,001: 1,205234,205234.0,1.0,0.6733884991698876
HG,20,002: 2,49725,99450.0,2.0,0.16315153980930383
