root,asset,asset_class,horizon_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,corr_high,corr_low,hit_rate_high,hit_rate_low,n_high,n_low,nw_tstat_high,nw_tstat_low,r2_high,r2_low,abs_corr_high_minus_low,abs_nw_tstat_high_minus_low,abs_beta_bps_per_full_ofi_high_minus_low,abs_hit_rate_high_minus_low
6E,Euro FX,FX,12,next_60m,-0.12268403750552052,-1.035276664915371,-0.005822630010207889,-0.03168151441412604,0.4937185929648241,0.46236559139784944,1592,1581,-0.2951483075956708,-1.1467868512326096,3.3903020235648285e-05,0.0010037183555726692,-0.02585888440391815,-0.8516385436369388,-0.9125926274098506,0.03135300156697468
6J,Japanese Yen,FX,0,same_bar,0.8701221636550617,0.6094381042313395,0.22945838114163897,0.11939199107904928,0.47903430749682335,0.4300385109114249,1574,1558,9.484301479881985,6.116904450048204,0.052651148676141735,0.01425444753381977,0.11006639006258968,3.367397029833781,0.2606840594237222,0.04899579658539843
6J,Japanese Yen,FX,1,next_5m,-0.06413856153477923,-0.1324686282088193,-0.01697087504622804,-0.025735088811159674,0.34033078880407125,0.34383033419023135,1572,1556,-0.9690246118901591,-1.2667926856224223,0.00028801059983485366,0.0006622947961182346,-0.008764213764931635,-0.2977680737322632,-0.06833006667404007,-0.0034995453861600967
6J,Japanese Yen,FX,3,next_15m,-0.2437660244240945,-0.05289470857969586,-0.0398333980785103,-0.006322917016028003,0.39171974522292996,0.3943298969072165,1570,1552,-2.1294898171102385,-0.2603229516102749,0.0015866996024809232,3.997927959165093e-05,0.0335104810624823,1.8691668654999636,0.19087131584439865,-0.0026101516842865213
6J,Japanese Yen,FX,6,next_30m,-0.26157072764288686,-0.16532402377669364,-0.031205148170496647,-0.014272152666484815,0.41954022988505746,0.42135922330097086,1566,1545,-1.7631413513453549,-0.46101808690439017,0.0009737612723427214,0.00020369434173550527,0.01693299550401183,1.3021232644409646,0.09624670386619322,-0.0018189934159134058
6J,Japanese Yen,FX,12,next_60m,-0.5032691956127026,0.06294161100358886,-0.04388063461469807,0.003946431705148687,0.4482980089916506,0.4592833876221498,1557,1535,-1.8849328597908461,0.11180222130781266,0.0019255100941886205,1.5574323203426665e-05,0.03993420290954938,1.7731306384830334,0.4403275846091137,-0.010985378630499198
6L,Brazilian Real,FX,0,same_bar,1.7130274301275645,1.830097895860953,0.20397187078966406,0.15535808605813115,0.48709122203098104,0.44475721323011963,1162,1421,8.413121673493626,6.669764912282056,0.04160452407343518,0.024136134903645634,0.04861378473153291,1.7433567612115697,-0.11707046573338853,0.04233400880086141
6L,Brazilian Real,FX,1,next_5m,0.09494547476577445,0.3384142682522939,0.011716724514919135,0.02859220837449095,0.3695652173913043,0.37616654702081836,1150,1393,0.4296119206388538,1.2963196139750648,0.00013728163335846588,0.000817514379730544,-0.016875483859571813,-0.866707693336211,-0.24346879348651948,-0.006601329629514041
6L,Brazilian Real,FX,3,next_15m,0.06947590213661993,-0.30488861086489955,0.005043874027094808,-0.015117710867817085,0.44395017793594305,0.4256106587712805,1124,1351,0.18177545250872762,-0.6233684160222012,2.544066520127064e-05,0.00022854518188286654,-0.010073836840722277,-0.44159296351347355,-0.23541270872827963,0.018339519164662532
6L,Brazilian Real,FX,6,next_30m,-0.05362253834601967,-0.5513331583137338,-0.0029078185778987015,-0.018994483820034356,0.4616087751371115,0.4409509202453988,1094,1304,-0.09857020351974209,-0.7850778893087219,8.455408881946624e-06,0.0003607904155895625,-0.016086665242135655,-0.6865076857889798,-0.4977106199677141,0.020657854891712735
