root,asset,asset_class,bucket,horizon_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,6,next_30m,1546,-0.6846340795866286,-0.9484220944066558,0.0009448468517015973,-0.030738361239687654,0.4372574385510996
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,6,next_30m,1572,-0.836999104081793,-2.1818674699438843,0.0018221441159200769,-0.04268658004478702,0.41348600508905853
TN,Ultra 10-Year U.S. Treasury Note,Rates,low,12,next_60m,1529,-1.4294301019801445,-1.2742234112010626,0.0021413971890850148,-0.04627523299871171,0.45192936559843033
TN,Ultra 10-Year U.S. Treasury Note,Rates,high,12,next_60m,1555,-0.3438582602432706,-0.6769971564105144,0.0001585669207251339,-0.012592335793050156,0.4418006430868167
ZB,U.S. Treasury Bond,Rates,low,0,same_bar,1558,1.765750165156911,6.373199197191059,0.01184352895141838,0.10882797871603826,0.39345314505776635
ZB,U.S. Treasury Bond,Rates,high,0,same_bar,1574,4.144128211863639,11.993872545136645,0.11184534086871822,0.33443286451651,0.5139771283354511
ZB,U.S. Treasury Bond,Rates,low,1,next_5m,1556,-0.3580868866858364,-1.0115294037206723,0.00048708346072301456,-0.022069967392883964,0.352827763496144
ZB,U.S. Treasury Bond,Rates,high,1,next_5m,1572,-0.22147269779933432,-0.8594229134553569,0.0003209727748398894,-0.017915713070933446,0.32633587786259544
ZB,U.S. Treasury Bond,Rates,low,3,next_15m,1552,-0.8489693604364802,-1.2389846581745076,0.0010851647595124803,-0.03294183904265851,0.3904639175257732
ZB,U.S. Treasury Bond,Rates,high,3,next_15m,1568,-0.9324761735392386,-2.3126043972166404,0.0022318561113783275,-0.047242524396759605,0.36543367346938777
ZB,U.S. Treasury Bond,Rates,low,6,next_30m,1546,-0.6930266047569255,-0.6894350433828327,0.0003969168616689833,-0.019922772439319798,0.4320827943078913
ZB,U.S. Treasury Bond,Rates,high,6,next_30m,1563,-0.7356150996051102,-1.3371054337560333,0.000759606439456828,-0.02756095860918026,0.39475367882277673
ZB,U.S. Treasury Bond,Rates,low,12,next_60m,1536,-3.1086789305249147,-2.2208692348352184,0.004180011168375075,-0.06465300587269666,0.4420572916666667
ZB,U.S. Treasury Bond,Rates,high,12,next_60m,1554,-1.1971422201224293,-1.4384459369578058,0.001056947748067083,-0.03251073281344619,0.4272844272844273
UB,Ultra U.S. Treasury Bond,Rates,low,0,same_bar,1563,2.1867617375890167,7.043906497321661,0.017537483226051864,0.13242916304972965,0.4216250799744082
UB,Ultra U.S. Treasury Bond,Rates,high,0,same_bar,1581,4.900622968745341,11.944430025278846,0.12234169299737452,0.3497737740274057,0.5218216318785579
UB,Ultra U.S. Treasury Bond,Rates,low,1,next_5m,1561,0.12732426885449652,0.36429806864603476,6.078908089202084e-05,0.007796735271386307,0.3555413196668802
UB,Ultra U.S. Treasury Bond,Rates,high,1,next_5m,1579,-0.09803740140046659,-0.3305961237658348,4.91153629427199e-05,-0.007008235365822572,0.3400886637112096
UB,Ultra U.S. Treasury Bond,Rates,low,3,next_15m,1557,0.02709947060741001,0.044235830803817815,1.0711200165713919e-06,0.0010349492821077819,0.39948619139370584
UB,Ultra U.S. Treasury Bond,Rates,high,3,next_15m,1575,-0.2966016535465017,-0.6229947262601102,0.0001730666331684061,-0.013155479207098484,0.3898412698412698
UB,Ultra U.S. Treasury Bond,Rates,low,6,next_30m,1552,0.5055160773850885,0.5276066329171218,0.00020005517629573255,0.014144086265854545,0.42783505154639173
UB,Ultra U.S. Treasury Bond,Rates,high,6,next_30m,1570,-0.3152627705356173,-0.4506418832039243,0.00010491371369081293,-0.010242739559845752,0.40382165605095544
UB,Ultra U.S. Treasury Bond,Rates,low,12,next_60m,1542,0.03309838425148506,0.020623141840800475,4.375800793932072e-07,0.0006614983593599623,0.4487678339818418
