root,target_months,horizon,horizon_bars,n,mean_forward_return_bp,median_forward_return_bp,mean_initial_funding_paid_bp,mean_path_funding_paid_bp,mean_excess_after_initial_funding_bp,mean_excess_after_path_funding_bp,median_excess_after_path_funding_bp,path_excess_hac_t,initial_excess_hac_t,positive_path_excess_fraction,contango_fraction,avg_abs_funding_share_of_abs_return
HG,1,4h,4,56905,0.6197177253490351,0.8345503864659598,0.16216124078543034,0.1615676106768698,0.45755648456360487,0.4581501146721653,0.2912251737164696,1.038445668438956,1.037250583892729,0.5013970652842457,0.8285739390211756,0.01592698252919506
HG,1,1d,24,51798,3.455258938024543,3.671970679247627,0.957232117438817,0.9558217345724598,2.4980268205857263,2.499437203452083,2.685951845925654,0.9037742359235064,0.9035651269994566,0.508011892351056,0.825533804393992,0.04458960459148579
HG,1,3d,72,42916,11.251083936818615,18.02802965334971,2.895119255341892,2.8800521672870216,8.355964681476722,8.371031769531594,15.170448758444953,0.9001343352802982,0.8992452187120243,0.5252586447944823,0.8191350545251188,0.07271062035421942
HG,1,1w,168,32090,14.014319028423568,24.59641851398464,6.780054824494533,6.796378055878,7.234264203929032,7.217940972545563,17.62869986208224,0.2825770405520904,0.28385952714710566,0.5205983172327828,0.8100654409473356,0.15751772606065872
HG,1,1m,720,8554,10.604382683865298,20.3391970167921,28.648664571356985,23.840637794613613,-18.04428188749172,-13.23625511074832,1.1163599762680811,-0.08296060144567176,-0.11439492272623443,0.5005845218611176,0.7638531681084872,0.39738596840212514
HG,3,1h,1,57690,0.1521464512063259,0.0,0.03773591648920156,0.03773591648920156,0.11441053471712433,0.11441053471712433,-0.02190470312605295,0.8579802858112545,0.8579802858112545,0.48755416883342,0.8630611891142312,0.005820946917815912
HG,3,4h,4,56865,0.5788521709129315,0.0,0.1506570751448271,0.1510298526457007,0.4281950957681044,0.42782231826723094,0.08035112333376371,0.9783704257089472,0.9792479818590546,0.50125736393212,0.8621823617339313,0.013585821113893769
HG,3,1d,24,51703,2.545380090157745,2.7269008940500328,0.8738855322363868,0.8738425775231923,1.671494557921359,1.6715375126345526,1.7360995901329304,0.6195319032829023,0.6196485693277909,0.5058313830918902,0.8562946057288745,0.036791262935607416
HG,3,3d,72,43340,4.598620925827173,11.418695117625388,2.545544487696259,2.5366440458954043,2.0530764381309123,2.061976879931769,9.041105113239079,0.23955220683781198,0.23866224263538613,0.5163359483156438,0.8476695892939548,0.0620989496700843
HG,3,1w,168,33944,8.71023200906791,11.442303477068872,5.804555010596052,5.8694403528020525,2.9056769984718587,2.840791656265861,5.76797474645382,0.12540499581646045,0.12839080151574486,0.5082194202215413,0.8404430827244874,0.1095729342281246
HG,3,1m,720,20178,45.57060933699203,85.93537200145052,25.411277911195697,25.521691989202093,20.15933142579633,20.048917347789953,66.35018796497044,0.22094036456735772,0.22270437711115051,0.5529289325007434,0.8473585092675191,0.42138221564823775
HG,6,1h,1,56356,0.17926598889877243,0.0,0.03402601646801507,0.03402601646801507,0.1452399724307574,0.1452399724307574,-0.018783516652753823,1.0702037202867305,1.0702037202867305,0.48809354815813755,0.8499893533962666,0.005253933041527478
HG,6,4h,4,55249,0.7587816254319576,0.8941744540313934,0.13699483110104682,0.13717381061992823,0.621786794330911,0.6216078148120295,0.5611647067737009,1.3876979810443917,1.3881269849984947,0.501764737823309,0.8505674310847255,0.012321842349956045
HG,6,1d,24,48458,4.558419072715347,4.9884647649500735,0.839271864488865,0.8394288140946508,3.7191472082264814,3.718990258620696,4.037537693029548,1.2973517242576216,1.297664084796849,0.5123612200255891,0.8542242766932189,0.034240797673322415
HG,6,3d,72,39539,16.099904692722184,23.293744518178006,2.612225678427953,2.6280096686572296,13.487679014294232,13.471895024064953,21.094580272901364,1.3934281496923677,1.3957484151150674,0.5378487063405751,0.8580388983029414,0.06078074421237902
HG,6,1w,168,29898,30.752259690861283,37.14811710259558,6.277990488808179,6.362645478254395,24.474269202053108,24.38961421260689,31.905084205719955,0.9447315934165862,0.9488753140740308,0.5341159943808951,0.8570138470800722,0.10052795949273971
