variant,base_variant,kind,rule_count,rules,cost_multiplier,dispersion_q,tail_q,train_score,train_gross_return,train_cost_return,train_net_return,train_cagr,train_gross_to_cost,train_tstat,train_sharpe,train_max_drawdown,train_event_count,train_event_win_rate,train_mean_event_net,train_mean_events_per_day,train_active_day_fraction,train_turnover,embargo_gross_return,embargo_cost_return,embargo_net_return,embargo_cagr,embargo_gross_to_cost,embargo_tstat,embargo_sharpe,embargo_max_drawdown,embargo_event_count,embargo_event_win_rate,embargo_mean_event_net,embargo_mean_events_per_day,embargo_active_day_fraction,embargo_turnover,test_gross_return,test_cost_return,test_net_return,test_cagr,test_gross_to_cost,test_tstat,test_sharpe,test_max_drawdown,test_event_count,test_event_win_rate,test_mean_event_net,test_mean_events_per_day,test_active_day_fraction,test_turnover,full_gross_return,full_cost_return,full_net_return,full_cagr,full_gross_to_cost,full_tstat,full_sharpe,full_max_drawdown,full_event_count,full_event_win_rate,full_mean_event_net,full_mean_events_per_day,full_active_day_fraction,full_turnover
hg_core_tailq0p2_costx3p0,hg_core_tailq0p2,individual,4,"hg_0430_s60_h60,hg_2100_s15_h120,hg_2100_s15_h60,hg_2100_s30_h120",3.0,0.0,0.2,-inf,0.26235824854721224,0.3841844085158749,-0.12182615996866261,-0.017264881499691298,0.6828966577813929,-1.9859194274002394,-0.7508199087576621,-0.18721961999177733,800,0.47375,-0.0001522826999608283,0.3129890453834116,0.27582159624413144,1600.0,-0.001924681417912133,0.0004802305106448435,-0.0024049119285569766,-0.19715894248682575,-4.007828272567919,-0.9999999999999999,-8.548099684545498,0.0,1,0.0,-0.0024049119285569766,0.2,0.2,2.0,0.09893707548056208,0.19737473987503068,-0.09843766439446863,-0.03244755473058192,0.5012651342476998,-2.0253095446793736,-1.1720161991678877,-0.1179944276253104,411,0.44525547445255476,-0.00023950769925661474,0.3767186067827681,0.3382218148487626,822.0,0.3593706426098622,0.5820393789015503,-0.22266873629168818,-0.022029743408365388,0.6174335545613457,-2.8438878204825575,-0.8995010137077609,-0.27435131035340043,1212,0.4636963696369637,-0.00018372007944858767,0.33187294633077763,0.2943592552026287,2424.0
pl_0300_s5_h5_tailq0p1_costx3p0,pl_0300_s5_h5_tailq0p1,individual,1,pl_0300_s5_h5,3.0,0.0,0.1,-inf,0.015873236128394197,0.13841185215563645,-0.12253861602724227,-0.01736496713818292,0.11468119153947613,-6.478855158948576,-2.449471701711443,-0.12253861602724236,90,0.12222222222222222,-0.00136154017808047,0.035211267605633804,0.035211267605633804,180.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.061719684110460804,0.17685958886553546,-0.11513990475507466,-0.03784761008512472,0.34897561679500255,-3.867206669044876,-2.237894386839623,-0.1151399047550749,115,0.20869565217391303,-0.0010012165630876061,0.10540788267644363,0.10540788267644363,230.0,0.077592920238855,0.3152714410211719,-0.2376785207823169,-0.023497156767630645,0.24611464960964952,-6.733002687248616,-2.129599732752312,-0.23767852078231752,205,0.17073170731707318,-0.0011594074184503268,0.05613362541073384,0.05613362541073384,410.0
gc_0500_s5_h5_tailq0p2_costx2p0,gc_0500_s5_h5_tailq0p2,individual,1,gc_0500_s5_h5,2.0,0.0,0.2,-inf,0.01569739910256729,0.14012051245332072,-0.12442311335075343,-0.01762965168767716,0.1120278453720091,-11.223348357566163,-4.243230250692832,-0.12442311335075208,636,0.2562893081761006,-0.00019563382602319718,0.24882629107981222,0.24882629107981222,1272.0,-0.00010215720180539734,0.00066094581345906,-0.0007631030152644572,-0.0673085535957999,-0.15456214371153607,-1.5604422767251644,-13.338816133425839,-0.0002334456092455508,3,0.0,-0.00025436767175481906,0.6,0.6,6.0,0.010278781742986354,0.0826182266823825,-0.07233944493939613,-0.023948912999827487,0.1244130037128744,-6.301707547014425,-3.6467034616620393,-0.07452463837644238,375,0.31466666666666665,-0.00019290518650505632,0.3437213565536205,0.3437213565536205,750.0,0.025874023643748245,0.22339968494916226,-0.197525661305414,-0.019566718847244258,0.11581942763095768,-12.36819702966242,-3.9119706782354426,-0.19961806663475437,1014,0.27712031558185407,-0.00019479848254971797,0.27765607886089816,0.27765607886089816,2028.0
pa_0900_s5_h5_tailq0p1_costx3p0,pa_0900_s5_h5_tailq0p1,individual,1,pa_0900_s5_h5,3.0,0.0,0.1,-inf,-0.018480706324690566,0.10740257318664928,-0.12588327951133985,-0.01783468834773172,-0.1720694930890894,-4.221958660944394,-1.5962030346511273,-0.12588327951133985,32,0.09375,-0.00393385248472937,0.012519561815336464,0.012519561815336464,64.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.012440685707527877,0.11075890359873208,-0.09831821789120418,-0.03240882714935467,0.11232221792840401,-3.909913046956376,-2.262607925988024,-0.09831821789120418,33,0.21212121212121213,-0.0029793399360970967,0.03024747937671861,0.03024747937671861,66.0,-0.006040020617162689,0.21816147678538136,-0.22420149740254405,-0.02217969297484701,-0.027686009034054267,-5.746652584599041,-1.8176243760543458,-0.22420149740254447,65,0.15384615384615385,-0.0034492538061929854,0.017798466593647318,0.017798466593647318,130.0
xs_2000_s60_h30_dispq0p7_costx2p0,xs_2000_s60_h30_dispq0p7,xs,1,xs_2000_s60_h30,2.0,0.7,0.2,-inf,0.04924334114894369,0.18802493749580057,-0.13878159634685688,-0.0196440135010314,0.26189792590700106,-6.413467975816334,-2.4247506590568877,-0.13878159634685702,345,0.2492753623188406,-0.0004022654966575562,0.13497652582159625,0.13497652582159625,690.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.07405185762882105,0.16196226755715817,-0.08791040992833712,-0.029028393382762863,0.45721672551100445,-3.462781970471783,-2.0038598910676235,-0.09022793936935257,250,0.28,-0.0003516416397133485,0.229147571035747,0.229147571035747,500.0,0.12329519877776474,0.3499872050529587,-0.226692006275194,-0.022423289694368687,0.35228487498309596,-6.7954775223949255,-2.149360068283337,-0.22900953571621055,595,0.26218487394957984,-0.0003809949685297378,0.16292442497261775,0.16292442497261775,1190.0
xs_1800_s5_h5_dispq0p7_costx1p0,xs_1800_s5_h5_dispq0p7,xs,1,xs_1800_s5_h5,1.0,0.7,0.2,-inf,0.05121240615486933,0.1915198581412314,-0.14030745198636208,-0.019857833935318814,0.2673999795734187,-6.989147775924755,-2.6423988924280004,-0.14623872878422087,448,0.30580357142857145,-0.0003131862767552725,0.1752738654147105,0.1752738654147105,896.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.023747616368674174,0.12055984930953836,-0.09681223294086419,-0.031920415692574644,0.19697782059848118,-4.74423230663302,-2.7454159442426294,-0.09681223294086438,247,0.3603238866396761,-0.0003919523600844704,0.22639780018331807,0.22639780018331807,494.0,0.0749600225235435,0.3120797074507698,-0.23711968492722627,-0.02344256234133013,0.24019511917598282,-8.28054512353894,-2.6190761390202364,-0.24256245656074077,695,0.3251798561151079,-0.0003411794027729874,0.19030668127053668,0.19030668127053668,1390.0
pa_core_tailq0p2_costx1p0,pa_core_tailq0p2,individual,4,"pa_0900_s5_h5,pa_2000_s5_h5,pa_2000_s5_h15,pa_2100_s5_h5",1.0,0.0,0.2,-inf,-0.034083451381390795,0.1062837963826217,-0.14036724776401244,-0.019866212257472537,-0.3206834206287698,-4.68242124654866,-1.7702909013287293,-0.14149154124369312,95,0.2,-0.0014775499764632899,0.03716744913928013,0.03599374021909233,190.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.01158606482360458,0.14096587730747717,-0.12937981248387256,-0.042427752905904836,0.08219056302776635,-3.5847085459562,-2.0744169681091114,-0.13431212095354794,126,0.2777777777777778,-0.0010268239086021634,0.1154903758020165,0.10265811182401467,252.0,-0.022497386557786214,0.24724967369009887,-0.26974706024788503,-0.02662492543863315,-0.09099056116848224,-5.746486401396145,-1.8175718135171073,-0.26974706024788636,221,0.24434389140271492,-0.0012205749332483485,0.06051478641840088,0.05585980284775466,442.0
xs_2000_s5_h5_dispq0p8_costx2p0,xs_2000_s5_h5_dispq0p8,xs,1,xs_2000_s5_h5,2.0,0.8,0.2,-inf,0.002317546632040479,0.1428146050075014,-0.14049705837546095,-0.019884400504616484,0.016227658452150247,-9.452320439928998,-3.573654737617589,-0.14049705837546123,237,0.1729957805907173,-0.000592814592301523,0.09272300469483569,0.09272300469483569,474.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.004607160518582676,0.1081556739285661,-0.10354851340998343,-0.03410317013565656,0.04259749258855879,-8.17065180898255,-4.728233421426921,-0.10359219122950866,150,0.15333333333333332,-0.0006903234227332227,0.13748854262144822,0.13748854262144822,300.0,0.006924707150623155,0.2509702789360675,-0.24404557178544437,-0.02411895849525858,0.02759174185875278,-12.475756822792974,-3.9459910577519293,-0.24408924960497042,387,0.165374677002584,-0.0006306087126238874,0.10596933187294633,0.10596933187294633,774.0
xs_2000_s15_h5_dispq0p8_costx2p0,xs_2000_s15_h5_dispq0p8,xs,1,xs_2000_s15_h5,2.0,0.8,0.2,-inf,-0.008370609840595233,0.1340426891804153,-0.14241329902101052,-0.02015285283989854,-0.06244734339318408,-10.19732120292002,-3.8553184331208685,-0.14306241654332189,233,0.12017167381974249,-0.0006112158756266545,0.09115805946791862,0.09115805946791862,466.0,-0.0007827352599323323,0.0005339785007441038,-0.001316713760676436,-0.11328568205184886,-1.4658553833938703,-0.9999999999999999,-8.548099684545498,0.0,1,0.0,-0.001316713760676436,0.2,0.2,2.0,-0.005264629923737663,0.12259449059223387,-0.12785912051597154,-0.04193967720565395,-0.04294344630256302,-9.85668676796203,-5.703916516131413,-0.1278591205159716,177,0.1016949152542373,-0.0007223679125196134,0.1622364802933089,0.1622364802933089,354.0,-0.014417975024265228,0.2571711582733933,-0.27158913329765855,-0.026804285376749504,-0.05606373250042984,-14.164567063438668,-4.480149442087598,-0.2722382508199704,411,0.11192214111922141,-0.0006608008109432079,0.11254107338444688,0.11254107338444688,822.0
xs_2230_s30_h5_dispq0p5_costx3p0,xs_2230_s30_h5_dispq0p5,xs,1,xs_2230_s30_h5,3.0,0.5,0.2,-inf,0.007135318177535266,0.14977528611140178,-0.14263996793386652,-0.02018460275570766,0.047640157216779194,-9.91393167157489,-3.7481768748422577,-0.14263996793386652,204,0.10294117647058823,-0.0006992155290875809,0.07981220657276995,0.07981220657276995,408.0,1.0300574384558558e-05,0.0007260889491584989,-0.0007157883747739404,-0.06327021921504417,0.014186380878673905,-1.0,-8.5480996845455,-0.0007157883747739404,1,0.0,-0.0007157883747739404,0.2,0.2,2.0,0.015720273654828976,0.15720734795033572,-0.14148707429550675,-0.04630479515078023,0.09999706667525017,-10.132122326139491,-5.8633069346770075,-0.14148707429550658,170,0.08235294117647059,-0.0008322769076206281,0.15582034830430797,0.15582034830430797,340.0,0.0228658924067488,0.307708723010896,-0.2848428306041472,-0.028093804361936536,0.07431018588946246,-14.128423544651186,-4.4687175102251135,-0.28484283060414683,375,0.09333333333333334,-0.0007595808816110592,0.10268346111719606,0.10268346111719606,750.0
pa_core_tailq0p1_costx2p0,pa_core_tailq0p1,individual,4,"pa_0900_s5_h5,pa_2000_s5_h5,pa_2000_s5_h15,pa_2100_s5_h5",2.0,0.0,0.1,-inf,-0.03182526387228357,0.11187768040275967,-0.1437029442750432,-0.02033348200892071,-0.2844648169117613,-4.678333124012513,-1.7687452979436018,-0.1437029442750432,50,0.1,-0.002874058885500864,0.019561815336463225,0.019561815336463225,100.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.011965318741837372,0.14544098452358756,-0.13347566578175016,-0.04374110651752661,0.08226923642624849,-4.194790114702615,-2.4274620042434525,-0.13347566578175016,65,0.2153846153846154,-0.0020534717812576947,0.05957836846929423,0.05682859761686526,130.0,-0.0198599451304462,0.25731866492634725,-0.27717861005679334,-0.027348322225168253,-0.07718035198158184,-6.263063755526796,-1.9809614698714668,-0.2771786100567937,115,0.16521739130434782,-0.002410248783102552,0.03148959474260679,0.03066812705366922,230.0
si_2300_s5_h5_tailq0p2_costx2p0,si_2300_s5_h5_tailq0p2,individual,1,si_2300_s5_h5,2.0,0.0,0.2,-inf,0.03302434075507543,0.1779771919985449,-0.1449528512434695,-0.020508513614054036,0.18555378014585955,-7.6222734744408855,-2.8817657935385403,-0.14593665008002218,238,0.16806722689075632,-0.0006090455934599559,0.09311424100156494,0.09311424100156494,476.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.008200485497057208,0.09796223593197219,-0.08976175043491498,-0.029630567182974077,0.0837106811521928,-4.685169382393453,-2.7112371175240915,-0.09072500154620834,131,0.1984732824427481,-0.0006852042017932442,0.12007332722273144,0.12007332722273144,262.0,0.04122482625213264,0.27593942793051707,-0.23471460167838445,-0.023207567382687144,0.14939810001531661,-8.69346449616715,-2.7496795304703343,-0.23666165162623048,369,0.17886178861788618,-0.0006360829313777357,0.10104052573932092,0.10104052573932092,738.0
xs_1800_s30_h60_dispq0p8_costx2p0,xs_1800_s30_h60_dispq0p8,xs,1,xs_1800_s30_h60,2.0,0.8,0.2,-inf,0.07879287541272112,0.2240894164767741,-0.145296541064053,-0.020556636978901532,0.35161355074922807,-4.2195002897720775,-1.5952735941140015,-0.15102712243881167,292,0.3835616438356164,-0.000497590894054976,0.11424100156494522,0.11424100156494522,584.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.07236430855545017,0.1482563343127708,-0.07589202575732062,-0.02511015241238934,0.4881026425676081,-1.6627198151875433,-0.9621909713488963,-0.09365090716003135,174,0.3793103448275862,-0.0004361610675708082,0.15948670944087992,0.15948670944087992,348.0,0.1511571839681713,0.3723457507895449,-0.2211885668213736,-0.021884917041635976,0.405959202294234,-3.869374760541836,-1.2238550671566313,-0.24426994502231042,466,0.38197424892703863,-0.00047465357686990044,0.1276013143483023,0.1276013143483023,932.0
xs_2000_s60_h30_dispq0p8_costx3p0,xs_2000_s60_h30_dispq0p8,xs,1,xs_2000_s60_h30,3.0,0.8,0.2,-inf,0.038602991801219344,0.18409092832807766,-0.14548793652685832,-0.0205834350999623,0.20969524219261373,-7.304445021554985,-2.7616038540842425,-0.1454879365268582,230,0.20869565217391303,-0.0006325562457689493,0.08998435054773082,0.08998435054773082,460.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.07645205698807833,0.17117363004906788,-0.09472157306098956,-0.031241977470412685,0.4466345485935124,-3.819220005724576,-2.2101252258720288,-0.09687276131072989,172,0.25,-0.0005507068201220322,0.15765352887259396,0.15765352887259396,344.0,0.11505504878929768,0.35526455837714555,-0.24020950958784787,-0.02374437878553093,0.32385737917362506,-7.550611316041015,-2.388203389731364,-0.2423606978375879,402,0.2263681592039801,-0.0005975360935021092,0.11007667031763417,0.11007667031763417,804.0
si_2100_s15_h15_tailq0p2_costx3p0,si_2100_s15_h15_tailq0p2,individual,1,si_2100_s15_h15,3.0,0.0,0.2,-inf,0.03697545690043702,0.18620302860351967,-0.14922757170308265,-0.021106890783626153,0.19857602305260302,-8.330117809850456,-3.1493816957720857,-0.14947855052346748,166,0.14457831325301204,-0.0008989612753197749,0.0649452269170579,0.0649452269170579,332.0,0.0,0.0,0.0,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.07016369801818412,0.10656197420080944,-0.036398276182625325,-0.012122682793795692,0.6584309135073358,-1.0319398760006413,-0.5971680992751757,-0.07574490280585892,95,0.28421052631578947,-0.0003831397492907927,0.08707607699358387,0.08707607699358387,190.0,0.10713915491862114,0.29276500280432916,-0.18562584788570796,-0.018398847181996913,0.3659561555935977,-4.6927515194165865,-1.4842831416879176,-0.22522345332932736,261,0.19540229885057472,-0.0007112101451559692,0.07146768893756845,0.07146768893756845,522.0
