feature,root,month,spearman_ic,pvalue,observations
rv_z_GC,SI,2024-01,-0.09669489765983391,9.326439426743673e-11,4469
rv_z_GC,SI,2024-02,-0.016804902362167282,0.2896072187720962,3973
rv_z_GC,SI,2024-03,-0.0034600680030163365,0.797473722147343,5503
rv_z_GC,SI,2024-04,0.08972043948604272,1.5088369443930838e-15,7874
rv_z_GC,SI,2024-05,-0.02520396797139903,0.04091290182911149,6580
rv_z_GC,SI,2024-06,0.11899611604613013,4.723400068309205e-16,4624
rv_z_GC,SI,2024-07,0.09207445910075439,7.0654093214062644e-12,5524
rv_z_GC,SI,2024-08,0.015764818326669407,0.24156600979160817,5520
rv_z_GC,SI,2024-09,-0.0009387217153184723,0.9453689252155605,5331
rv_z_GC,SI,2024-10,-0.06994382113756528,1.0210334400559035e-07,5780
rv_z_GC,SI,2024-11,0.04051982238622758,0.0026412201937820244,5504
rv_z_GC,SI,2024-12,0.022415225888547243,0.14715560845594164,4184
rv_z_GC,SI,2025-01,0.0018986109739745378,0.8961262566195003,4731
rv_z_GC,SI,2025-02,0.10584800686900628,1.1183992203705455e-14,5299
rv_z_GC,SI,2025-03,0.034606307415920204,0.010309946329398911,5494
rv_z_GC,SI,2025-04,0.06828182325593452,4.51845721367477e-10,8321
rv_z_GC,SI,2025-05,0.07498447446168473,1.4531517880226683e-10,7290
rv_z_GC,SI,2025-06,0.016256836997337005,0.1836419142884741,6691
rv_z_GC,SI,2025-07,0.03689103325366416,0.002564602982085798,6680
rv_z_GC,SI,2025-08,0.16752313502935745,7.688049820503724e-39,5972
rv_z_GC,SI,2025-09,-0.026063160727109423,0.013546474868458414,8974
rv_z_GC,SI,2025-10,-0.006922409849917547,0.3875142982380847,15585
rv_z_GC,SI,2025-11,0.009867142849824177,0.35797513688353827,8681
rv_z_GC,SI,2025-12,-0.04621788901161887,3.2707371501617606e-07,12200
rv_z_GC,SI,2026-01,0.03292487748977383,7.45914025692133e-06,18508
rv_z_GC,SI,2026-02,0.022494812858909776,0.03298717671149482,8985
