feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
rv_z_PL,SI,5,0.033751268122529175,1.747000490574371e-61,240158,2.190269271764883e-60
rv_z_PL,SI,10,0.03529180607665327,4.688210314478888e-67,240153,6.351768813164945e-66
rv_z_PL,SI,20,0.03499244131696836,5.969496878853633e-66,240143,7.959329171804843e-65
rv_z_PL,SI,50,0.03359857399447707,6.197735122254129e-61,240113,7.656025739255101e-60
rv_z_PL,HG,1,0.02152689625577557,5.041544686810397e-26,240162,4.321324017266055e-25
rv_z_PL,HG,2,0.022921063951158203,2.771004153389039e-29,240161,2.5300472704856443e-28
rv_z_PL,HG,5,0.025411250943364258,1.314124075653884e-35,240158,1.2265158039436252e-34
rv_z_PL,HG,10,0.028116881662375172,3.296070174698604e-43,240153,3.4181468478355896e-42
rv_z_PL,HG,20,0.02710748325658633,2.782547085446117e-40,240143,2.749811237382045e-39
rv_z_PL,HG,50,0.027135918198305672,2.3352222045061386e-40,240113,2.3352222045061385e-39
rv_z_PL,PL,1,-0.09329027287543863,0.0,240162,0.0
rv_z_PL,PL,2,-0.0934823632144964,0.0,240161,0.0
rv_z_PL,PL,5,-0.09298052907402309,0.0,240158,0.0
rv_z_PL,PL,10,-0.08903897929950096,0.0,240153,0.0
rv_z_PL,PL,20,-0.08420715762709184,0.0,240143,0.0
rv_z_PL,PL,50,-0.07563398936616811,1.631680627278156e-301,240113,6.526722509112624e-300
rv_z_PL,PA,1,0.035307421975148405,4.081378184614245e-67,240162,5.620258483731091e-66
rv_z_PL,PA,2,0.03437116254758029,1.0688569142280259e-63,240161,1.3812920122331413e-62
rv_z_PL,PA,5,0.03337675357613886,3.6277358857172776e-60,240158,4.353283062860734e-59
rv_z_PL,PA,10,0.03196820947560115,2.422945886841575e-55,240153,2.7880473218450997e-54
rv_z_PL,PA,20,0.02547542851901298,8.897422352773006e-36,240143,8.397567164414971e-35
rv_z_PL,PA,50,0.01702212202079676,7.3275601341862e-17,240113,5.49567010063965e-16
rv_z_PA,GC,1,0.0027817950841906073,0.17280338351248364,240162,0.33925200604387024
rv_z_PA,GC,2,0.002941286132174411,0.14946920068297923,240161,0.30773070728848667
rv_z_PA,GC,5,0.0015932239446639876,0.43493751586689977,240158,0.6364939256588777
rv_z_PA,GC,10,0.000841072364024757,0.6802156525116968,240153,0.8245038212262992
rv_z_PA,GC,20,-0.00018615361896101232,0.9273154261365963,240143,0.9664329503160558
rv_z_PA,GC,50,0.00028706262137621473,0.8881355733283398,240113,0.9419619717118757
rv_z_PA,SI,1,0.007760733403726651,0.00014278831087565118,240162,0.000590848182933729
rv_z_PA,SI,2,0.007993435329878661,8.953773669589047e-05,240161,0.00037605849412274
rv_z_PA,SI,5,0.005924236713425199,0.0036932708857588766,240158,0.012560111514321686
rv_z_PA,SI,10,0.005271763907938528,0.009781653642845884,240153,0.0299875513138341
rv_z_PA,SI,20,0.0029935050423549265,0.1423911637793742,240143,0.29606083558087704
rv_z_PA,SI,50,0.003448227322458784,0.09109046341047594,240113,0.20458820659037374
rv_z_PA,HG,1,0.009737486909327756,1.8233949860333504e-06,240162,9.009716401576555e-06
rv_z_PA,HG,2,0.008073322688264536,7.60640079030076e-05,240161,0.00032107420421370044
rv_z_PA,HG,5,0.008150721594309358,6.48633536409444e-05,240158,0.000276574705880169
rv_z_PA,HG,10,0.006512973429239801,0.0014142521330625798,240153,0.005279874630100298
rv_z_PA,HG,20,0.006687296300506622,0.001048836092924237,240143,0.0040046469002561775
rv_z_PA,HG,50,0.008200745235321872,5.856469118232648e-05,240113,0.00025099153363854204
rv_z_PA,PL,1,0.0442517943948456,2.2045611780001625e-104,240162,4.2087077034548553e-103
rv_z_PA,PL,2,0.045013942561106156,6.0440994504748104e-108,240161,1.238303302048498e-106
rv_z_PA,PL,5,0.04385743123910345,1.4603387063277423e-102,240158,2.6667054637289208e-101
rv_z_PA,PL,10,0.04129841710514366,3.776218209108642e-91,240153,6.100044799329345e-90
