root,method,trend_threshold,volume_threshold,label,observations,total_gross_return,total_cost_return,total_net_return,mean_net_bps,event_tstat,annualized_sharpe,hit_rate,max_drawdown
ES,baseline_trend,0.0013643620067998795,10134.0,ES_baseline_trend,702,-0.004521564790509913,0.024149999999999998,-0.028671564790509904,-0.40842684886766245,-1.0758449191661383,-5.692836210771978,0.2962962962962963,-0.049679489164488055
ES,flow_filtered_trend,0.0013643620067998795,10134.0,ES_flow_filtered_trend,702,-0.018388750541634025,0.0342,-0.05258875054163401,-0.7491275005930771,-2.8421620356630797,-15.039307864227197,0.10398860398860399,-0.0543173661922662
NQ,baseline_trend,0.002239244851071476,4078.0,NQ_baseline_trend,702,-0.013029505561165777,0.02595,-0.03897950556116579,-0.5552636119824187,-0.9106936163847366,-4.8189376590561395,0.29914529914529914,-0.08134804112807204
NQ,flow_filtered_trend,0.002239244851071476,4078.0,NQ_flow_filtered_trend,702,-0.006566619756618763,0.034949999999999995,-0.041516619756618765,-0.5914048398378742,-1.2684122369255635,-6.711806677632359,0.16096866096866097,-0.06487984780971134
YM,baseline_trend,0.0015891560280770988,580.5,YM_baseline_trend,702,-0.01952051413371514,0.0237,-0.04322051413371513,-0.6156768395116116,-2.088606192284393,-11.05186514306811,0.23504273504273504,-0.04328104246490818
YM,flow_filtered_trend,0.0015891560280770988,580.5,YM_flow_filtered_trend,702,0.008210664947931434,0.029399999999999996,-0.02118933505206856,-0.3018423796590963,-1.5596382575833792,-8.252829929575437,0.09829059829059829,-0.02118933505206867
RTY,baseline_trend,0.002325808337518431,1070.0,RTY_baseline_trend,702,0.019976919258017922,0.022199999999999998,-0.002223080741982077,-0.03166781683735153,-0.061876132820956706,-0.3274177190693059,0.29772079772079774,-0.031935242961483805
RTY,flow_filtered_trend,0.002325808337518431,1070.0,RTY_flow_filtered_trend,702,-0.029250561075751413,0.0324,-0.06165056107575141,-0.8782131207371996,-2.512042460013915,-13.29247926406347,0.12393162393162394,-0.07727699054222131
6E,baseline_trend,0.000515459496940951,614.0,6E_baseline_trend,702,0.0006598797252229949,0.018299999999999997,-0.017640120274777002,-0.251283764597963,-3.135860038137132,-16.59341161443275,0.15242165242165243,-0.017876704679137188
6E,flow_filtered_trend,0.000515459496940951,614.0,6E_flow_filtered_trend,702,-0.0010186138980118054,0.0228,-0.0238186138980118,-0.33929649427367237,-5.1290583022444585,-27.140425455380004,0.04415954415954416,-0.023818613898011886
6J,baseline_trend,0.0003181673587135947,392.0,6J_baseline_trend,702,-0.002636888141547722,0.0207,-0.023336888141547718,-0.3324343040106512,-6.602336135708075,-34.93627897427753,0.09829059829059829,-0.023336888141547794
6J,flow_filtered_trend,0.0003181673587135947,392.0,6J_flow_filtered_trend,702,0.000800428345561599,0.0168,-0.015999571654438396,-0.22791412613160109,-5.654168766497576,-29.91904885388284,0.03133903133903134,-0.016089236125327967
6B,baseline_trend,0.0005208914803196407,246.0,6B_baseline_trend,702,-0.0023874369751019087,0.020999999999999998,-0.023387436975101903,-0.3331543728646995,-3.8517483361386837,-20.381536420459554,0.1623931623931624,-0.023610112416377373
6B,flow_filtered_trend,0.0005208914803196407,246.0,6B_flow_filtered_trend,702,-0.005600843987534687,0.024,-0.02960084398753468,-0.42166444426687577,-8.04069303868659,-42.54734829794594,0.04985754985754986,-0.029600843987534774
6C,baseline_trend,0.00041485169647048625,273.0,6C_baseline_trend,702,0.002926833683219776,0.0195,-0.01657316631678022,-0.23608499026752452,-3.8833318190975765,-20.548660503352508,0.1794871794871795,-0.017280461634458788
6C,flow_filtered_trend,0.00041485169647048625,273.0,6C_flow_filtered_trend,702,0.0030708773639436804,0.026099999999999998,-0.023029122636056314,-0.3280501800008022,-6.932283706340102,-36.682197409442054,0.05270655270655271,-0.02302912263605641
6A,baseline_trend,0.000698939039855051,274.0,6A_baseline_trend,702,-0.00461295798002731,0.0189,-0.023512957980027307,-0.33494242136791036,-2.8923423717529344,-15.304837244225988,0.18945868945868946,-0.023512957980027355
6A,flow_filtered_trend,0.000698939039855051,274.0,6A_flow_filtered_trend,702,-0.0020691559429943385,0.0267,-0.028769155942994333,-0.4098170362249905,-4.649049299321403,-24.60045655776704,0.05982905982905983,-0.028769155942994434
CL,baseline_trend,0.006937390434878843,1518.0,CL_baseline_trend,702,-0.04722348145423716,0.0165,-0.06372348145423716,-0.9077419010575095,-1.2525273492446845,-6.62775175281676,0.11253561253561253,-0.07949621560730799
CL,flow_filtered_trend,0.006937390434878843,1518.0,CL_flow_filtered_trend,702,0.007954509809920296,0.0162,-0.008245490190079707,-0.11745712521481064,-0.1815159860946862,-0.960492316378396,0.0584045584045584,-0.05210735069057032
BZ,baseline_trend,0.0061976436208100345,113.0,BZ_baseline_trend,702,-0.02484108972640442,0.0126,-0.03744108972640442,-0.5333488565014874,-0.8236272025135133,-4.358225501757178,0.10398860398860399,-0.055152571382088136
BZ,flow_filtered_trend,0.0061976436208100345,113.0,BZ_flow_filtered_trend,702,-0.02281375494504978,0.010499999999999999,-0.033313754945049776,-0.4745549137471478,-1.3844588236971487,-7.325867495823344,0.03133903133903134,-0.034399645679761955
GC,baseline_trend,0.001880112096675646,431.5,GC_baseline_trend,702,0.034208333623810816,0.019200000000000002,0.015008333623810818,0.21379392626511137,0.5202933020620522,2.753133372137599,0.28062678062678065,-0.01610968835535493
GC,flow_filtered_trend,0.001880112096675646,431.5,GC_flow_filtered_trend,702,0.03852944829377769,0.027599999999999996,0.010929448293777701,0.15569014663501,0.4635816854037073,2.4530437038847825,0.12393162393162394,-0.014947782644383928
SI,baseline_trend,0.004082455137965546,118.0,SI_baseline_trend,702,0.05527796716270039,0.0207,0.03457796716270039,0.49256363479630183,0.6459592668972012,3.4180951545751843,0.24074074074074073,-0.04846494087997155
SI,flow_filtered_trend,0.004082455137965546,118.0,SI_flow_filtered_trend,702,0.033772236138735146,0.024,0.009772236138735155,0.13920564300192528,0.23859477857078182,1.2625248964336235,0.08974358974358974,-0.027582851483689275
