variant,gross_residual_return,primary_cost_return,macro_hedge_cost_return,total_cost_return,net_return_after_all_costs,net_raw_return_after_primary_cost,trade_overlap_net,trade_overlap_carry_adjusted_net,ann_return,ann_vol,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,mean_gross_exposure,mean_primary_turnover,mean_hedge_turnover,mean_complex_hedge_gross,gross_to_total_cost,event_count,event_win_rate,mean_event_return,event_tstat,mean_duration_days,bars
neg_z2.5_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,0.3145239585465689,0.018422803210066202,0.007099483618647309,0.025522286828713506,0.2890016717178554,0.24342351987775035,0.047599764259236385,0.047689641496749424,0.018022375964587865,0.023314539061292588,0.7730101769204217,3.0954897223709734,-0.028089710881316732,0.012373174956693888,0.02214798317248206,0.012792004963895456,0.004282696951325982,12.32350222601205,47,0.723404255319149,0.013738905406875076,3.9328256051839277,1.5106382978723405,4041
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_hold,0.35287711124885035,0.04712573615600082,0.02080364265439951,0.06792937881040031,0.28494773243845006,0.2847935891967214,0.0360677657830821,0.0360451214849723,0.017769569060749668,0.02928906838009367,0.6066962878487036,2.4294921072295512,-0.04450133571269982,0.036129670873546155,0.05982430091561495,0.03657313178274076,0.01243188300744902,5.194764289450902,124,0.6935483870967742,0.005478800249105447,3.1899970849052552,1.5887096774193548,4041
neg_z2.5_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,0.3020405205674538,0.018422803210066202,0.007099566771243966,0.025522369981310165,0.2765181505861436,0.2506798796004622,0.04878083338173812,0.04885783723991186,0.01724389357775506,0.023067656834636442,0.7475355516761065,2.9934775587805995,-0.02784476014211873,0.012373174956693888,0.02214798317248206,0.012791646297100414,0.004257535728197511,11.834344568652352,47,0.7021276595744681,0.013207695280104218,3.7931615361471382,1.4893617021276595,4041
neg_z2.5_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,0.30085925234255384,0.018422803210066202,0.007099367668845809,0.02552217087891201,0.2753370814636419,0.25059504514412795,0.047599764259236385,0.047689641496749424,0.017170241160316197,0.023065994761778497,0.7443963001659978,2.9809065460363793,-0.028089710881316732,0.01212571145756001,0.02214798317248206,0.012791646297100414,0.004173346166896581,11.788152887540702,47,0.7021276595744681,0.013157428547129755,3.7562923031064632,1.446808510638298,4041
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_exit,0.34209410583079874,0.04712573615600082,0.020794394320017222,0.06792013047601803,0.2741739753547807,0.28294770894141075,0.03488669666058036,0.03487692574180985,0.01709770893081038,0.029191202647567565,0.5857144406564933,2.3454711017123997,-0.04559178499080796,0.035634743875278395,0.05982430091561495,0.03650020970917301,0.012190695651624442,5.036711552719838,124,0.6935483870967742,0.005304880806878807,3.0229459058903814,1.564516129032258,4041
neg_z2.5_root2_exit0.25_mdq90_normq50_all_topo_hold,0.32255486283388246,0.039337325663477224,0.017784645006551192,0.057121970670028416,0.265432892163854,0.2698969236513149,0.018552961819497234,0.01861604380980708,0.016552607974583324,0.027233461788675504,0.6078040354556172,2.4339280402024435,-0.03579448009708296,0.030438010393466965,0.05017322444939371,0.03153189714141135,0.01054186670349959,5.646774070473819,104,0.6634615384615384,0.006193490994788737,3.106068138982514,1.5865384615384615,4041
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_hold,0.3326392148684893,0.04712573615600082,0.020821541662187373,0.06794727781818818,0.2646919370503011,0.29073522903051974,0.0360677657830821,0.0360451214849723,0.016506401419617883,0.028986465975731773,0.5694520136893361,2.2803488341916887,-0.04559178499080796,0.03538728037614452,0.05982430091561495,0.036498583433994904,0.012119512818390904,4.895548807099497,124,0.6854838709677419,0.005152382565551236,2.9655878334435966,1.5403225806451613,4041
neg_z2_root2_exit0.5_mdq90_normq50_all_topo_exit,0.33145794664358935,0.04712573615600082,0.020821342559789215,0.06794707871579003,0.2635108679277994,0.29065039457418546,0.03488669666058036,0.03487692574180985,0.016432749002179028,0.028985135864258382,0.5669371045606267,2.270277976662192,-0.04559178499080796,0.03513981687701064,0.05982430091561495,0.036498583433994904,0.012035323257089975,4.878178030729123,124,0.6854838709677419,0.005133329852246399,2.9458036678295185,1.5241935483870968,4041
neg_z3_root1.5_exit0.25_mdq90_normq50_all_topo_hold,0.31269883211723093,0.03667216461675275,0.016331411642447106,0.05300357625919985,0.2596952558580311,0.28600139395241303,-0.0006856996952180634,-0.0006257346534230364,0.016194804374220204,0.027499532572873076,0.5889119871875776,2.358275554641088,-0.04139938364207565,0.026973521405592674,0.0447290274684484,0.030282137654924626,0.009727349972070837,5.899579880951064,93,0.6559139784946236,0.006714096795964792,3.001778950417232,1.5913978494623655,4041
neg_z2.5_root2_exit0.25_mdq90_normq50_all_topo_exit,0.3117718574158308,0.039337325663477224,0.017775396672168903,0.05711272233564613,0.25465913508018473,0.26805104339600433,0.017371892696995496,0.017447848066644643,0.015880747844644036,0.027128061775924656,0.5853992804874002,2.3442090548552486,-0.04538716805825057,0.02994308339519921,0.05017322444939371,0.03145897506784359,0.010300679347675014,5.458886298285289,104,0.6634615384615384,0.005986125505980052,2.9336597220069183,1.5576923076923077,4041
