variant,root,events,mean_event_return,median_event_return,event_tstat,win_rate,mean_duration_days
neg_z2.5_root2_exit0.25_mdq90_normq50_post2020_topo_exit,PL,10,0.012946382371123272,0.008984775413830193,1.3389942357118638,0.9,1.9
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_hold,PL,11,0.01219887365814067,0.007466808910169076,1.4123247748287777,0.9090909090909091,2.090909090909091
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_exit,PL,11,0.011984097617249778,0.007466808910169076,1.3620642695830398,0.9090909090909091,1.9090909090909092
neg_z3_root2_exit0.25_mdq90_normq50_post2020_topo_hold,PL,9,0.011923158001156255,0.007466808910169076,1.1341557563849811,0.8888888888888888,1.8888888888888888
neg_z3_root2_exit0.5_mdq90_normq50_post2020_topo_hold,PL,9,0.011923158001156255,0.007466808910169076,1.1341557563849811,0.8888888888888888,1.8888888888888888
neg_z3_root2_exit0.25_mdq90_normq50_post2020_topo_exit,PL,9,0.0116606539511785,0.007466808910169076,1.0883595092684228,0.8888888888888888,1.6666666666666667
neg_z3_root2_exit0.5_mdq90_normq50_post2020_topo_exit,PL,9,0.0116606539511785,0.007466808910169076,1.0883595092684228,0.8888888888888888,1.6666666666666667
neg_z2.5_root2_exit0.5_mdq90_normq50_post2020_topo_hold,PL,10,0.010449694775300247,0.006641859055682523,1.0979238972870207,0.8,1.8
neg_z2.5_root2_exit0.5_mdq90_normq50_post2020_topo_exit,PL,10,0.010213441130320267,0.006641859055682523,1.0538520807566545,0.8,1.6
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_hold,PL,11,0.00971438162104703,0.00581690920119597,1.1242956156510389,0.8181818181818182,1.8181818181818181
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_exit,PL,11,0.009499605580156138,0.00581690920119597,1.0800730657045705,0.8181818181818182,1.6363636363636365
neg_z3_root1.5_exit0.25_mdq95_normq50_all_topo_exit,PL,20,0.009175578151045138,0.005585650570058106,1.6431532628096,0.65,1.75
neg_z3_root1.5_exit0.25_mdq95_normq50_all_topo_hold,PL,20,0.009175578151045138,0.005585650570058106,1.6431532628096,0.65,1.75
neg_z3_root1.5_exit0.5_mdq95_normq50_all_topo_exit,PL,20,0.009175578151045138,0.005585650570058106,1.6431532628096,0.65,1.75
neg_z3_root1.5_exit0.5_mdq95_normq50_all_topo_hold,PL,20,0.009175578151045138,0.005585650570058106,1.6431532628096,0.65,1.75
neg_z3_root2_exit0.25_mdq95_normq50_post2020_topo_exit,HG,7,0.008052054975172886,0.00709271019677824,1.1635309094589001,0.7142857142857143,1.4285714285714286
neg_z3_root2_exit0.25_mdq95_normq50_post2020_topo_hold,HG,7,0.008052054975172886,0.00709271019677824,1.1635309094589001,0.7142857142857143,1.4285714285714286
neg_z3_root2_exit0.5_mdq95_normq50_post2020_topo_exit,HG,7,0.008052054975172886,0.00709271019677824,1.1635309094589001,0.7142857142857143,1.4285714285714286
neg_z3_root2_exit0.5_mdq95_normq50_post2020_topo_hold,HG,7,0.008052054975172886,0.00709271019677824,1.1635309094589001,0.7142857142857143,1.4285714285714286
neg_z3_root2_exit0.25_mdq90_normq50_all_topo_exit,SI,22,0.007668267569028409,0.005091682855185575,2.4033013597923674,0.7727272727272727,1.4090909090909092
neg_z3_root2_exit0.25_mdq90_normq50_all_topo_hold,SI,22,0.007668267569028409,0.005091682855185575,2.4033013597923674,0.7727272727272727,1.4090909090909092
neg_z3_root2_exit0.5_mdq90_normq50_all_topo_exit,SI,22,0.007668267569028409,0.005091682855185575,2.4033013597923674,0.7727272727272727,1.4090909090909092
neg_z3_root2_exit0.5_mdq90_normq50_all_topo_hold,SI,22,0.007668267569028409,0.005091682855185575,2.4033013597923674,0.7727272727272727,1.4090909090909092
neg_z3_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,SI,8,0.007653296155158824,0.0025634056611961043,1.0642110150286441,0.625,1.5
neg_z3_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,SI,8,0.007653296155158824,0.0025634056611961043,1.0642110150286441,0.625,1.5
neg_z3_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,SI,8,0.007653296155158824,0.0025634056611961043,1.0642110150286441,0.625,1.5
neg_z3_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,SI,8,0.007653296155158824,0.0025634056611961043,1.0642110150286441,0.625,1.5
neg_z3_root2_exit0.25_mdq90_normq50_post2020_topo_exit,SI,8,0.007653296155158824,0.0025634056611961043,1.0642110150286441,0.625,1.5
neg_z3_root2_exit0.25_mdq90_normq50_post2020_topo_hold,SI,8,0.007653296155158824,0.0025634056611961043,1.0642110150286441,0.625,1.5
