variant,split,start,end,bars,net_return_after_all_costs,carry_adjusted_net,total_cost_return,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,events
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.29132042841931605,0.29132457936840944,0.030150308486899906,0.7175939205617461,2.873577440835494,-0.03900898757952789,56
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.29132042841931605,0.29132457936840944,0.030150308486899903,1.1698577220750166,2.8778469769256896,-0.03900898757952789,56
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.06511456822282126,0.06511871917191464,0.00771828846073368,1.0826836007268825,1.445188372543544,-0.02808971088131678,15
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.09237135769019693,0.0923505908722461,0.0449183668043609,0.22861606015941358,0.9154842791484511,-0.0715486775245732,87
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.023549182659375337,-0.023549182659375337,0.03010116169212187,-0.10726662205950105,-0.33893752392568594,-0.07062974547405762,58
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.09237135769019693,0.0923505908722461,0.0449183668043609,0.22861606015941358,0.9154842791484511,-0.0715486775245732,87
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.023549182659375337,-0.023549182659375337,0.03010116169212187,-0.10726662205950105,-0.33893752392568594,-0.07062974547405762,58
