,pc1,pc2,pc3
1757,-1.5590754478266216,-0.6401450559420028,-0.37070180808836517
1760,-4.471739426477745,-2.734766778703026,-0.35825604230065433
1762,-2.4571234371288786,-2.337255748479052,-1.084401557333466
1765,-1.3280804996691487,0.779367141767083,-0.14288778834348476
1767,-2.0528922830810554,2.5572914496646377,0.0783692962379017
1770,0.671117375124088,0.5417478426658197,-0.14324400564516426
1772,1.0570091783772486,-0.23897708434620224,-0.12213842547869773
1775,-1.6735518458677168,0.3545939547195592,-0.11482550074145148
1777,0.3419223314305318,-0.13061175456930815,-0.2807919523288176
1780,0.14878760243287578,-0.30010243418833316,-0.3746783223729729
1782,-2.6939769460818743,-1.5955310881062035,-0.7927717913519525
1785,0.41401716747088335,0.4190583015048844,-0.10275627721331851
1787,-1.0117092060213195,-0.28860180303907945,-0.0868078757214121
1790,0.17535737036203702,-0.0421747430665949,-0.11282793352197373
1792,0.27956512804878936,0.30658628921375636,-0.26904291164539684
1795,1.2977426216742962,-0.39752649931651307,0.13229951802886827
1797,-0.33874634141503357,-0.4944391464716137,-0.18671477531286348
1800,2.0939795845380367,-0.18331823836019803,-0.19752032133777062
1802,-0.19173876737531403,-1.085954139183046,-0.6171413953670104
1805,0.6458255088185036,0.13291461607311725,-0.1588487185561253
1807,1.8928062922424602,0.231982735411846,-0.12080122218882952
1810,0.9679577626141026,-0.3715019962938417,-0.3357460183539321
1812,-3.508637466625961,0.9514123278595568,0.4229604037977722
1814,-2.919485424249675,-0.1459833523719742,0.6566649718389698
1817,-2.8512638812581894,-0.9409292053617742,0.9121649029951069
1819,-1.7626086565032972,-0.3902567329943591,-0.04098564963100673
1822,-0.7251291658928485,2.1638020142446694,-0.09024913706278251
1824,1.2875249774693578,0.3491954583192898,-0.026363587730156932
1827,0.28147815703321544,-0.03548894939136049,-0.19238508177633912
1829,0.34885787197720663,-0.3943204021152665,-0.08045145292078801
1832,0.6314717776582317,-0.6785646986662862,-0.4864734300665822
1834,1.482469008905212,-0.30176917774056417,0.32913054918895285
1837,2.6645721245969685,-0.26182491580726686,-0.22100428922669088
1839,0.7654256337242853,0.0018500482135638155,-0.17608814390401648
1842,1.6095578543406983,0.03893625581499655,0.7923493796591768
1844,-0.0643790583404377,-0.2530273966894507,-0.43434601010879687
1847,1.0901668527119845,-0.3658122510905448,-0.20732438613552986
1849,0.7288164530990418,-1.135784082141951,0.548541157059847
1852,-2.7206549277891505,0.5941403674674727,-0.537319346472056
1854,-3.294739932448122,2.662811203130822,0.09062434195996508
1857,-2.268085283890944,0.003899264318058284,0.025755005244582293
1859,1.5306221643602227,-0.3741511149820233,-0.3055288745522933
1862,-0.34571671755217387,-1.240882897689877,-0.14350383861537833
1864,1.6120336973023321,-0.18121780680471455,-0.2740165709821053
1867,2.57718535431961,-0.13227083521523803,-0.16732921790090746
