index,root,relative_bar,mean,median,count
85,GC,-6,0.0002837496819918618,0.0002130542002047875,306
86,GC,-5,0.00018627973452433222,0.00010477784610607443,306
87,GC,-4,0.00024911413667775065,0.0001103086718909907,306
88,GC,-3,0.00018184022119181896,8.827393207955225e-05,306
89,GC,-2,-2.5404870299650542e-05,-0.0,306
90,GC,-1,0.0003559552565207281,-2.2333143602892847e-05,306
91,GC,0,0.0,0.0,306
92,GC,1,0.00032617508968001293,0.0,306
93,GC,2,0.0001968379448312588,-0.0001376462496462949,306
94,GC,3,1.7983610309682885e-05,-0.0002477787999319858,306
95,GC,4,7.674471252021137e-05,-0.00021111322626143902,306
96,GC,5,-0.00011826134363267392,-0.00013592112787019772,306
97,GC,6,0.00010060557976830288,-0.00018571572814884973,306
98,GC,7,0.0002037815588654338,-0.00027458537569025054,306
99,GC,8,6.430291331961286e-05,-0.0003057152847114608,306
100,GC,9,-0.00026058720793474695,-0.0005277361442628248,306
101,GC,10,-9.346298845512879e-05,-0.00046353161314094393,306
102,GC,11,-0.00011722852740468718,-0.00041058279498962236,306
103,GC,12,-0.00010743362487033404,-0.0005801207291051824,306
104,GC,13,1.9962012643730382e-05,-0.00036218223362460833,306
105,GC,14,0.00017173470920605154,-0.00038595639398231185,306
106,GC,15,-2.1402402889181055e-05,-0.0004842962944877627,306
107,GC,16,0.0003773464889892829,-0.00036712034702190977,306
108,GC,17,-0.0002015412778526498,-0.0006730334238431723,306
109,GC,18,-0.0002504640913260814,-0.0006190476335445894,306
110,GC,19,-0.00026335199046019595,-0.0006264331782759314,306
111,GC,20,-0.00031174459803875266,-0.0007731228829710446,306
112,GC,21,-0.00024285015253171054,-0.0007210112861066875,306
113,GC,22,-9.789438783845486e-05,-0.0008851807829266534,306
114,GC,23,-0.0003962793478909808,-0.000967648607328897,306
115,GC,24,-0.00039751010760927225,-0.001151166832385364,306
116,GC,25,-0.0006151370055890279,-0.001113514556858597,306
117,GC,26,-0.000950533435703688,-0.0015061240474620874,306
118,GC,27,-0.0007133297658661171,-0.0010026411856411954,306
119,GC,28,-0.0007108136526224703,-0.0009153125199716783,306
120,GC,29,-0.0005735729566645443,-0.0010833360117228352,306
121,GC,30,-0.0007707909783942859,-0.0015237831496035525,306
122,GC,31,-0.0009017101764858263,-0.0016429073935970706,306
123,GC,32,-0.0008629367378321139,-0.0015338914924276636,306
124,GC,33,-0.0010054522278627966,-0.001531750878294602,306
125,GC,34,-0.0007546793388567247,-0.001376178569906017,305
126,GC,35,-0.0008557943260278187,-0.001303580289597761,305
127,GC,36,-0.0011322855119181882,-0.0014759809879567598,305
128,GC,37,-0.0011903964977490803,-0.0013680798267863281,305
129,GC,38,-0.0008246341363675761,-0.0009864636082461686,305
130,GC,39,-0.0010743850983962046,-0.0011647958927518687,305
131,GC,40,-0.0008783519423727566,-0.0010821493481003586,305
132,GC,41,-0.000997210616361966,-0.0008987385385577085,305
133,GC,42,-0.0008856852237973788,-0.0010505402112634954,305
134,GC,43,-0.0010133729965827634,-0.0007471224460893211,305
135,GC,44,-0.0009417096042495481,-0.0008384740264837376,305
136,GC,45,-0.0012004949678704748,-0.0010370755401876153,305
137,GC,46,-0.0011857171211808876,-0.0013078308223430923,305
138,GC,47,-0.0010301474468830066,-0.0011922778502295728,305
139,GC,48,-0.0013429371495604996,-0.0016668707812144135,305
140,GC,49,-0.0014116334278141173,-0.0014078522533464977,304
141,GC,50,-0.0013292193855029,-0.001200048021128275,304
142,HG,-20,1.4648422914211824e-05,-0.0001545816870557326,306
143,HG,-19,-0.0003436549618842814,-0.0004981770240450878,306
144,HG,-18,-0.00033609762078702345,-0.0005427474574993818,306
145,HG,-17,-0.0004264750075250846,-0.0003923108509684692,306
146,HG,-16,-0.00035651071977297195,-0.0003953392190030325,306
147,HG,-15,-0.0004627947034675571,-0.0005448302265074201,306
148,HG,-14,-0.0004315641008696907,-0.00046466248350185424,306
149,HG,-13,-0.00014965186261704363,-0.00015466355221549488,306
150,HG,-12,-8.751835751044421e-05,-3.849855632309662e-05,306
151,HG,-11,-5.693832155318733e-05,-0.00015573487319264778,306
152,HG,-10,-0.00026976332305555167,-0.0002346408065478922,306
153,HG,-9,3.8463771251576236e-05,7.880873502763563e-05,306
154,HG,-8,-6.205831258193011e-05,-7.784828554857626e-05,306
155,HG,-7,-0.0001235025261097002,-3.89180774665876e-05,306
156,HG,-6,-9.1718557651635e-05,7.754958063321826e-05,306
157,HG,-5,7.596049792732084e-06,-7.808843050705061e-05,306
158,HG,-4,3.598775132634703e-05,0.0001574139059885571,306
159,HG,-3,0.00019501877110839568,0.0001563237390836969,306
160,HG,-2,0.00014684853075688914,-0.0,306
161,HG,-1,-0.0002366527241057879,-0.0,306
162,HG,0,0.0,0.0,306
163,HG,1,-7.184184884581812e-06,-3.7811472018534076e-05,306
164,HG,2,-5.717733642133826e-05,-0.00015586144367074617,306
165,HG,3,-5.1378055083629994e-05,-0.00015375197760802983,306
166,HG,4,-0.00010998121696681535,-3.886060702229521e-05,306
167,HG,5,-0.00013580636659235246,0.0,306
168,HG,6,-0.00020561315864014307,-0.00011595510109030371,306
