feature,root,horizon,spearman_ic,pvalue,observations
contribution_velocity_l2,HG,1,-0.005900335868190845,0.6422066952061363,6203
contribution_velocity_l2,HG,2,-0.005937702257610138,0.6401275914673836,6202
contribution_velocity_l2,HG,5,-0.0041889704312673085,0.7415902337523292,6199
contribution_velocity_l2,HG,10,-0.011449917474816771,0.3675996371851098,6194
contribution_velocity_l2,HG,20,-0.008689979858399687,0.49445458180146074,6184
contribution_velocity_l2,HG,50,-0.029620750796178756,0.02014105714505821,6154
contribution_velocity_l2,PL,1,0.005169925091691521,0.6839349517712614,6203
contribution_velocity_l2,PL,2,-0.008153642289240612,0.5208710927366049,6202
contribution_velocity_l2,PL,5,0.004849350443074505,0.7026596510250629,6199
contribution_velocity_l2,PL,10,0.021286965329306882,0.09389935823393594,6194
contribution_velocity_l2,PL,20,0.02980294579116854,0.019093360950934696,6184
contribution_velocity_l2,PL,50,-0.012847893426654268,0.31358835937175966,6154
contribution_velocity_l2,PA,1,0.011687945010309144,0.3573751279861902,6203
contribution_velocity_l2,PA,2,0.0028906588311627566,0.819955663605251,6202
contribution_velocity_l2,PA,5,0.007412887728037234,0.5595334677362965,6199
contribution_velocity_l2,PA,10,0.016960951400155088,0.18197885377517076,6194
contribution_velocity_l2,PA,20,0.013665104186903445,0.2826277472989183,6184
contribution_velocity_l2,PA,50,-0.02331819759565218,0.06738015460807825,6154
contribution_velocity_l2,ALI,1,0.010354733164283814,0.4148506863811365,6203
contribution_velocity_l2,ALI,2,0.008903666449284496,0.4832649331160557,6202
contribution_velocity_l2,ALI,5,-0.009933778864215084,0.4342233807952459,6199
contribution_velocity_l2,ALI,10,-0.011495536530973998,0.3656939480516407,6194
contribution_velocity_l2,ALI,20,0.0144928604858721,0.25448424834023575,6184
contribution_velocity_l2,ALI,50,-0.011299101432320328,0.37549158080371153,6154
contribution_acceleration_l2,GC,1,0.003308717734080683,0.7944473316118044,6203
contribution_acceleration_l2,GC,2,0.003980355318403902,0.7539751926500436,6202
contribution_acceleration_l2,GC,5,-0.0017085351206251682,0.8930132910185192,6199
contribution_acceleration_l2,GC,10,0.029660286708910657,0.01957659727091126,6194
contribution_acceleration_l2,GC,20,0.009875130396234784,0.43749718684768285,6184
contribution_acceleration_l2,GC,50,-0.027971147207302788,0.028217564537864493,6154
contribution_acceleration_l2,SI,1,0.010397134688069465,0.41294256350218866,6203
contribution_acceleration_l2,SI,2,0.011137120691999543,0.3805248805405225,6202
contribution_acceleration_l2,SI,5,0.015142548328983166,0.233238818395586,6199
contribution_acceleration_l2,SI,10,0.028371851583753903,0.02555426005288981,6194
contribution_acceleration_l2,SI,20,0.023357055522665055,0.06626290893643876,6184
contribution_acceleration_l2,SI,50,-0.02712366145155412,0.033358575671100676,6154
contribution_acceleration_l2,HG,1,0.0009616294335285301,0.9396403936568904,6203
contribution_acceleration_l2,HG,2,-0.004579195187552853,0.7184332250370775,6202
contribution_acceleration_l2,HG,5,-0.006721328906590833,0.5967398680276403,6199
contribution_acceleration_l2,HG,10,0.006417449008475538,0.6135805115453203,6194
contribution_acceleration_l2,HG,20,0.0057352609135664185,0.6520440723228352,6184
contribution_acceleration_l2,HG,50,-0.01215511683937868,0.3403979510442827,6154
contribution_acceleration_l2,PL,1,-0.001411534682638221,0.9114982809598875,6203
contribution_acceleration_l2,PL,2,0.007910658830432156,0.5333696065544166,6202
contribution_acceleration_l2,PL,5,-0.0021125771066034835,0.8679226643045614,6199
contribution_acceleration_l2,PL,10,0.010553804381680241,0.4062783713902723,6194
contribution_acceleration_l2,PL,20,0.02478303084176178,0.05131889153432486,6184
contribution_acceleration_l2,PL,50,-0.021438164904801185,0.09264242336163231,6154
contribution_acceleration_l2,PA,1,0.01992246803621692,0.11666759366138607,6203
contribution_acceleration_l2,PA,2,0.010006899281641772,0.43073648661576824,6202
contribution_acceleration_l2,PA,5,0.01122926694212372,0.37671152959518805,6199
contribution_acceleration_l2,PA,10,0.019194037571615943,0.13093047182209844,6194
contribution_acceleration_l2,PA,20,0.013475832161802263,0.28934848967617294,6184
contribution_acceleration_l2,PA,50,-0.02548889610261298,0.04555891410339094,6154
contribution_acceleration_l2,ALI,1,0.009330959250157088,0.46248196437863126,6203
contribution_acceleration_l2,ALI,2,0.00276433499932434,0.8276974644174361,6202
contribution_acceleration_l2,ALI,5,0.009835592429562499,0.4387797594349412,6199
contribution_acceleration_l2,ALI,10,0.006854322508943911,0.5896480369613518,6194
contribution_acceleration_l2,ALI,20,0.03029793113188988,0.01718869000507526,6184
contribution_acceleration_l2,ALI,50,-0.008264498335396383,0.5168503889082272,6154
rank_turnover_l1,GC,1,-0.004443666439547275,0.7264058804829419,6203
rank_turnover_l1,GC,2,0.008228415334206497,0.5170555080626459,6202
rank_turnover_l1,GC,5,-0.005617754919914033,0.6583292317474663,6199
rank_turnover_l1,GC,10,0.002487157043143318,0.8448411067287573,6194
rank_turnover_l1,GC,20,0.0034290629397172373,0.7874661935095597,6184
rank_turnover_l1,GC,50,0.0037688174878054226,0.7675393510118587,6154
rank_turnover_l1,SI,1,0.008212219729977367,0.5178469635447775,6203
rank_turnover_l1,SI,2,0.00799782757000207,0.5288684695725204,6202
rank_turnover_l1,SI,5,-0.0017691959633196878,0.8892388398002791,6199
rank_turnover_l1,SI,10,-0.003712318260527182,0.770203440274395,6194
rank_turnover_l1,SI,20,0.003390814307459012,0.7897809145914365,6184
rank_turnover_l1,SI,50,-0.022698716447271287,0.07499028812154986,6154
rank_turnover_l1,HG,1,-0.006950239836807039,0.5841787511304157,6203
rank_turnover_l1,HG,2,0.0028500804203191016,0.822440652688873,6202
rank_turnover_l1,HG,5,-0.021562967014986303,0.0895855915656895,6199
rank_turnover_l1,HG,10,-0.014641051159494975,0.2492763893117272,6194
rank_turnover_l1,HG,20,-0.003926713338203475,0.757527474764001,6184
rank_turnover_l1,HG,50,-0.016647105029710434,0.1916383121651517,6154
rank_turnover_l1,PL,1,-0.008476449054737767,0.5044686652483501,6203
rank_turnover_l1,PL,2,-0.006092516716299799,0.6314333643059101,6202
rank_turnover_l1,PL,5,-0.01768982949117794,0.16373645152271182,6199
rank_turnover_l1,PL,10,-0.011973444846069362,0.34610188768231404,6194
rank_turnover_l1,PL,20,-0.006843935635527661,0.5905123339510024,6184
rank_turnover_l1,PL,50,-0.006830627350346959,0.5921364637960796,6154
rank_turnover_l1,PA,1,0.0006469708094189108,0.9593696723566787,6203
rank_turnover_l1,PA,2,0.002531899121864999,0.8419856710833777,6202
rank_turnover_l1,PA,5,-0.011360011816857703,0.3711803533981439,6199
rank_turnover_l1,PA,10,-0.015088590441840462,0.23509759806021982,6194
rank_turnover_l1,PA,20,-0.004421584567397379,0.7281122126696634,6184
rank_turnover_l1,PA,50,-0.009166191078449447,0.47218207481522184,6154
rank_turnover_l1,ALI,1,0.008357204527323202,0.5104835343033269,6203
rank_turnover_l1,ALI,2,-0.006645370335275207,0.6008060926176991,6202
rank_turnover_l1,ALI,5,-0.014528498225704909,0.25274288279621443,6199
rank_turnover_l1,ALI,10,-0.013887785924977206,0.2744692352929333,6194
rank_turnover_l1,ALI,20,0.004675966312348746,0.7131429930019303,6184
