,tsne1,tsne2
968,29.677212,-25.860283
971,4.380255,-0.39468282
973,25.038685,-19.22829
976,19.617306,-22.460518
978,2.2412748,-17.868765
980,21.656395,6.2060094
983,36.670525,-6.0921216
985,12.142539,7.0451875
988,38.815716,-11.400005
990,12.165185,-16.32383
993,10.869932,-18.29909
995,36.29687,-10.550961
998,-0.3006113,22.595852
1000,48.80856,-8.693801
1003,22.710575,1.2007866
1005,33.26293,-15.612582
1008,-13.132335,-40.391937
1010,-13.544239,-43.368286
1013,-14.722959,-33.479202
1015,6.2495093,-16.943289
1018,32.29848,-16.0809
1020,-23.746538,-8.9995985
1023,-22.316174,-12.656749
1025,-23.016813,-14.751727
1028,-1.2409785,23.192142
1030,43.10746,-4.708834
1033,37.207638,-10.986304
1035,14.329625,26.141249
1038,-3.8973181,14.9360485
1040,-10.484542,-36.309788
1043,22.417887,-12.389843
1045,11.675277,-16.57258
1047,0.65881824,-14.129621
1050,-7.045795,-14.40964
1052,-1.1169021,23.033432
1055,-4.2678103,-22.462843
1057,-14.478935,-23.813715
1060,12.207336,6.2329583
1062,-12.572359,3.0322351
1065,-32.31987,19.765118
1067,14.359559,-28.148418
1070,33.659615,6.0079947
1072,16.010775,0.19682325
1075,-30.860184,-14.52176
1077,-10.163667,8.688679
1080,22.267012,12.36327
1082,-8.062265,-11.232235
1085,17.715029,-32.637207
1087,-14.986779,-3.5838702
1090,-8.623566,28.319687
1092,2.5421822,33.433655
1095,-30.32189,20.372423
1097,-6.0291867,6.314786
1100,-8.599397,-27.53269
1102,-4.630115,-34.785572
1105,-2.839316,-31.07347
1107,17.46314,10.022012
1110,18.26132,9.660712
1112,37.244087,-9.952725
1115,4.3008184,24.599293
1117,51.699455,-3.5263844
1119,6.0459495,30.551138
1122,35.294765,2.8480346
1124,-8.631664,4.8660893
1127,13.580713,17.808064
1129,-21.253626,2.5831208
1132,-28.197315,10.785826
1134,34.21534,5.4422927
1137,-27.887907,34.843777
1139,-2.2418618,0.33114946
1142,-12.210976,-35.10992
1144,13.932593,23.162218
1147,-32.986217,-6.4058895
1149,27.812685,14.310405
1152,12.815589,24.836344
1154,-8.115058,14.070298
1157,-26.94934,-24.783041
1159,-10.075895,-27.522022
1162,34.033684,-2.342774
1164,-23.98864,-0.5183105
1167,-16.977041,-1.3693961
1169,-4.8944054,-26.100649
1172,1.2127534,-20.469984
1174,-8.20839,16.93706
1177,32.14677,12.059938
1179,-29.494875,38.979343
1182,50.7695,-2.3818245
1184,-13.037457,35.809227
1186,-27.693493,36.057785
1189,34.465244,10.407371
1191,9.287818,23.471422
1194,25.71155,16.020117
1196,-9.321233,14.754862
1199,2.3815267,23.54161
1201,29.917507,-22.659044
1204,37.01876,6.6635756
1206,14.069455,9.593881
1209,2.0979235,-2.4147835
1211,13.74181,-39.06137
1214,17.375393,-31.416094
1216,-27.040762,32.611385
