,rpc1,rpc2,rpc3
104,-1.2467131425208442,0.3877319705392432,-1.2368606340000825
107,-1.279465338066626,-1.4172807652612296,0.18733087795990525
109,-1.273027008914404,-1.3547051729330521,1.5574705662943815
112,-1.2774436510589673,-1.3747112531082295,0.26554607273302744
114,-1.2781123691396539,-1.4681203339398416,0.7573570504971994
117,-1.2773989008638416,-1.6036592989503997,0.9780101523176361
119,-1.2325052093286666,0.7696142366371279,-0.4883240520322488
122,4.20912300038895,-0.1179298625038353,0.5482623337908615
124,-1.2593405289086659,-0.3833606732477649,-0.4875169285943318
127,-0.10672023298501654,1.8742846874942063,-1.2555498234927787
129,-1.2396418471391322,0.34362677609857045,-1.6389558176543202
132,-1.1641781516455951,4.2011889970612275,-3.1220800726492963
134,-0.0879116011506722,3.3328771541765834,-2.172034833129656
137,-1.2542969860140425,0.31526575327677603,-0.4468317091989793
139,-1.273046956398706,-1.0867042881141356,0.21084036075127185
141,-1.2705305082289675,-1.0457936684593196,0.21958384324387767
144,0.9559457608239865,1.1492347008520418,0.05900348895806992
146,-1.248431553303875,0.8317950386688271,-0.40153578628439446
149,-1.265737417989739,0.3347639794470532,-1.1532453446216742
151,-1.2818626867840826,-1.8814987246649062,0.4205033428625746
154,-1.2752537146813403,-0.673429764010394,-0.7974078864026944
156,10.712722580981133,0.9561915017761615,1.1612776822757571
159,-1.2829967636543638,-1.4853766152228391,-0.027380565967186826
161,-1.269140042937287,0.2543065562830021,-1.586661810091147
164,8.44112649358671,-0.3545885022616933,0.2864773525219567
166,6.2087825540861425,-0.5416465739072047,-0.4815196789382342
169,-1.2760693219998387,-1.1573426469150843,0.3341633104876669
171,0.8679242280896455,0.030300807114025774,1.2593216208183446
174,-1.26640012613796,-0.7867577683193989,-0.37811266221791184
176,0.9133875828356739,1.82241596701189,-1.925149285637703
179,0.8938634544665345,0.34438250958972444,-0.4146445642393761
181,0.8728674838950898,-0.2696876535181859,-0.8224965218371533
184,-1.2540452358875587,0.4681273795197603,-1.2361402522701554
186,-1.2574486746998528,0.2224180855059465,-0.8701290931037785
189,-1.235435661080573,1.0502889035118952,-1.1328672092606824
191,-1.2662214376617968,-0.8931495433625949,0.19366048779309222
194,2.9852298283606027,-1.5398245756241309,0.26248566913820626
196,1.9179780819015126,-1.7335892902308765,0.5462442688821889
199,-0.18927076704225398,-0.5565709384399696,-0.37645435586482046
201,28.79134322263733,-2.5733068421617924,0.667921518804939
