variant,target_months,min_volume,lookback,entry_z,exit_z,side_mode,cost_multiplier,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
target3m_minv1000_lb252_entry1p5_exit0p25_backwardation_only_costx1p0,3,1000.0,252,1.5,0.25,backwardation_only,1.0,-8.088753936500727e-05,0.00229947121699945,-0.0023803587563644563,-0.0007954492550431085,0.005527978823851609,-0.14389513425973674,-0.2489207365675811,-0.008270103771164916,0.088125,0.17625,0.007187500000000001,0.3828125,12,0.4166666666666667,-0.00013879681188433524,-0.7088321352405469,640,213.8700823421775
target6m_minv10_lb126_entry2p0_exit0p25_contango_only_costx3p0,6,10.0,126,2.0,0.25,contango_only,3.0,0.011922285173100634,0.018615982646371834,-0.0023879289960499384,-0.00079797901720699,0.003309097979311901,-0.2411469899639911,-0.4171543858775754,-0.004362264716998307,0.047045191193511,0.094090382387022,0.015295480880648901,0.20973348783314022,33,0.5757575757575758,6.870454033393951e-06,0.04618675771833231,863,288.39043915828
target3m_minv1000_lb252_entry1p5_exit0p25_both_costx1p0,3,1000.0,252,1.5,0.25,both,1.0,0.0021334814365138446,0.004932617798637718,-0.0027351056273712286,-0.000913995727719434,0.005935754975312276,-0.1539813775199421,-0.2663686865239587,-0.009329277501972945,0.145625,0.29125,0.015625,0.534375,25,0.44,-0.0001384272320150556,-0.7930188043817117,640,213.8700823421775
target3m_minv1000_lb252_entry2p0_exit0p25_both_costx3p0,3,1000.0,252,2.0,0.25,both,3.0,0.007910665158573705,0.010962347856586528,-0.002955636595883854,-0.0009876910033363017,0.005762474114593545,-0.17140051021400007,-0.2965016257847589,-0.009207436302187292,0.1065625,0.213125,0.01125,0.4421875,19,0.5789473684210527,2.0359643475297825e-05,0.10431737825548004,640,213.8700823421775
target1m_minv1000_lb126_entry2p0_exit0p25_backwardation_only_costx3p0,1,1000.0,126,2.0,0.25,backwardation_only,3.0,0.011742967247887698,0.014812154524969683,-0.002973141174953016,-0.0009935405435970621,0.005041259516256373,-0.19708180870142206,-0.34092708720419834,-0.007957827711896522,0.09076923076923077,0.18153846153846154,0.016923076923076926,0.3935897435897436,33,0.7878787878787878,7.539832118213403e-05,0.6619947008341951,780,260.6541628545288
target6m_minv10_lb252_entry2p0_exit0p25_both_costx3p0,6,10.0,252,2.0,0.25,both,3.0,0.026652092171364924,0.03853241516663965,-0.0029849976102879275,-0.000997502632349191,0.006333376058026898,-0.15749935314277758,-0.27245434805635166,-0.013237679541505176,0.11981460023174971,0.23962920046349942,0.031517960602549244,0.5202780996523755,66,0.4090909090909091,-1.345202119752323e-05,-0.09600263226713474,863,288.39043915828
target1m_minv10_lb126_entry2p0_exit0p25_backwardation_only_costx3p0,1,10.0,126,2.0,0.25,backwardation_only,3.0,0.029546145778729365,0.034286613990026915,-0.003008100458909354,-0.0010033869338964764,0.004405214008053025,-0.22777257405933474,-0.3943786327848982,-0.010994678293175878,0.09229122055674518,0.18458244111349037,0.029978586723768737,0.3886509635974304,70,0.7714285714285715,0.00010449338262614118,1.1548812984402084,934,311.54657534246576
target3m_minv1000_lb126_entry2p0_exit0p25_both_costx3p0,3,1000.0,126,2.0,0.25,both,3.0,0.007898950272761926,0.011154440060844465,-0.00315944368595357,-0.0010557976269849419,0.005762840625421834,-0.18320784758951386,-0.3169268551125946,-0.0092619321538667,0.1134375,0.226875,0.011875,0.446875,20,0.6,1.3953611904495591e-05,0.07536232264720175,640,213.8700823421775
target1m_minv1000_lb252_entry1p5_exit0p25_contango_only_costx3p0,1,1000.0,252,1.5,0.25,contango_only,3.0,0.007177960201798514,0.010447265380539495,-0.0032693051787409805,-0.0010925102621547511,0.001865390573149098,-0.5856737338982082,-1.0131429250906918,-0.004831695260708814,0.06948717948717949,0.13897435897435897,0.011282051282051283,0.3217948717948718,22,0.6363636363636364,3.8460363943557645e-05,0.5060541081338423,780,260.6541628545288
target1m_minv500_lb126_entry1p5_exit0p25_backwardation_only_costx3p0,1,500.0,126,1.5,0.25,backwardation_only,3.0,0.022824579631060916,0.026274465243123976,-0.003353839509934088,-0.0011207592689875807,0.005290182365808297,-0.21185645247908913,-0.36648538860598223,-0.00957721661025945,0.15384615384615388,0.30769230769230776,0.03176178660049628,0.5359801488833746,64,0.640625,0.00011121488700127048,2.2928820950904707,806,269.3426349496798
