root,frequency,horizon,horizon_steps,n,carry_change_mean,carry_change_std,forward_return_mean_bp,pearson_corr,spearman_corr,beta_bp_per_1pct_carry_change,hac_t,hac_p,low_decile_forward_bp,middle_forward_bp,high_decile_forward_bp,high_minus_low_bp,high_positive_fraction,low_positive_fraction
GC,1d,10d,10,875,-0.0018620295033973144,0.11567772047894613,53.01652956247229,0.028916769557294462,0.019967649916930504,80.58908755582499,1.5895718148511102,0.11193135443331446,14.700494556560972,53.64068689419834,86.37476939933241,71.67427484277144,0.6136363636363636,0.5568181818181818
GC,1d,20d,20,866,-0.0018841502649297134,0.1161591415832329,114.26345682907237,0.007543376652131205,0.015264925133383291,27.88065121009363,0.41605699266431806,0.6773682994530608,45.96839292314045,116.61711797079317,163.83744590660456,117.86905298346412,0.6666666666666666,0.6091954022988506
SI,5m,5m,1,63950,-0.0016039581077995193,0.40311180467766533,0.024736537452776854,0.003141445967509047,0.0162032214002048,0.12159976593457973,0.12286569782435254,0.9022134489418928,-0.042757204030160624,0.0336328672312023,0.02105964070831081,0.06381684473847143,0.49163408913213447,0.47490226739640345
SI,5m,15m,3,63950,-0.0016039581077995193,0.40311180467766533,0.07342406864705721,-0.02742447446477564,0.009001673927430592,-1.8272254486943464,-1.4600733458161008,0.1442699171546292,0.20999637441818075,0.07845262217312063,-0.10337666533257367,-0.3133730397507545,0.5028928850664581,0.49741985926505083
SI,5m,30m,6,63950,-0.0016039581077995193,0.40311180467766533,0.16756214905236946,-0.020755792822534133,0.005962850241532987,-1.930619994222151,-1.1865166985815578,0.23541831096550048,-0.2713021726581367,0.3000324498977055,-0.45333593599981264,-0.1820337633416759,0.5141516810007819,0.5102423768569194
SI,5m,1h,12,63950,-0.0016039581077995193,0.40311180467766533,0.33243141562166456,-0.014523090031020548,0.004868507208091334,-1.869871437930203,-1.293557341156345,0.19581836550470366,-0.8708206680954624,0.6744513912490513,-1.2004763056803032,-0.3296556375848406,0.5282251759186865,0.526505082095387
SI,5m,4h,48,63950,-0.0016039581077995193,0.40311180467766533,1.7102648348244645,-0.003798410308803088,-0.0011750085044771503,-0.8342998225460131,-0.4504318856663503,0.6523990579900377,0.3753218721296447,2.249037633704454,-1.2649745935206305,-1.6402964656502754,0.5227521501172792,0.5305707584050039
SI,5m,1d,288,63950,-0.0016039581077995193,0.40311180467766533,5.889093035797498,-0.0036251391564533957,0.0019038739626088196,-1.7554794676415553,-0.6794193201265789,0.4968722117463227,-2.705443154638739,8.361318278161066,-5.29417271267482,-2.588729558036081,0.5250977326035966,0.5261923377638781
SI,1h,1h,1,13254,0.0010196874986037128,0.3562376696831338,0.34139208346922273,-0.005657835621859139,-0.0023691510826011094,-0.8108264348550465,-0.18741836739850817,0.8513326226514919,1.291487296256381,0.2553500669806156,0.07924367219957085,-1.2122436240568102,0.497737556561086,0.5180995475113123
SI,1h,4h,4,13254,0.0010196874986037128,0.3562376696831338,1.986255827308891,-0.020947058788042493,0.0025581090751005437,-5.48444195895411,-1.1045266124561337,0.2693647659300661,6.699163921273808,1.6850527661020112,-0.31839068678020194,-7.017554608054009,0.5407239819004525,0.5339366515837104
SI,1h,1d,24,13254,0.0010196874986037128,0.3562376696831338,4.319431507676998,-0.004100589992095836,0.003332075098883147,-2.6529597023661626,-0.3813825122174564,0.7029194354582033,-0.6684423156350471,6.8636106751777435,-11.034615886087057,-10.36617357045201,0.5460030165912518,0.5377073906485671
SI,1h,3d,72,13240,0.0010048280120017344,0.3561955932071357,11.091939476083198,-0.0004928312709615023,0.003888937420145509,-0.5255420386145068,-0.11100774802197744,0.9116102026756384,-24.46846332644357,21.10394464328277,-33.44369905898662,-8.97523573254305,0.5506042296072508,0.5566465256797583
SI,1h,5d,120,13199,0.0010067955744032565,0.3565407555989538,27.559296525054812,-0.0013800817331094154,0.004256428307854361,-1.8183270017816517,-0.33032789312348454,0.7411522190390962,-2.8539926378787235,35.77154345497754,-7.719168352204164,-4.865175714325441,0.5401515151515152,0.5606060606060606
SI,1d,1d,1,870,-0.0014412764543756487,0.23990994002683513,7.718521409445577,-0.004850870257231646,-0.007767450975009407,-5.333227777652072,-0.13597680932329742,0.8918396141451014,20.033832023730003,5.362772211277605,14.249204380504931,-5.784627643225073,0.367816091954023,0.47126436781609193
SI,1d,3d,3,869,-0.0015187427142621644,0.2400372097692222,16.88749589903078,0.05727873764456055,-0.010964749620060768,99.40241633323267,0.807885741178393,0.41915636037961135,-6.641919029957246,23.279781278049125,-10.647897659541515,-4.005978629584269,0.5517241379310345,0.5057471264367817
SI,1d,5d,5,867,-0.001596273251719125,0.24028994848180374,38.22885099342657,-0.008093873993053514,-0.029645793924144855,-17.166852599290113,-0.25983799271075564,0.7949887432621923,2.537062717301369,49.66596138583833,-17.181860752762585,-19.718923470063952,0.5517241379310345,0.5172413793103449
SI,1d,10d,10,863,-0.0016185296610367146,0.23974166252329032,75.26428357609267,-0.011727217805253222,-0.03402629957279035,-34.192522546092974,-0.36232002762288495,0.7171128935822506,99.26098936313221,84.28848173573274,-20.199922578671316,-119.46091194180353,0.5747126436781609,0.632183908045977
SI,1d,20d,20,854,-0.0015075127420271935,0.24087775519132115,163.25017209274728,-0.008055340466176173,-0.004314295049021088,-31.138003161348745,-0.5456400815615948,0.5853133668667697,44.10210286358656,191.29950828445646,59.96048222021414,15.858379356627578,0.5813953488372093,0.5697674418604651
HG,5m,5m,1,81683,0.00018290179351286456,0.23194170979583828,-0.0032048659244947888,-0.043990717741502414,0.023189507664591942,-2.3648617325582224,-0.7381666059086675,0.46041321293412474,-0.2585753432811287,-0.00648823916426885,0.2784297838342735,0.5370051271154022,0.4995715509854327,0.4670094258783205
HG,5m,15m,3,81683,0.00018290179351286456,0.23194170979583828,-0.056972262539989514,-0.0012379371764792745,0.011371158029032928,-0.11142116303159569,-0.05060961572502216,0.9596366004058376,-0.4107899173477039,-0.07747053853435314,0.4608140352903337,0.8716039526380376,0.49638878687721877,0.47900599828620394
HG,5m,30m,6,81683,0.00018290179351286456,0.23194170979583828,-0.1082410014021783,0.006498635138001059,0.008810114231081296,0.8215350789783528,0.5088919386270762,0.6108279708223381,-0.6829990568457825,-0.13068296020256231,0.6460334939742323,1.329032550820015,0.50471293916024,0.48255600440690416
HG,5m,1h,12,81683,0.00018290179351286456,0.23194170979583828,-0.27177436238555713,0.0027072395411260807,0.007452567980487768,0.4691459997183786,0.3221623017889339,0.7473297420259843,-1.1247714485905473,-0.18981528348347398,-0.07437967682405132,1.0503917717664961,0.5025094870853226,0.48414738646101113
HG,5m,4h,48,81679,0.0001836495971146289,0.23194704206406364,-1.7138234009606146,0.004840193805434292,0.002606086719946617,1.6415245705999295,1.2675712581004999,0.20495110144060436,-5.10245197962995,-1.1918681366965853,-2.5007730339470613,2.601678945682888,0.49559255631733595,0.4887365328109696
HG,5m,1d,288,81679,0.0001836495971146289,0.23194704206406364,-6.386246081909062,0.0010880032529133733,0.0007355690625475659,0.7989888538438329,0.7304073310811636,0.4651412385360587,-13.909015640455245,-4.752455918822453,-11.933597804774253,1.9754178356809915,0.47906464250734576,0.47135161606268366
HG,1h,1h,1,12005,0.0018992762282469427,0.22555065767552904,-0.08969989341492526,-0.006793456199604296,0.003706085086612971,-1.1353184425532092,-0.38897752654042084,0.6972927710525367,-0.08655947278721582,-0.09069827800139706,-0.08485739382291052,0.0017020789643052941,0.48959200666111574,0.48126561199000834
HG,1h,4h,4,12005,0.0018992762282469427,0.22555065767552904,-0.5040650944843514,0.0001491898641071313,-0.007763025755063851,0.04757222609089889,0.01328644248343384,0.9893992645659065,-0.9557975782989264,-0.4199698370569225,-0.7247445649375532,0.2310530133613732,0.4962531223980017,0.492089925062448
HG,1h,1d,24,12005,0.0018992762282469427,0.22555065767552904,-4.8038161066936675,-0.00489002183947237,-0.008872368775137671,-3.8601632997623243,-0.8566267423731796,0.39165120144026244,-8.242285470535183,-3.8419353311925915,-9.056388447379092,-0.8141029768439078,0.4929225645295587,0.4870940882597835
HG,1h,3d,72,11989,0.0018953752741497746,0.22568666518619657,-7.794484640902447,0.001873295831408277,-0.0013039012490699844,2.2847979168212746,0.2698193052461165,0.787299270044098,-8.305341601177487,-7.349639637311125,-10.842016696010539,-2.536675094833053,0.5187656380316931,0.4987489574645538
HG,1h,5d,120,11980,0.0018619484825493627,0.21982177729564292,0.3797678147776102,-0.006681141451031958,-0.01195620464917342,-9.612277313073175,-0.9037411964822855,0.3661326490138035,8.078014282548068,0.3224796962254688,-6.86017370457576,-14.938187987123827,0.5075125208681135,0.5342237061769616
HG,1d,1d,1,863,0.006328311465760258,0.559347808818648,0.5639648803190664,0.0720114741973182,0.02414950670261589,21.06096769126417,1.9663850481297118,0.04925414925182785,-30.151369864627988,4.070020631420766,3.5129500561963427,33.66431992082433,0.4367816091954023,0.41379310344827586
HG,1d,3d,3,862,0.0063961379332667665,0.559668988068668,0.33207984337336216,-0.012935069766885363,-0.028237035924994477,-6.164241802887917,-0.40477822212466197,0.6856405381960324,-32.506207281034754,7.127427653929497,-20.56755594788083,11.938651333153922,0.4482758620689655,0.4942528735632184
HG,1d,5d,5,860,0.006304335209341742,0.5602765634365322,6.1794309089078805,-0.025853012489617154,-0.0649347768566307,-15.148633009642442,-0.8638564311475055,0.38766676342939066,1.4399779040128613,14.470038614882077,-55.40597773399067,-56.845955638003524,0.45348837209302323,0.5813953488372093
HG,1d,10d,10,856,0.006230389974796859,0.5614548768237558,23.66307719163997,-0.008656234593196492,-0.027025873935758164,-7.16850314214053,-0.36481612069779745,0.7152486706849097,9.768091866846351,42.83777127791894,-114.94764393722703,-124.71573580407338,0.37209302325581395,0.5697674418604651
HG,1d,20d,20,847,0.006257300404424597,0.5642327450058013,66.26209080288007,0.01839249741989724,0.028059475346983102,19.75695677952072,0.6535548558284808,0.513398636958165,13.577929573547799,91.85702217479981,-84.90984842413667,-98.48777799768447,0.49411764705882355,0.6
PL,5m,5m,1,109911,0.00022770332555501017,0.42376842667369624,0.0171727408081516,0.004992834005524226,0.015143296374461443,0.20766594724529117,0.74001632800024,0.4592900869088401,-0.16268894366987735,0.05848356159546372,-0.13341831665031811,0.02927062701955923,0.5009097525473072,0.48844614264919944
PL,5m,15m,3,109911,0.00022770332555501017,0.42376842667369624,0.0880503749423977,0.01115737536549988,0.010846062855141118,0.7751511570280878,2.467725637438272,0.013597449448731974,-0.7234873662561528,0.17093668701082368,0.23656548502372737,0.9600528512798804,0.5041848617176128,0.49708879184861715
PL,5m,30m,6,109908,0.00022891995801119705,0.42377390357107725,0.16066133545942068,0.008358057717535863,0.007499494136725653,0.8115505581514361,2.5767574034221212,0.009973191889372849,-1.0739873999821232,0.34842169794474326,-0.10673866277972635,0.9672487372023969,0.5033208989172959,0.49604221635883905
PL,5m,1h,12,109905,0.00023212272008341528,0.42376567407615773,0.2298363715699167,0.00421403981885789,0.004169623513133639,0.5689583174155992,1.577508576551638,0.11467855023708083,-1.2784570766233974,0.4677114975671975,-0.16476297461934739,1.11369410200405,0.5072331907924665,0.4988627058502411
PL,5m,4h,48,109900,0.00022688039527324512,0.4237717597222403,0.7439533958393704,0.003886487706971876,0.0037196064305347336,0.9748118447374985,2.5030007286802425,0.012314529054056698,-2.462913227400299,1.355243709435073,-0.9395024896865811,1.5234107377137178,0.5160145586897179,0.5124658780709737
PL,5m,1d,288,109900,0.00022688039527324512,0.4237717597222403,3.107983459407198,0.004316550899210218,0.0038502826485861327,2.453933851942806,3.9413223411344043,8.103364246804726e-05,-11.503743301478847,6.380051903035176,-8.456837328730565,3.0469059727482826,0.5260236578707916,0.5194722474977252
PL,1h,1h,1,16742,0.0002888696171441961,0.18296298744557496,0.1752992636904783,0.016003968685357438,0.024044767689186612,4.290366931459632,1.5044559011007068,0.13246401993271814,-2.209773079978492,0.20993407866502237,2.283458507574915,4.493231587553407,0.5056716417910447,0.462089552238806
PL,1h,4h,4,16742,0.0002888696171441961,0.18296298744557496,0.6143735998135481,0.009658349662334696,0.01339469612910222,4.987316533820853,1.2947900509640362,0.19539266501078123,-2.7439478729553177,0.6689573749820784,3.5362855698618425,6.280233442817161,0.5134328358208955,0.49671641791044774
