signal,entry,target,horizon,events,direction,train_event_mean_bps,train_event_t,roundtrip_bps,event_gross_to_roundtrip_cost,screen_score
anom:md_robust_snapshot,2.5,PL,20,4551,1.0,1.9423886768840597,2.596886576493161,5.126364894653202,0.3789017591997735,0.9839648922755357
resid:SI,1.5,PA,20,40816,1.0,1.8817019828775494,5.8148868159272045,11.187768040275966,0.16819279556953828,0.9780220694912477
feat:contribution_velocity_l2,1.5,SI,10,12911,1.0,1.0455798699954773,3.4817824746275483,3.739016638624893,0.27964033623022677,0.9736468218853587
size:large_small_l1_distance,1.5,GC,20,16495,1.0,0.4793429400666035,2.236290909775784,1.1015763557651,0.43514272756306194,0.9731057261043159
size:very_large_small_l1_distance,1.5,GC,10,19645,1.0,0.3872755065235546,2.7605617634719994,1.1015763557651,0.3515648320670176,0.9705164327856635
size:SI_large_minus_small_share,3.0,HG,20,2816,1.0,1.133145030720926,1.3709488806656285,1.6007683688161451,0.7078757006917548,0.9704613995137586
resid:PA,1.5,GC,10,44665,1.0,0.3036013182298901,3.5209117606887683,1.1015763557651,0.27560624067591194,0.9703852541150375
size:SI_large_minus_small_share,3.0,SI,50,2816,1.0,2.3420518882775374,1.5468911673604608,3.739016638624893,0.6263817775196848,0.9689444390407457
anom:md_rolling,2.0,PA,10,7034,1.0,2.597275369876791,4.169161132802581,11.187768040275966,0.23215313014415384,0.9678838070554655
resid:SI,2.0,PL,10,17932,1.0,1.0854354281505354,4.570893114853792,5.126364894653202,0.2117358889693249,0.9678221170573342
feat:GC_notional_share,2.5,GC,10,3007,-1.0,0.5538238124267372,1.9245320938130959,1.1015763557651,0.5027557186828677,0.9675695159532473
feat:HG_abs_signed_notional_share,2.5,SI,20,4346,1.0,1.6067149727953602,2.2484551068805687,3.739016638624893,0.42971591947402127,0.9661969536492423
feat:PL_notional_share,2.5,PA,10,4801,1.0,2.861802496665526,3.7627221182904886,11.187768040275966,0.25579744649362024,0.9624947097237727
resid:SI,2.0,SI,10,17932,1.0,0.9671715278679439,3.7184472603785013,3.739016638624893,0.25867002512822274,0.9618508462800779
feat:max_share,2.5,PL,50,1824,1.0,3.1556455765875846,1.5612245576686823,5.126364894653202,0.6155717826249401,0.9610457840419443
feat:PL_notional_share,2.5,HG,20,4801,1.0,1.0581494931548494,1.453869231115283,1.6007683688161451,0.6610259883742007,0.9610453454648191
feat:PL_abs_signed_notional_share,1.5,PL,50,10888,1.0,1.8945821499965971,2.5973323805359008,5.126364894653202,0.3695761399998362,0.9599120754950439
resid:PL,1.5,SI,10,41593,1.0,0.7691229621942566,4.660133040792544,3.739016638624893,0.20570193623880711,0.9585983896214662
feat:hhi,2.5,SI,50,1373,1.0,2.8125646785681773,1.2737768172676858,3.739016638624893,0.7522204232828879,0.9581609366530283
size:HG_large_minus_small_share,3.0,HG,20,3573,-1.0,1.3621043230297691,1.1258280374129073,1.6007683688161451,0.8509065705971683,0.9579744743971574
size:GC_large_minus_small_share,2.5,HG,50,4629,-1.0,1.2973922619564398,1.1811423825755007,1.6007683688161451,0.810480946044637,0.9572933956432085
feat:GC_notional_share,2.0,SI,5,6747,-1.0,1.0521430662726279,3.4003155809978933,3.739016638624893,0.2813956630745503,0.9568340575776269
feat:SI_notional_share,2.5,SI,2,4730,1.0,0.9796075052462421,3.650682839998109,3.739016638624893,0.2619960272780478,0.9564644009316456
feat:PL_notional_share,2.0,GC,20,7235,1.0,0.5495420097975556,1.9151853802904797,1.1015763557651,0.498868741074123,0.9554261195890771
anom:md_rolling,1.5,PL,10,10778,1.0,1.2798218181638257,3.79901217415038,5.126364894653202,0.24965484206921745,0.9484417843565476
feat:contribution_velocity_l2,2.0,SI,10,7611,1.0,1.1662915582956126,3.0397224650251626,3.739016638624893,0.3119246772660906,0.9481644488814591
size:very_large_small_l1_distance,2.5,SI,20,1828,-1.0,2.010244694311178,1.7598714193927854,3.739016638624893,0.5376399434934022,0.9461771704779905
feat:PA_signed_notional_share,2.0,HG,50,8413,-1.0,1.1127087848253867,1.3603081056617985,1.6007683688161451,0.6951091778808043,0.945562648991167
size:HG_large_minus_small_share,1.5,GC,20,17255,1.0,0.4549217619607393,2.2882736253060494,1.1015763557651,0.4129734262903395,0.9449961993324557
anom:md_robust_snapshot,3.0,SI,50,3210,1.0,2.1275601406687286,1.6525336768846366,3.739016638624893,0.5690159596217219,0.9403180359597241
