signal,entry,target,horizon,events,direction,train_event_mean_bps,train_event_t,roundtrip_bps,event_gross_to_roundtrip_cost,screen_score,full_observations,full_active_bars,full_gross_return,full_cost_return,full_net_return,full_mean_net_bps,full_tstat,full_annualized_sharpe,full_hit_rate,full_max_drawdown,full_gross_to_cost,full_turnover,train_observations,train_active_bars,train_gross_return,train_cost_return,train_net_return,train_mean_net_bps,train_tstat,train_annualized_sharpe,train_hit_rate,train_max_drawdown,train_gross_to_cost,train_turnover,test_observations,test_active_bars,test_gross_return,test_cost_return,test_net_return,test_mean_net_bps,test_tstat,test_annualized_sharpe,test_hit_rate,test_max_drawdown,test_gross_to_cost,test_turnover
resid:SI,3.0,GC,50,1986,1.0,4.832270410181042,5.442955720132711,1.1015763557651,4.386686755658248,23.876541769140466,242166,9311,-0.017594964666574064,0.011015763557651,-0.028610728224225054,-0.0011814510800122664,-0.3740223654946872,-0.21592062772024495,0.01631112542636043,-0.08571497278363349,-1.597253297466927,200.0,169516,6215,0.03176812889525582,0.00749071921920268,0.02427740967605314,0.0014321603669301508,0.5014360928024177,0.3459898739354094,0.01654711059722976,-0.028786262352648223,4.240998489680041,136.0,72600,3096,-0.049363093561829885,0.0035250443384483203,-0.052888137900278194,-0.007284867479377162,-0.893035186423982,-0.9415717203312071,0.015771349862258952,-0.08428301974504875,-14.003538345154231,64.0
feat:SI_notional_share,3.0,GC,50,2776,1.0,4.3254860087538525,6.010772478362912,1.1015763557651,3.9266329438866596,23.602097231747074,242166,85293,0.3154045569869295,0.14045098536005024,0.17495357162687936,0.007224530761001931,0.9906783938825893,0.5719120577003335,0.16249184443728681,-0.24830919373701266,2.245655708134625,2550.0,169516,63954,0.4859066801714631,0.10789940404719155,0.37800727612427165,0.0222992092855112,2.6496260515339203,1.8282365324416818,0.17647891644446542,-0.08728666528026269,4.5033305277473445,1959.0,72600,21291,-0.1703826303121403,0.03249650249507045,-0.20287913280721073,-0.027944784133224623,-1.9517940306377568,-2.057874192526241,0.12957300275482095,-0.2483091937370071,-5.243106710883315,590.0
feat:SI_abs_signed_notional_share,1.5,GC,50,12489,1.0,2.9982146847094593,8.569488236155351,1.1015763557651,2.7217493086324,23.32399868208931,242166,212402,0.5155690429886821,0.11693233016446536,0.398636712824217,0.01646129980361475,1.2599836695240125,0.7273802048737293,0.4003080531536219,-0.5057101876375333,4.4091231421073545,2123.0,169516,149432,0.6782369486619704,0.08135141387325263,0.5968855347887178,0.03521116206073278,2.653727684360523,1.8310666506660687,0.4097607305505085,-0.11055451516100309,8.337125519645904,1477.0,72600,62920,-0.16276348969171295,0.03558091629121273,-0.19834440598292558,-0.02732016611335063,-0.8916961452087172,-0.9401599021186461,0.3781267217630854,-0.5057101876375439,-4.574460319109599,646.0
resid:PA,1.5,GC,50,44665,1.0,2.175922985632586,11.389699230250038,1.1015763557651,1.9752811271274051,22.497857933170433,242166,102162,0.6081189032118504,0.06394650745216406,0.5441723957596865,0.02247104860961846,2.32698977213085,1.343355741928807,0.18974587679525615,-0.15725832668301332,9.50980635911603,1161.0,169516,71512,0.27076948114175625,0.04191498033686206,0.22885450080489428,0.013500466080186783,1.461559232209553,1.008472867749018,0.19346846315392058,-0.10835042582192098,6.459969179649799,761.0,72600,30600,0.3374450060885188,0.022031527115302,0.3154134789732168,0.04344538277868,1.816798735232767,1.9155418920039304,0.1808953168044077,-0.1572583266830173,15.316460103854823,400.0
resid:PL,3.0,GC,20,2672,1.0,3.498013491610895,7.010188494043328,1.1015763557651,3.1754616675494542,22.260584845130825,242166,7537,0.03624084814705242,0.0154220689807114,0.02081877916634104,0.0008596904258376915,0.3212114696041943,0.185433248239443,0.013598110387089848,-0.06740496220332491,2.3499342528151934,280.0,169516,4985,0.06950533719957264,0.00947355665957986,0.0600317805399928,0.0035413636789443357,1.512764006837921,1.0438040570528182,0.013391066330021946,-0.028132186515868525,7.3367732623720965,172.0,72600,2552,-0.03326448905252022,0.00594851232113154,-0.039213001373651746,-0.005401239858629716,-0.7652177327623166,-0.8068073778258592,0.014090909090909091,-0.06740496220332498,-5.592068614256912,108.0
feat:SI_notional_share,2.5,SI,50,4730,1.0,9.954178503838902,8.125865561388816,3.739016638624893,2.6622450408511082,21.633045293430182,242166,118870,1.1917746400800016,0.5507571508694467,0.6410174892105556,0.026470168777225356,1.390168573043768,0.8025350851186765,0.22007631129060232,-0.5245193094642788,2.163884097008309,2946.0,169516,88493,1.1457609530252695,0.4234436343242691,0.722317318701001,0.04261056883721897,2.186306250238743,1.5085468213441158,0.2349689704806626,-0.2451626112596371,2.705816926150451,2265.0,72600,30329,0.04336016009970178,0.12712656571324638,-0.08376640561354437,-0.011538072398559831,-0.26054007280160074,-0.27470044662557463,0.18509641873278238,-0.524519309464292,0.3410786711371353,680.0
resid:PA,1.5,SI,50,44665,1.0,5.210511699838009,15.024465721449417,3.739016638624893,1.3935513541213584,20.937364551075767,242166,102162,1.3283269610806618,0.21704991587217504,1.1112770452084872,0.045889061437546445,2.2267582546962212,1.2854927525505815,0.1845469636530314,-0.3035425418511819,6.119914655313387,1161.0,169516,71512,0.5698137219517352,0.14226958309967716,0.4275441388520582,0.02522146221312786,1.4702820686071059,1.01449160694404,0.1864602751362703,-0.24359029465723453,4.005168986490326,761.0,72600,30600,0.7617344640838755,0.07478033277249786,0.6869541313113778,0.0946217811723661,1.6942496593745815,1.7863322640576378,0.17991735537190082,-0.3035425418511819,10.186294120959305,400.0
feat:SI_notional_share,2.5,GC,50,4730,1.0,3.5188731582773287,6.328944938702394,1.1015763557651,3.194397864352576,20.217168195795974,242166,118870,0.35747719699306835,0.16226219720419924,0.19521499978886928,0.008061205940919422,0.931847281644038,0.5379492473020108,0.2254816943749329,-0.26099018001133667,2.203083670457145,2946.0,169516,88493,0.49783152882164394,0.12475352229039757,0.37307800653124645,0.022008424368864677,2.2113839504310175,1.5258503829597607,0.2430331060194908,-0.11460933301507903,3.9905208260397362,2265.0,72600,30329,-0.14023483895618227,0.0374535960960134,-0.17768843505219567,-0.02447499105402144,-1.4320782946682828,-1.5099118646816914,0.18428374655647384,-0.2609901800113297,-3.744228954589197,680.0
feat:rank_turnover_l1,3.0,GC,50,1010,1.0,5.221226901970195,4.250559462563246,1.1015763557651,4.739777569339523,20.146706397801132,242166,53491,0.26280162375608374,0.11434362572841737,0.14845799802766646,0.006130422851583891,0.9878041561709431,0.5702527793571921,0.10307392449807157,-0.1494266367583692,2.2983495763924395,2076.0,169516,35751,0.34412844093964967,0.08140649269104089,0.26272194824860884,0.015498356983919444,2.475521981036037,1.7081050814594725,0.09992567073314614,-0.0672469903760391,4.227284944527802,1478.0,72600,17740,-0.08132681718356594,0.03293713303737649,-0.1142639502209424,-0.015738836118587108,-1.073771619579085,-1.1321311931038538,0.11049586776859505,-0.1332184351936397,-2.4691528886645253,598.0
resid:PL,3.0,SI,50,2672,1.0,10.495707439242995,7.154993026059303,3.739016638624893,2.8070769546249004,20.08461603395295,242166,11009,0.09944067525432176,0.04262478968032378,0.056815885573998026,0.0023461545210309467,0.2784136679489028,0.16072636156373607,0.01965593848847485,-0.2213442690185709,2.3329305786633596,228.0,169516,7129,0.14551973987749456,0.027294821461961723,0.11822491841553288,0.006974263102924379,1.320345467675207,0.911035660315219,0.018647207343259635,-0.07779710314496066,5.33140471646946,146.0,72600,3880,-0.046079064623172794,0.01532996821836206,-0.0614090328415348,-0.008458544468530964,-0.33487811043311855,-0.3530787625562564,0.02202479338842975,-0.22134426901857093,-3.005816056942624,82.0
feat:contribution_velocity_l2,1.5,GC,50,12911,1.0,2.7462283866508628,7.984736815085705,1.1015763557651,2.4929986671177864,19.905938237294983,242166,216003,0.42535221656171807,0.12122847795194924,0.304123738609769,0.01255848214075341,0.9366375385948135,0.5407146308276315,0.4081167463640643,-0.44239803809355516,3.5086823141532215,2201.0,169516,148772,0.563831361181462,0.09060465526167946,0.47322670591978266,0.027916344529117173,2.110356157754946,1.456141413554282,0.409223908067675,-0.104049073691377,6.222984454309051,1645.0,72600,67181,-0.13857472863816866,0.030623822690269784,-0.1691985513284383,-0.023305585582429518,-0.7207091656837239,-0.7598797665617595,0.40542699724517905,-0.44239803809356193,-4.5250630543324855,556.0
resid:SI,2.0,GC,50,17932,1.0,2.546438609810135,8.588269092172975,1.1015763557651,2.3116315055995424,19.852913412033832,242166,48771,0.23691056735058869,0.03866533008735501,0.19824523726323376,0.00818633653209921,1.2089686407544082,0.6979295675554756,0.08938496733645517,-0.11212434939170027,6.127209228922817,702.0,169516,33245,0.1593508225817013,0.026107359631632868,0.13324346295006845,0.00786022929694356,1.2552569237796616,0.8661246987384408,0.08942518700299677,-0.07619428073633464,6.103674397951165,474.0,72600,15526,0.07755974476888738,0.01255797045572214,0.06500177431316528,0.008953412439829929,0.5200683604162111,0.5483341174582099,0.08935261707988981,-0.11212434939169974,6.176136903837567,228.0
feat:contribution_velocity_l2,3.0,GC,50,2811,1.0,3.9203013880726267,5.383916628335348,1.1015763557651,3.5588103970784495,19.16033847392339,242166,109834,0.12405056562731875,0.18231088687912406,-0.05826032125180525,-0.002405801031185437,-0.26800026061814536,-0.15471477066705294,0.20727930427888308,-0.40056770424139293,0.6804342173463666,3310.0,169516,74552,0.3512821733545026,0.12761762081538683,0.22366455253911588,0.013194303342405194,1.448110226590169,0.9991930814998843,0.2058448759999056,-0.0734210391770832,2.75261496892088,2317.0,72600,35233,-0.22706431370755453,0.05463818724594896,-0.2817025009535034,-0.03880199737651562,-1.8426201717674422,-1.942766725682359,0.21039944903581267,-0.4005677042413911,-4.155780510898809,992.0
resid:PL,2.0,PL,50,20263,1.0,6.960456569938026,13.989952186405048,5.126364894653202,1.3577762630978107,18.995225000574095,242166,51775,-0.11621567043374004,0.19377659301789102,-0.3099922634516306,-0.012800816937622566,-0.8882557922431035,-0.5127841699616187,0.09489771479068078,-0.5937962315619364,-0.5997404981880865,756.0,169516,35579,0.3223356532997341,0.12380171220587483,0.1985339410938595,0.011711811338980362,0.9617003321111299,0.663571253539344,0.09578446872271644,-0.19173667541329975,2.6036445502765684,483.0,72600,16146,-0.4425585922604114,0.0699748808120162,-0.5125334730724274,-0.07059689711741424,-1.8226995001463968,-1.921763363963221,0.09256198347107437,-0.5689859616188266,-6.324535134962524,273.0
resid:PA,2.0,SI,50,20167,1.0,5.9986095165369475,11.58906520808306,3.739016638624893,1.6043281151974416,18.59266314218414,242166,54497,0.619716108546644,0.14040007478036473,0.4793160337662796,0.019792870748423792,1.340657555662317,0.7739527035866751,0.09850267997984853,-0.21135756855480237,4.413930046092203,751.0,169516,38906,0.44348721852274764,0.09590577678072851,0.34758144174201927,0.020504344235471535,1.6317236850312171,1.125885990627778,0.10140635692206046,-0.08569884979993014,4.624197138163035,513.0,72600,15541,0.17945011497884522,0.04449429799963622,0.13495581697920908,0.01858895550677811,0.4702811377273512,0.49584095522864613,0.09150137741046832,-0.2113575685548017,4.033103634544641,238.0
